D,ell,N_target,R_min,R_max,n_R,Gamma_siegert_min,Gamma_siegert_max,Gamma_siegert_R_rel_span,Gamma_siegert_R120_over_R80,E_real_R_rel_span,parity_Gamma_rel_split_max,parity_E_abs_split_max,root_residual_abs_max,Gamma_siegert_over_geo_min,Gamma_siegert_over_geo_max,siegert_status,recommended_next_gate,cap_negative_control_source,cap_eta_Gamma_rel_span_median,cap_eta_Gamma_over_eta_rel_span_max,cap_zcap_Gamma_rel_span_min,cap_overlap_min
6.0,1.0,3.0,60.0,120.0,4.0,0.002148946293429104,0.007826599390090519,1.5066978329493774,0.4735331824674421,1.0776862466763213,5.0560181265106693e-08,5.95615639214772e-10,3.4792143567130225e-13,29474266.331254188,103107629.36531629,no_R_stable_pole_plateau_on_current_finite_radius_audit,replace_local_robin_by_exact_Coulomb_DtN_or_ECS_and_require_R_stability,cap_resonance_scan_D6-12-18_l1_N3_eta5_5e-05_to_7p5e-05_zcap5_0p8_to_0p9_eta_summary.csv,0.4084965781532898,3.478427062019498e-07,1.960777173398199,0.9999985183562246
12.0,1.0,3.0,60.0,120.0,4.0,0.0021640719614140717,0.008033976966829653,1.5377735891430484,0.46981328123589516,1.0812225001307942,2.031162968687293e-09,2.4129775575574502e-11,2.2758348018715235e-13,3841533821.1896653,12443397591.973297,no_R_stable_pole_plateau_on_current_finite_radius_audit,replace_local_robin_by_exact_Coulomb_DtN_or_ECS_and_require_R_stability,cap_resonance_scan_D6-12-18_l1_N3_eta5_5e-05_to_7p5e-05_zcap5_0p8_to_0p9_eta_summary.csv,0.4084965781532898,3.478427062019498e-07,1.960777173398199,0.9999985183562246
18.0,1.0,3.0,60.0,120.0,4.0,0.0021898261360318,0.008428184188145988,1.59803498928882,0.4631417125889976,1.08523263155806,5.601206660447841e-10,6.833998509495701e-12,9.281464485866309e-14,80106185948.61916,228598280644.99078,no_R_stable_pole_plateau_on_current_finite_radius_audit,replace_local_robin_by_exact_Coulomb_DtN_or_ECS_and_require_R_stability,cap_resonance_scan_D6-12-18_l1_N3_eta5_5e-05_to_7p5e-05_zcap5_0p8_to_0p9_eta_summary.csv,0.4084965781532898,3.478427062019498e-07,1.960777173398199,0.9999985183562246
global,1.0,3.0,60.0,120.0,4.0,0.002148946293429104,0.008428184188145988,1.59803498928882,0.4631417125889976,1.08523263155806,5.0560181265106693e-08,5.95615639214772e-10,3.4792143567130225e-13,29474266.331254188,228598280644.99078,gate_not_closed_current_robin_roots_are_boundary_sensitive,exact_Coulomb_DtN_or_exterior_complex_scaling_before_promoting_static_width,cap_resonance_scan_D6-12-18_l1_N3_eta5_5e-05_to_7p5e-05_zcap5_0p8_to_0p9_eta_summary.csv,0.4084965781532898,3.478427062019498e-07,1.960777173398199,0.9999985183562246
