D,R_tail,parity,R0,R1,center_mode,center_anchors,tube_factor,tube_radius_min,slab_inflation,n_r_nodes,n_slabs,n_points_per_node,dR_step,dE_step,endpoint_interpolation_error,max_node_q,median_node_q,min_node_q,sup_integral_bound,trapz_integral_bound,upper_darboux_integral_bound,inflated_slab_integral_bound,sup_contraction_ratio,trapz_contraction_ratio,upper_darboux_contraction_ratio,inflated_slab_contraction_ratio,dF_dE_abs_min,dF_dE_abs_median_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max,max_node_slope_abs,slab_envelope_pass,slab_envelope_status
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,0.05,33.0,32.0,17.0,0.5,6.4e-05,5.204170427930421e-18,0.0033059079926411037,0.0028399427113142664,0.0024774355392512028,0.06611815985282207,0.05714308429303813,0.057401981934722485,0.0602720810314586,1.033096247700345,0.8928606920787208,0.8969059677300388,0.9417512661165406,97.09324022695422,112.40685493126577,12.18670474342614,0.02889044866818141,5.2812552533502975e-05,1.0,slab_envelope_closed
6.0,400.0,odd,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,0.05,33.0,32.0,17.0,0.5,6.4e-05,1.1677214766175423e-17,0.003471651509185857,0.002915065425013738,0.0024993732569217426,0.06943303018371715,0.05876970727580908,0.05907354422964162,0.062027221441123714,1.0848910966205805,0.9182766761845169,0.9230241285881502,0.969175335017558,97.0932402221637,112.4068549318384,11.248160672262904,0.02474431720912004,6.408101187590568e-05,1.0,slab_envelope_closed
