D,n_rows,n_local_argument_pass,index_round_min,index_round_max,zero_count_abs_min,zero_count_abs_max,index_error_max,boundary_F_abs_min,boundary_root_gap_ratio_min,dF_dE_abs_proxy_min,dF_dE_CR_rel_mismatch_max,newton_radius_proxy_max,newton_radius_over_contour_max,local_argument_status
6.0,16.0,16.0,-1.0,-1.0,1.0,1.0,1.1102230246251565e-16,0.024010200848894714,835050.6338030378,269.3931441633629,0.00730920413968909,7.658913708916117e-11,7.658913708916116e-07,all_local_index_one
12.0,16.0,16.0,-1.0,-1.0,1.0,1.0,2.220446049250313e-16,0.03755427445800902,1257648.6718068637,423.3508796684552,0.007995111189157939,4.8980628794337286e-11,4.898062879433729e-07,all_local_index_one
18.0,16.0,16.0,-1.0,-1.0,1.0,1.0,3.3306690738754696e-16,0.04940558189438343,4468823.520588783,559.0027291249081,0.009527742511490302,1.3866619392916057e-11,1.3866619392916056e-07,all_local_index_one
global,48.0,48.0,-1.0,-1.0,1.0,1.0,3.3306690738754696e-16,0.024010200848894714,835050.6338030378,269.3931441633629,0.009527742511490302,7.658913708916117e-11,7.658913708916116e-07,all_local_index_one
