D,ell,N_target,eta_cap,n_z_cap_frac,z_cap_frac_min,z_cap_frac_max,Gamma_cap_min,Gamma_cap_max,Gamma_cap_rel_span,Gamma_cap_over_eta_rel_span,candidate_overlap_min,candidate_overlap_max
6.0,1.0,3.0,5e-05,5.0,0.8,0.9,1.0421078078266165e-07,7.734103080198948e-07,1.9639879176498611,1.963987917649861,0.9999999840416619,0.9999999996084367
6.0,1.0,3.0,5.53e-05,5.0,0.8,0.9,1.1525712280535795e-07,8.553917475323725e-07,1.963987829670211,1.963987829670211,0.9999999804791948,0.9999999995214188
6.0,1.0,3.0,6.12e-05,5.0,0.8,0.9,1.2755399384951346e-07,9.466540857822218e-07,1.963987721313605,1.963987721313605,0.999999976091537,0.9999999994138686
6.0,1.0,3.0,6.78e-05,5.0,0.8,0.9,1.413098153309405e-07,1.04874413289951e-06,1.9639875870953674,1.9639875870953674,0.9999999706568725,0.9999999992806679
6.0,1.0,3.0,7.5e-05,5.0,0.8,0.9,1.5631616555166652e-07,1.1601150584921961e-06,1.96398742501156,1.9639874250115599,0.9999999640935694,0.9999999991197802
12.0,1.0,3.0,5e-05,5.0,0.8,0.9,1.0603970509374935e-07,7.863839962170144e-07,1.9628931076954914,1.9628931076954916,0.9999988617106239,0.9999995264864379
12.0,1.0,3.0,5.53e-05,5.0,0.8,0.9,1.1727991308255475e-07,8.69740646238434e-07,1.9628930206489676,1.9628930206489676,0.9999986256816592,0.9999990571610571
12.0,1.0,3.0,6.12e-05,5.0,0.8,0.9,1.2979259717962503e-07,9.62533879049078e-07,1.9628929134420436,1.9628929134420432,0.9999989432969154,0.9999993364083947
12.0,1.0,3.0,6.78e-05,5.0,0.8,0.9,1.4378983664698677e-07,1.0663364520688733e-06,1.9628927806488239,1.962892780648824,0.9999985183562246,0.9999993482667265
12.0,1.0,3.0,7.5e-05,5.0,0.8,0.9,1.5905955193628278e-07,1.179575587447648e-06,1.9628926202846226,1.9628926202846226,0.9999985287804635,0.9999991154325003
18.0,1.0,3.0,5e-05,5.0,0.8,0.9,1.0985441849699189e-07,8.134744227933866e-07,1.9607776493578855,1.9607776493578852,0.9999999271963294,0.9999999981992788
18.0,1.0,3.0,5.53e-05,5.0,0.8,0.9,1.2149898608485353e-07,8.99702657222892e-07,1.960777564357946,1.9607775643579455,0.9999999396982725,0.9999999892368773
18.0,1.0,3.0,6.12e-05,5.0,0.8,0.9,1.344618063316552e-07,9.956925591796674e-07,1.9607774596690746,1.9607774596690746,0.9999998766485416,0.9999999893010831
18.0,1.0,3.0,6.78e-05,5.0,0.8,0.9,1.4896258792190475e-07,1.1030710667776111e-06,1.9607773299944091,1.9607773299944093,0.9999999391657558,0.9999999829536504
18.0,1.0,3.0,7.5e-05,5.0,0.8,0.9,1.64781621876455e-07,1.2202112211650644e-06,1.960777173398199,1.9607771733981991,0.9999999187199405,0.9999999909331154
