D,ell,N_target,z_cap_frac,n_eta,eta_min,eta_max,Gamma_cap_min,Gamma_cap_max,Gamma_cap_rel_span,Gamma_cap_over_eta_rel_span,candidate_overlap_min,candidate_overlap_max
6.0,1.0,3.0,0.8,5.0,5e-05,7.5e-05,7.734103080198948e-07,1.1601150584921961e-06,0.4084963623779922,3.478427062019498e-07,0.9999999640935694,0.9999999840416619
6.0,1.0,3.0,0.825,5.0,5e-05,7.5e-05,5.302220653693457e-07,7.953329102648004e-07,0.408496481110881,2.3611394525198916e-07,0.9999999817420799,0.9999999918853296
6.0,1.0,3.0,0.85,5.0,5e-05,7.5e-05,3.4073505301295735e-07,5.111025051164068e-07,0.40849657732689754,1.4557358231681771e-07,0.999999991862207,0.9999999963831404
6.0,1.0,3.0,0.875,5.0,5e-05,7.5e-05,2.006357923012747e-07,3.0095366465367106e-07,0.4084966479930693,7.907609236957691e-08,0.9999999969620841,0.9999999986496261
6.0,1.0,3.0,0.9,5.0,5e-05,7.5e-05,1.0421078078266165e-07,1.5631616555166652e-07,0.4084966938038657,3.596765421323158e-08,0.9999999991197802,0.9999999996084367
12.0,1.0,3.0,0.8,5.0,5e-05,7.5e-05,7.863839962170144e-07,1.179575587447648e-06,0.40849636546724133,3.449357491266721e-07,0.9999988690408989,0.9999991264701119
12.0,1.0,3.0,0.825,5.0,5e-05,7.5e-05,5.392420480672202e-07,8.088628824108699e-07,0.40849648281072237,2.3451432588003978e-07,0.9999985287804635,0.9999993482667265
12.0,1.0,3.0,0.85,5.0,5e-05,7.5e-05,3.466028223625555e-07,5.199041582638325e-07,0.4084965781532898,1.4479590703413085e-07,0.9999986256816592,0.9999994042788257
12.0,1.0,3.0,0.875,5.0,5e-05,7.5e-05,2.041270260698184e-07,3.061905149906059e-07,0.4084966483338782,7.875528246032528e-08,0.9999989486300043,0.9999991549045363
12.0,1.0,3.0,0.9,5.0,5e-05,7.5e-05,1.0603970509374935e-07,1.5905955193628278e-07,0.4084966939151175,3.586292705253924e-08,0.9999985183562246,0.9999995264864379
18.0,1.0,3.0,0.8,5.0,5e-05,7.5e-05,8.134744227933866e-07,1.2202112211650644e-06,0.40849637232077,3.384864226623237e-07,0.9999998766485416,0.9999999717868088
18.0,1.0,3.0,0.825,5.0,5e-05,7.5e-05,5.580702249659962e-07,8.371051441377848e-07,0.40849648662159416,2.3092819819798873e-07,0.9999999293559377,0.9999999880902363
18.0,1.0,3.0,0.85,5.0,5e-05,7.5e-05,3.588474218516393e-07,5.382710557872607e-07,0.40849658002745315,1.4303238244927802e-07,0.9999999333085688,0.9999999960105133
18.0,1.0,3.0,0.875,5.0,5e-05,7.5e-05,2.114104953774601e-07,3.1711571832560947e-07,0.4084966491179244,7.801751229026205e-08,0.9999999324097054,0.9999999981992788
18.0,1.0,3.0,0.9,5.0,5e-05,7.5e-05,1.0985441849699189e-07,1.64781621876455e-07,0.4084966941763601,3.5617034267878145e-08,0.9999999271963294,0.9999999893010831
