D,R,R_tail_root,parity,ell,h,E0_real,E0_imag,Gamma_dtn,transfer_pair,R_start,R_ref,box_re,box_im,n_contour,m_rouche_budget,boundary_required_product_min,boundary_required_product_median,boundary_required_product_max,boundary_jost_product_min,boundary_jost_product_median,boundary_jost_product_max,boundary_product_margin_min,boundary_product_margin_median,boundary_ratio_direct_max,boundary_ratio_transfer_max,boundary_ratio_direct_median,boundary_ratio_transfer_median,jost_a_boundary_min,jost_b_boundary_min,jost_a_winding_raw,jost_b_winding_raw,jost_a_winding_round,jost_b_winding_round,nfev_total,contour_jost_status
18.0,120.0,400.0,even,1.0,0.1,0.0036009091880255,-0.0015461097382767,0.0015433330754413,1600_to_3200,1600.0,3200.0,0.0001,0.0001,64.0,0.00247027909471917,49.21345628899895,50.092371082953605,50.93957856856696,1000007402.7275802,18470606850.136513,356239727195.1569,19829856.738874093,368747357.60606086,5.042900779205419e-08,5.0426976701929484e-08,2.7128534128187485e-09,2.7093421684788298e-09,14.298659552823555,69937143.34083216,0.0,0.0,0.0,0.0,654336.0,passes_contour_jost_box
18.0,120.0,400.0,odd,1.0,0.1,0.0036009091880774,-0.0015461097379247,0.0015433330750899,1600_to_3200,1600.0,3200.0,0.0001,0.0001,64.0,0.0024702790996270554,49.213456190623205,50.0923709828098,50.939578466720164,1000007395.2112683,18470606686.523254,356239735732.2364,19829856.62943814,368747355.0776733,5.0429008070359106e-08,5.042984972956399e-08,2.7128534314040357e-09,2.7101949396319636e-09,14.298659507069718,69937143.03895637,0.0,0.0,0.0,0.0,654336.0,passes_contour_jost_box
18.0,120.0,800.0,even,1.0,0.1,0.003491535818283,-0.0009134677912261,0.0009118771578773,1600_to_3200,1600.0,3200.0,0.0001,0.0001,64.0,0.014795738415744539,7.830771557288552,8.019050993375416,8.149173970685467,306.82233622077973,5622.097500642572,107719.22908512206,38.37578819632562,703.1647889337844,0.026058096706291164,0.02605809670674644,0.001433844637315411,0.001433844636980945,0.00828937990383549,37013.90692430603,0.0,0.0,0.0,0.0,654336.0,passes_contour_jost_box
18.0,120.0,800.0,odd,1.0,0.1,0.0034915358176146,-0.0009134677905382,0.0009118771571909,1600_to_3200,1600.0,3200.0,0.0001,0.0001,64.0,0.014795738348280803,7.830771610120659,8.019050918557543,8.14917400301334,306.82232930986595,5622.09751351578,107719.21427755758,38.37578715968492,703.1647885352631,0.026058097410195515,0.026058097409256846,0.00143384462952408,0.0014338446289387276,0.008289379779879489,37013.90664408991,0.0,0.0,0.0,0.0,654336.0,passes_contour_jost_box
