D,ell,N_target,R,R_tail,n_half,h,parity,seed_E,seed_omega,E_dtn_real,E_dtn_imag,omega_dtn_real,omega_dtn_imag,Gamma_dtn,Gamma_dtn_narrow,rel_Gamma_exact_vs_narrow,S_seed,Gamma_geo_seed,Gamma_dtn_over_geo,root_candidate_count,root_success,root_nfev,guess_E_real,guess_E_imag,residual_abs,seed_dist,dtn_success,dtn_nfev,dtn_status,dtn_residual_abs,m_tail_real,m_tail_imag,m_R_real,m_R_imag,tail_mode,coulomb_order,whittaker_dps,coulomb_A,coulomb_B,coulomb_k_real,coulomb_k_imag,coulomb_next_term_abs,whittaker_kappa_real,whittaker_kappa_imag,whittaker_mu,whittaker_x_abs,whittaker_U_abs,whittaker_U_shift_abs
6.0,1.0,3.0,60.0,400.0,1200.0,0.05,even,0.010386311090284001,1.0051797406883427,0.009261476038906103,-0.003316070285138675,1.00462142117575,-0.001650407912493913,0.003300815824987826,0.003300815824987826,0.0,11.653338743215443,7.590708309625106e-11,43484951.47419053,5.0,1.0,39.0,0.010386311090284001,-0.001,3.1172058935334896e-08,0.003501653327899267,1.0,878.0,0.0,0.003947658469115943,0.017307244834301395,0.09564331105242721,0.010751105636126936,0.09957466780201733,whittaker,6.0,50.0,0.16,2.0064,0.09772081277995891,-0.016967062546878204,,0.1379823218695886,-0.7947011808972785,1.502131818450032,79.3462829348741,7.214421722753539e-05,9.165245867886173e-07
6.0,1.0,3.0,60.0,400.0,1200.0,0.05,odd,0.010386311090284001,1.0051797406883427,0.010772654646807047,-0.003629161727314347,1.0053735187714588,-0.001804882294765975,0.00360976458953195,0.00360976458953195,0.0,11.653338743215443,7.590708309625106e-11,47555042.853573054,5.0,1.0,46.0,0.010386311090284001,-0.001,6.796451470879655e-08,0.00364966795567352,1.0,890.0,0.0,0.004244040701008624,0.017544771044000863,0.10328216149526022,0.03266857007702686,0.1061573683214909,whittaker,6.0,50.0,0.16,2.0064,0.10521452345163143,-0.017246486550797916,,0.12137360050020246,-0.7404560632464978,1.502131818450032,85.29492268500208,6.483064905145279e-05,7.653527790534968e-07
6.0,1.0,3.0,80.0,400.0,1200.0,0.06666666666666667,even,0.006672556445593471,1.0033307313371764,0.00660087770802769,-0.002704948282494419,1.00329591591713,-0.0013480311439431005,0.002696062287886201,0.002696062287886201,0.0,11.661869046391255,7.448577889760137e-11,36195664.8341234,5.0,1.0,19.0,0.006672556445593471,-0.002,4.192698012108388e-09,0.0027058978274111774,1.0,794.0,0.0,0.001159201079519788,0.01677615511917518,0.08042791666494926,0.02223197764249164,0.07570342440797208,whittaker,6.0,50.0,0.16,2.0064,0.08286882257295314,-0.01632066317892433,,0.1830284838684641,-0.9293344755180485,1.502131818450032,67.56854085138727,9.103284631629872e-05,1.36214110409952e-06
6.0,1.0,3.0,80.0,400.0,1200.0,0.06666666666666667,odd,0.006672556445593471,1.0033307313371764,0.006600877711305863,-0.0027049482904822233,1.003295915918769,-0.00134803114792168,0.00269606229584336,0.00269606229584336,0.0,11.661869046391255,7.448577889760137e-11,36195664.9409513,5.0,1.0,21.0,0.006672556445593471,-0.002,3.1879049154135876e-09,0.002705897835309341,1.0,794.0,0.0,0.001159201153036448,0.016776155162712445,0.0804279166943948,0.022231978000098553,0.07570342482837784,whittaker,6.0,50.0,0.16,2.0064,0.08286882260113135,-0.016320663221570223,,0.1830284841911781,-0.929334475044296,1.502131818450032,67.56854088009747,9.103284640644593e-05,1.3621411048397039e-06
6.0,1.0,3.0,100.0,400.0,1200.0,0.08333333333333333,even,0.0047954511020069385,1.0023948578788735,0.00441736833344971,-0.0021188553782595125,1.0022068078909876,-0.0010570948837986668,0.0021141897675973336,0.0021141897675973336,0.0,11.692617169470404,6.997785058507598e-11,30212270.73882464,5.0,1.0,35.0,0.0047954511020069385,-0.0001,6.917457765001664e-10,0.0021523230923490926,1.0,746.0,0.0,0.00041082147243735255,0.016163562387775793,0.06530294351868611,0.018202587918223646,0.05794250516111531,whittaker,6.0,50.0,0.16,2.0064,0.06825182221490589,-0.015522335591186341,,0.2534644687440498,-1.1144851080488911,1.502131818450032,55.99573776842967,0.00011830055173586869,2.1464714319894716e-06
6.0,1.0,3.0,100.0,400.0,1200.0,0.08333333333333333,odd,0.0047954511020069385,1.0023948578788735,0.004417368335049893,-0.002118855380038127,1.002206807891787,-0.0010570948846851727,0.0021141897693703455,0.0021141897693703455,0.0,11.692617169470404,6.997785058507598e-11,30212270.764161397,5.0,1.0,37.0,0.0047954511020069385,-0.0001,1.7787840989881912e-09,0.002152323093818958,1.0,746.0,0.0,0.00041082148291756755,0.016163562397766087,0.0653029435334078,0.0182025879799342,0.0579425052867447,whittaker,6.0,50.0,0.16,2.0064,0.06825182222886961,-0.015522335601040403,,0.25346446879051765,-1.1144851077737146,1.502131818450032,55.9957377810707,0.0001183005517565785,2.1464714318553774e-06
6.0,1.0,3.0,120.0,400.0,1200.0,0.1,even,0.003689626838555341,1.0018431148830416,0.003501624397583588,-0.0018378939529164438,1.0017497022279305,-0.0009173419012897613,0.0018346838025795225,0.0018346838025795225,0.0,11.671823592173032,7.290923781707112e-11,25163941.600688983,5.0,1.0,26.0,0.0037108663766764,-0.0021529310657089,3.2013312523637407e-10,0.001847484533082258,1.0,698.0,0.0,0.00012541566440704303,0.015830582369964322,0.05777282615027272,0.018407289162260462,0.049923620045165616,whittaker,6.0,50.0,0.16,2.0064,0.061058458581358534,-0.015050281284676604,,0.3044576940576904,-1.2351740908207796,1.502131818450032,50.30878304919323,0.0001365785872657455,2.768369495792718e-06
6.0,1.0,3.0,120.0,400.0,1200.0,0.1,odd,0.003689626838555341,1.0018431148830416,0.003501624401755032,-0.0018378939523014798,1.0017497022300121,-0.00091734190098091,0.00183468380196182,0.00183468380196182,0.0,11.671823592173032,7.290923781707112e-11,25163941.59221677,5.0,1.0,25.0,0.003710866373875,-0.0021529310671733,1.4817448799152577e-09,0.0018474845320459949,1.0,698.0,0.0,0.00012541565943389034,0.015830582355831294,0.057772826182537096,0.018407289132882053,0.04992362002630973,whittaker,6.0,50.0,0.16,2.0064,0.06105845861239121,-0.015050281271991506,,0.30445769353872243,-1.2351740903841804,1.502131818450032,50.3087830708692,0.0001365785870569955,2.768369490354154e-06
6.0,1.0,3.0,60.0,800.0,1200.0,0.05,even,0.010386311090284001,1.0051797406883427,0.010033663904597683,-0.002004696524491139,1.0050048052745606,-0.000997356686241649,0.001994713372483298,0.001994713372483298,0.0,11.653338743215443,7.590708309625106e-11,26278356.262932386,5.0,1.0,59.0,0.010386311090284001,-1e-05,9.81366517228877e-07,0.002035477386973221,1.0,2018.0,0.0,0.015320845859505269,0.010051575682588866,0.09965666086893452,0.0041761534887153305,0.14873560887798534,whittaker,6.0,50.0,0.16,2.0064,0.10066189538538346,-0.009957573900313373,,0.0778545945862338,-0.7870382016712196,1.502131818450032,161.8451246687051,1.5120850976878522e-05,9.383238974748639e-08
6.0,1.0,3.0,60.0,800.0,1200.0,0.05,odd,0.010386311090284001,1.0051797406883427,0.010033663907285328,-0.0020046965768186907,1.0050048052759235,-0.00099735671227378,0.00199471342454756,0.00199471342454756,0.0,11.653338743215443,7.590708309625106e-11,26278356.94882703,5.0,1.0,57.0,0.010386311090284001,-0.001,5.710553669260547e-07,0.0020354774380438308,1.0,2018.0,0.0,0.01532085038498609,0.010051575941144666,0.0996566609084815,0.004176120664988531,0.14873562157100198,whittaker,6.0,50.0,0.16,2.0064,0.10066189542406609,-0.009957574156404227,,0.07785459649045083,-0.7870382009823399,1.502131818450032,161.84512477063225,1.5120851091858596e-05,9.383239039946896e-08
