D,n_rows,n_tail_conditioning_pass,m_rouche_budget_min,m_rouche_budget_max,tail_l1_self_max,raw_tail_over_m_budget_max,dtn_delta_400_800_min,dtn_delta_400_800_max,dtn_delta_over_m_budget_min,dtn_delta_over_m_budget_max,empirical_conditioning_lower_bound_min,empirical_conditioning_lower_bound_max,allowed_conditioning_pair_min,allowed_conditioning_pair_max,tail_conditioning_status
6.0,16.0,0.0,0.0012005100424447351,0.046094260819458666,4.498243499213769e-06,0.003746943665755169,0.00985053537760093,0.20376765708410166,1.0051882448398777,88.60308333158655,2189.8626384549143,45299.383441496095,266.88418327166323,10247.168884369044,not_lifted_current_tail_conditioning
12.0,16.0,2.0,0.00187771372290045,0.05602422789219236,1.8001967022511972e-05,0.009587173381629684,0.012561832861251678,0.210420650421777,0.9944188620764574,56.34303105829368,697.803348130943,11688.75879833798,104.30603058834157,3112.1170159978888,has_tail_conditioning_pass
18.0,16.0,2.0,0.00247027909471917,0.06735389954146902,4.0513259826248634e-05,0.016400276354544593,0.014642529218182827,0.21830636286374303,0.9896450455356336,42.82155602441956,361.42559944524385,5388.516347487343,60.97458228030988,1662.514935365193,has_tail_conditioning_pass
global,48.0,4.0,0.0012005100424447351,0.06735389954146902,4.0513259826248634e-05,0.016400276354544593,0.00985053537760093,0.21830636286374303,0.9896450455356336,88.60308333158655,361.42559944524385,45299.383441496095,60.97458228030988,10247.168884369044,has_tail_conditioning_pass
