D,ell,N_target,z_cap_frac,n_eta,eta_min,eta_max,Gamma_cap_min,Gamma_cap_max,Gamma_cap_rel_span,Gamma_cap_over_eta_rel_span,candidate_overlap_min,candidate_overlap_max
6.0,1.0,3.0,0.7,3.0,0.0001,0.001,4.637266515314495e-06,4.6360072196740506e-05,2.9991606180388706,0.0002715658616148046,0.9999590793623719,0.9999995907396055
6.0,1.0,3.0,0.75,3.0,0.0001,0.001,2.8616822924153386e-06,2.861130889579993e-05,2.999404423423761,0.00019268785472875013,0.9999814671523184,0.999999814648672
6.0,1.0,3.0,0.8,3.0,0.0001,0.001,1.5468193247197982e-06,1.5466488837817756e-05,2.999659417758103,0.00011018898784113349,0.9999936172160869,0.999999936166794
