transfer_pair,D,n_rows,n_empirical_transfer_pass,n_linear_condition_pass,transfer_delta_over_budget_min,transfer_delta_over_budget_median,transfer_delta_over_budget_max,empirical_transfer_gain_min,empirical_transfer_gain_max,allowed_transfer_gain_min,allowed_transfer_gain_max,variational_condition_abs_min,variational_condition_abs_max,linearized_delta_over_budget_min,linearized_delta_over_budget_max,empirical_over_variational_max,transfer_condition_status
1600_to_3200,6.0,16.0,16.0,8.0,1.761713268590006e-11,5.7049115499877265e-06,0.0004005589573261964,1.7008157901354538e-13,3.3064067323916794e-05,0.009654328024841279,0.22894999115639925,4.962273121612243e-08,1323.153575072795,1.2604588982967068e-06,16029.520710776615,4.0462491433866155e-05,has_uniform_empirical_pass
1600_to_3200,12.0,16.0,16.0,8.0,1.857638650372733e-11,1.5029667455977652e-05,0.0009112984203959038,6.311252745978393e-13,9.707112327039765e-05,0.015157959518815711,0.26810524918606715,4.731213869773099e-07,968.7244424298667,8.878739424658486e-06,9094.332325033,1.0890818716481089e-05,has_uniform_empirical_pass
1600_to_3200,18.0,16.0,16.0,8.0,3.927119420062324e-11,2.4134276280277766e-05,0.0014345640442354536,2.6416567454596513e-12,0.00017899550114963873,0.019967364682185653,0.32207122014778805,1.5222733580236739e-06,793.672714800121,2.263030283216407e-05,6360.910370541406,1.7484666122348478e-06,has_uniform_empirical_pass
1600_to_3200,global,48.0,48.0,24.0,1.761713268590006e-11,5.706246645456586e-06,0.0014345640442354536,1.7008157901354538e-13,0.00017899550114963873,0.009654328024841279,0.32207122014778805,4.962273121612243e-08,1323.153575072795,1.2604588982967068e-06,16029.520710776615,4.0462491433866155e-05,has_uniform_empirical_pass
all_pairs,global,48.0,48.0,24.0,1.761713268590006e-11,5.706246645456586e-06,0.0014345640442354536,1.7008157901354538e-13,0.00017899550114963873,0.009654328024841279,0.32207122014778805,4.962273121612243e-08,1323.153575072795,1.2604588982967068e-06,16029.520710776615,4.0462491433866155e-05,has_uniform_empirical_pass
