D,R_tail,parity,R0,R1,center_mode,center_anchors,tube_factor,tube_half_re,tube_half_im,tube_radius_min,n_quad_nodes,n_points_per_node,dR_step,dE_step,endpoint_interpolation_error,center_speed_abs_max,max_curved_flow_integrand,median_node_curved_flow_integrand,max_raw_flow_integrand,sup_integral_curved_bound,trapz_integral_curved_bound,simpson_integral_curved_bound,sup_integral_raw_bound,trapz_integral_raw_bound,simpson_integral_raw_bound,sup_curved_contraction_ratio,trapz_curved_contraction_ratio,simpson_curved_contraction_ratio,curved_contraction_ratio,raw_contraction_ratio,dF_dE_abs_min,dF_dE_abs_median_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max,curved_flow_pass,curved_flow_status
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,384.0,0.038400000000000004,0.038400000000000004,0.038400000000000004,9.0,17.0,0.5,3.8400000000000005e-05,5.204170427930421e-18,0.00013824321971909196,0.002165729475325949,0.0018063905074463373,0.0021023712953626076,0.04331458950651898,0.03641295824426312,,0.042047425907252155,0.03412426739151253,,1.127984101732265,0.948254120944352,,0.948254120944352,0.8886527966539721,123.23251992229568,147.07877747152,3.9698391812340206,0.009395365470296624,1.0,curved_flowbox_closed
6.0,400.0,odd,60.0,80.0,cubic_path,60;80;100;120,384.0,0.038400000000000004,0.038400000000000004,0.038400000000000004,9.0,17.0,0.5,3.8400000000000005e-05,1.1677214766175423e-17,0.00027588535945133043,0.002265249455352819,0.0018824274976489645,0.0020266989907319526,0.045304989107056375,0.03798066556166366,,0.04053397981463905,0.03427777201593657,,1.1798174246629263,0.989079832334991,,0.989079832334991,0.8926503129150147,123.23251992011308,147.0787673992773,3.874048864085599,0.008870935132988114,1.0,curved_flowbox_closed
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,512.0,0.0512,0.0512,0.0512,9.0,17.0,0.5,5.1200000000000004e-05,5.204170427930421e-18,0.00013824321971909196,0.0027036880466989144,0.002323056576135581,0.0025901955696908097,0.05407376093397829,0.046739917767115974,,0.051803911393816196,0.044397048246567275,,1.0561281432417635,0.9128890188889838,,0.9128890188889838,0.867129848565767,107.85707654077166,125.69953798026587,9.730612746966443,0.016702874177981795,1.0,curved_flowbox_closed
6.0,400.0,odd,60.0,80.0,cubic_path,60;80;100;120,512.0,0.0512,0.0512,0.0512,9.0,17.0,0.5,5.1200000000000004e-05,1.1677214766175423e-17,0.00027588535945133043,0.0028701662659049013,0.0023985706747211605,0.002633465132666175,0.057403325318098025,0.04837810010019236,,0.0526693026533235,0.044696904240262916,,1.121158697619102,0.944884767581882,,0.944884767581882,0.8729864109426351,107.85707652862723,125.69953799236622,7.038254622647372,0.01577010172283587,1.0,curved_flowbox_closed
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,0.064,0.064,9.0,17.0,0.5,6.4e-05,5.204170427930421e-18,0.00013824321971909196,0.0033059079926411037,0.0028399427113142664,0.003192691544917518,0.06611815985282207,0.05715331097920783,,0.06385383089835035,0.05481601213377925,,1.033096247700345,0.8930204840501224,,0.8930204840501224,0.8565001895903007,97.09324022695422,112.40685493126577,10.051830765732275,0.02609809713282219,1.0,curved_flowbox_closed
6.0,400.0,odd,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,0.064,0.064,9.0,17.0,0.5,6.4e-05,1.1677214766175423e-17,0.00027588535945133043,0.003471651509185857,0.002915065425013738,0.0032360474142190195,0.06943303018371715,0.05878363346900964,,0.0647209482843804,0.055116054405218134,,1.0848910966205805,0.9184942729532756,,0.9184942729532756,0.8611883500815334,97.0932402221637,112.4068549318384,10.297765305426045,0.024640311267384325,1.0,curved_flowbox_closed
6.0,400.0,even,60.0,80.0,secant,60;80,384.0,0.038400000000000004,0.038400000000000004,0.038400000000000004,9.0,17.0,0.5,3.8400000000000005e-05,8.940560153363745e-18,0.00013649408027813247,0.0021635068550762394,0.0018047198006535944,0.002102371295395408,0.04327013710152479,0.03640568888221621,,0.04204742590790816,0.03412305181951156,,1.1268264870188747,0.948064814641047,,0.948064814641047,0.8886211411331134,123.23251992249592,147.07877747248307,4.020065082112785,0.009395966272341039,1.0,curved_flowbox_closed
6.0,400.0,odd,60.0,80.0,secant,60;80,384.0,0.038400000000000004,0.038400000000000004,0.038400000000000004,9.0,17.0,0.5,3.8400000000000005e-05,1.0551910960100405e-17,0.00021364628054567651,0.0022123689567176055,0.0018907590670728955,0.0020266989907567405,0.04424737913435211,0.038079777246487395,,0.04053397981513481,0.034368973569435114,,1.1522754982904193,0.9916608657939425,,0.9916608657939425,0.895025353370706,123.23251992020138,147.0787674001528,3.9544605477959807,0.008870860361925782,1.0,curved_flowbox_closed
6.0,400.0,even,60.0,80.0,secant,60;80,512.0,0.0512,0.0512,0.0512,9.0,17.0,0.5,5.1200000000000004e-05,8.940560153363745e-18,0.00013649408027813247,0.0027073608788545315,0.002321387287066426,0.0025901955696652668,0.05414721757709063,0.04673991576319923,,0.051803911393305334,0.044395819629399105,,1.0575628433025512,0.912888979749985,,0.912888979749985,0.8671058521367012,107.85707654083538,125.69953798164866,9.77961136439533,0.01670269991691904,1.0,curved_flowbox_closed
6.0,400.0,odd,60.0,80.0,secant,60;80,512.0,0.0512,0.0512,0.0512,9.0,17.0,0.5,5.1200000000000004e-05,1.0551910960100405e-17,0.00021364628054567651,0.002817890494131879,0.0024068495113819055,0.002633465132673692,0.05635780988263758,0.04846953656718161,,0.052669302653473846,0.04478768932252078,,1.1007384742702653,0.9466706360777657,,0.9466706360777657,0.8747595570804839,107.85707652941825,125.6995379926383,7.306547828072786,0.015770257166161858,1.0,curved_flowbox_closed
