D,R_tail,parity,R0,R1,center_mode,center_anchors,tube_factor,tube_radius_min,node_index,tau,R,center_real,center_imag,center_speed_abs,n_points,max_q,median_q,max_raw_flow,dF_dE_abs_min,dF_dE_abs_median,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,0.0,0.0,60.0,0.009261476038906105,-0.0033160702851386,0.00013441994116803442,17.0,0.0033059079926411037,0.0024018948743490406,0.003192691544917518,128.34114739474532,149.48049116016077,3.0746055777710883,0.02609809713282219
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,1.0,0.03125,60.625,0.009178964942161723,-0.0032993762531967176,0.00013495894844465164,17.0,0.0032729001473076644,0.002377750978875027,0.0031590644680609225,127.0441259181937,147.94786808607935,2.6486212415687063,0.028396137107325817
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,2.0,0.0625,61.25,0.009096171737130199,-0.003282441674299089,0.00013545800808309894,17.0,0.0032404836277109355,0.0023540597770219237,0.003126067787058701,125.7743981303371,146.44699266899636,2.3910045085077734,0.02889044866818141
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,3.0,0.09375,61.875,0.009013120553342854,-0.003265275096491995,0.00013591707781216504,17.0,0.003208634318765137,0.002330807988496566,0.0030936770850608294,124.53123875376507,145.8646220014765,2.2568863239229655,0.027635656537193572
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,4.0,0.125,62.5,0.008929835520331011,-0.003247885067821714,0.00013633611767955586,17.0,0.003177330033055385,0.002277856212616344,0.0030618699905953705,123.31396424690196,145.56076149537463,2.2231517617655876,0.02520269583445946
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,5.0,0.15625,63.125,0.008846340767625997,-0.0032302801363345264,0.00013671508989604388,17.0,0.003146555490484029,0.002245530886339335,0.0030306309661099575,122.1217751829779,144.58156048167132,2.287220469861517,0.02223969587515802
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,6.0,0.1875,63.75,0.008762660424759133,-0.0032124688500767104,0.0001370539586919791,17.0,0.003116297520031325,0.0022347612823783057,0.002999946646908668,120.95388491250665,142.98715084394038,2.4616525191376897,0.019172951083745778
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,7.0,0.21875,64.375,0.008678818621261743,-0.0031944597570945457,0.00013735269018503888,17.0,0.0030865442460233355,0.0022406039992967663,0.0029698050617636687,119.80952931313341,140.88370369191955,2.7745381126623507,0.01625897283502433
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,8.0,0.25,65.0,0.00859483948666515,-0.003176261405434314,0.00013761125225820878,17.0,0.0030572881156288507,0.002218893462014832,0.0029401984481732413,118.6878561284872,138.4219580380474,3.2959853760657034,0.013884051542434685
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,9.0,0.28125,65.625,0.008510747150500682,-0.0031578823431422905,0.00013782961444708928,17.0,0.0030285189199265273,0.0021976077038891057,0.002911116586083211,117.58814971895536,136.75199042317053,4.119357700625537,0.012734786518462729
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,640.0,0.064,10.0,0.3125,66.25,0.008426565742299654,-0.0031393311182647578,0.0001380077478357106,17.0,0.0030002285017146036,0.0021767341299151165,0.002882551280691621,116.50965295420784,135.47270285701063,5.4467361421001685,0.013200494159806703
