D,R,R_tail_root,parity,ell,h,E0_real,E0_imag,Gamma_dtn,transfer_pair,R_start,R_ref,boundary_F_abs_min,m_rouche_budget,initial_delta_at_R_start,transfer_delta_at_R,transfer_delta_over_budget,empirical_transfer_gain,allowed_transfer_gain,empirical_gain_over_allowed,variational_condition_abs,variational_condition_log10,linearized_delta,linearized_delta_over_budget,empirical_over_variational,variational_kappa_real,variational_kappa_imag,variational_nfev,variational_m_residual,empirical_transfer_status,linear_transfer_status
6.0,60.0,400.0,even,1.0,0.05,0.0092614760389061,-0.0033160702851386,0.0033008158249878,1600_to_3200,1600.0,3200.0,0.3374138893125741,0.008435347232814352,0.1974073364937628,1.620323730785895e-13,1.9208737780024893e-11,8.208021847440761e-13,0.04273066737355464,1.9208737780024893e-11,7.512289141980601e-08,-7.124227704774156,1.482980990489405e-08,1.7580556550422243e-06,1.092612610126017e-05,5.36001259997087e-08,-5.263530476863714e-08,5846.0,9.240626074131382e-13,passes_empirical_transfer_budget,passes_linear_condition_budget
6.0,60.0,400.0,odd,1.0,0.05,0.010772654646807,-0.0036291617273143,0.0036097645895319,1600_to_3200,1600.0,3200.0,0.3343827725076107,0.008359569312690268,0.21234005601620526,4.2634896403972633e-13,5.1001307375070874e-11,2.0078593367573965e-12,0.03936878170575733,5.100130737507087e-11,4.962273121612243e-08,-7.304319336004004,1.0536893526108534e-08,1.2604588982967068e-06,4.0462491433866155e-05,2.9592024762804996e-08,3.9833748553018054e-08,6602.0,3.5226623014852924e-12,passes_empirical_transfer_budget,passes_linear_condition_budget
6.0,80.0,400.0,even,1.0,0.0666666666666666,0.0066008777080276,-0.0027049482824944,0.0026960622878862,1600_to_3200,1600.0,3200.0,0.1217320976509424,0.0040577365883647425,0.16781482668124864,7.296356054321539e-14,1.7981344760631573e-11,4.3478613890180315e-13,0.02417984553934618,1.7981344760631573e-11,4.50209633798661e-07,-6.346585215997353,7.555185166615072e-08,1.8619210493552004e-05,9.657415263047093e-07,-8.521785989826466e-08,-4.4207084355280004e-07,4850.0,2.1690448448979416e-13,passes_empirical_transfer_budget,passes_linear_condition_budget
6.0,80.0,400.0,odd,1.0,0.0666666666666666,0.0066008777113058,-0.0027049482904822,0.0026960622958433,1600_to_3200,1600.0,3200.0,0.1217321021226802,0.004057736737422669,0.16781482675390308,8.151212116329647e-14,2.0088075308471117e-11,4.857265757740958e-13,0.024179846417106247,2.0088075308471117e-11,4.502120065003246e-07,-6.346582927177996,7.555224987337906e-08,1.8619307944893238e-05,1.0788841007369838e-06,-8.521024145900957e-08,-4.4207472846516073e-07,4850.0,2.1171052453442158e-13,passes_empirical_transfer_budget,passes_linear_condition_budget
6.0,100.0,400.0,even,1.0,0.0833333333333333,0.0044173683334497,-0.0021188553782595,0.0021141897675973,1600_to_3200,1600.0,3200.0,0.0523355393205626,0.0021806474716901075,0.1386878989598834,4.2665513417713085e-14,1.9565525364191602e-11,3.0763688640242817e-13,0.015723415583077494,1.9565525364191602e-11,3.034519891495644e-06,-5.51791001133269,4.2085118810350423e-07,0.00019299368355827097,1.0137909699145229e-07,-1.0011971715489037e-06,2.8645968644060914e-06,4382.0,2.4365301257266767e-15,passes_empirical_transfer_budget,passes_linear_condition_budget
6.0,100.0,400.0,odd,1.0,0.0833333333333333,0.0044173683350498,-0.0021188553800381,0.0021141897693703,1600_to_3200,1600.0,3200.0,0.0523355314527734,0.0021806471438655575,0.13868789899189055,3.921703784252406e-14,1.7984128222141147e-11,2.827718793607017e-13,0.01572341321569134,1.7984128222141147e-11,3.034507856451981e-06,-5.517911733767739,4.2084951908571064e-07,0.00019299294719442105,9.318541679154699e-08,-1.001237494862764e-06,2.864570021792055e-06,4382.0,7.570327684053348e-15,passes_empirical_transfer_budget,passes_linear_condition_budget
6.0,120.0,400.0,even,1.0,0.1,0.0035016243975835,-0.0018378939529164,0.0018346838025795,1600_to_3200,1600.0,3200.0,0.0240102008488947,0.0012005100424447351,0.1243494150349705,3.0450722403402516e-14,2.5364821056717065e-11,2.4488030277294775e-13,0.009654328024841279,2.5364821056717065e-11,1.215154854290453e-05,-4.915368373852928,1.5110379530792263e-06,0.0012586633178029297,2.015218899124894e-08,7.371803332535707e-06,9.66005422432921e-06,4394.0,1.6964925815385808e-14,passes_empirical_transfer_budget,passes_linear_condition_budget
6.0,120.0,400.0,odd,1.0,0.1,0.003501624401755,-0.0018378939523014,0.0018346838019618,1600_to_3200,1600.0,3200.0,0.0240102010297344,0.0012005100514867202,0.12434941508929606,2.114954486779826e-14,1.761713268590006e-11,1.7008157901354538e-13,0.009654328093337846,1.761713268590006e-11,1.215164487353711e-05,-4.915364931024535,1.5110499323971827e-06,0.0012586732868466097,1.3996589003677648e-08,7.371939419337056e-06,9.660071548916456e-06,4394.0,1.455939389611009e-14,passes_empirical_transfer_budget,passes_linear_condition_budget
6.0,60.0,800.0,even,1.0,0.05,0.0100336639045976,-0.0020046965244911,0.0019947133724832,1600_to_3200,1600.0,3200.0,1.8437704327783464,0.046094260819458666,0.20132894780489846,5.259292232570689e-07,1.1409863482072548e-05,2.612288143316233e-06,0.22894999115639925,1.1409863482072548e-05,301.0719586044464,2.478670307852623,60.61450063939314,1315.0118813447762,8.676623872329147e-09,-298.4672257010664,39.5175839371054,6758.0,9.915645186105018e-13,passes_empirical_transfer_budget,not_lifted_linear_condition
6.0,60.0,800.0,odd,1.0,0.05,0.0100336639072853,-0.0020046965768186,0.0019947134245475,1600_to_3200,1600.0,3200.0,1.843768750582952,0.046094218764573806,0.20132894796241893,5.259245311699368e-07,1.1409772098668078e-05,2.6122648356961984e-06,0.22894978209083963,1.1409772098668078e-05,301.06928512634903,2.478666451359492,60.61396243828539,1315.0014050107056,8.676623504121038e-09,-298.46434844169374,39.51894679474762,6758.0,1.220091836823355e-12,passes_empirical_transfer_budget,not_lifted_linear_condition
