D,group_family,group_label,n_boxes,R_values,R_tail_values,parities,re_span,im_span,abs_diameter,box_re_min,box_im_min,re_overlap_width,im_overlap_width,has_common_box_intersection,exact_square_cover_factor,disk_cover_diameter_lower_factor,n_contour_jost_pass,boundary_ratio_direct_max,boundary_product_margin_min,winding_abs_max,single_pole_status
12.0,R_sweep_fixed_tail,"(12,400)",8.0,"60,80,100,120",400,"even,odd",0.0073015968112078,0.0016447644606672,0.007484555171477851,0.0001,0.0001,-0.0071015968112078005,-0.0014447644606672002,0.0,36.507984056039,37.422775857389254,8.0,1.0047892264120881e-08,99523360.09521228,0.0,tail_box_control_but_no_single_pole_intersection
12.0,R_sweep_fixed_tail,"(12,800)",8.0,"60,80,100,120",800,"even,odd",0.0073669898014657,0.0009552277446694,0.00742866063157322,0.0001,0.0001,-0.0071669898014657014,-0.0007552277446694,0.0,36.8349490073285,37.1433031578661,8.0,0.0168309976894491,59.414184378794616,0.0,tail_box_control_but_no_single_pole_intersection
18.0,R_sweep_fixed_tail,"(18,400)",8.0,"60,80,100,120",400,"even,odd",0.007345298521041801,0.0015704199811475,0.007511300105816817,0.0001,0.0001,-0.007145298521041801,-0.0013704199811475002,0.0,36.726492605209,37.55650052908408,8.0,5.0429008070359106e-08,19829856.62943814,0.0,tail_box_control_but_no_single_pole_intersection
18.0,R_sweep_fixed_tail,"(18,800)",8.0,"60,80,100,120",800,"even,odd",0.0073882151306736005,0.0009136556766534001,0.007444493905739685,0.0001,0.0001,-0.007188215130673601,-0.0007136556766534001,0.0,36.941075653368,37.22246952869842,8.0,0.0260580974101955,38.37578715968492,0.0,tail_box_control_but_no_single_pole_intersection
6.0,R_sweep_fixed_parity,"(6,even)",8.0,"60,80,100,120","400,800",even,0.0065738973664969,0.0022538247313293003,0.0066411098784295046,0.0001,0.0001,-0.0063738973664969,-0.0020538247313293,0.0,32.8694868324845,33.205549392147525,8.0,0.0075847495047429,131.84351037231704,0.0,tail_box_control_but_no_single_pole_intersection
6.0,R_sweep_fixed_parity,"(6,odd)",8.0,"60,80,100,120","400,800",odd,0.0073128880845064,0.0025669161339637,0.007750315514565767,0.0001,0.0001,-0.0071128880845064005,-0.0023669161339637,0.0,36.564440422532,38.751577572828836,8.0,0.0075847882058402,131.84283764575096,0.0,tail_box_control_but_no_single_pole_intersection
12.0,R_sweep_fixed_parity,"(12,even)",8.0,"60,80,100,120","400,800",even,0.0073860164895671,0.0023288357359908,0.007744463536577916,0.0001,0.0001,-0.0071860164895671,-0.0021288357359908004,0.0,36.930082447835495,38.722317682889575,8.0,0.0168309929372067,59.41420115443035,0.0,tail_box_control_but_no_single_pole_intersection
12.0,R_sweep_fixed_parity,"(12,odd)",8.0,"60,80,100,120","400,800",odd,0.0073860164965371,0.0023288357509958,0.007744463547737464,0.0001,0.0001,-0.007186016496537101,-0.0021288357509958,0.0,36.9300824826855,38.722317738687316,8.0,0.0168309976894491,59.414184378794616,0.0,tail_box_control_but_no_single_pole_intersection
18.0,R_sweep_fixed_parity,"(18,even)",8.0,"60,80,100,120","400,800",even,0.007454671890784301,0.0022030619278461,0.007773391464295012,0.0001,0.0001,-0.007254671890784301,-0.0020030619278461003,0.0,37.2733594539215,38.86695732147506,8.0,0.0260580967062911,38.37578819632562,0.0,tail_box_control_but_no_single_pole_intersection
18.0,R_sweep_fixed_parity,"(18,odd)",8.0,"60,80,100,120","400,800",odd,0.0074546718911042,0.0022030619281826003,0.007773391464697164,0.0001,0.0001,-0.007254671891104201,-0.0020030619281826006,0.0,37.273359455521,38.86695732348581,8.0,0.0260580974101955,38.37578715968492,0.0,tail_box_control_but_no_single_pole_intersection
