D,R_tail,parity,R0,R1,center_mode,tube_radius_min,slab_index,R_left,R_right,delta_R,node_upper_beta,sampled_direct_dH_dR_abs_max,direct_guard_factor,direct_L_bound,s24_interval_L_bound,direct_L_over_s24_L,five_percent_reserve,direct_remainder_bound,direct_remainder_over_reserve,beta_direct,beta_s24_interval,direct_contribution,s24_interval_contribution,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max,special_interval_pass
6.0,400.0,even,60.0,80.0,cubic_path,0.064,0.0,60.0,60.625,0.625,0.0033059079926411,5.3319810635328546e-05,2.0,0.00010663962127065709,0.0002640627626675,0.4038419510324314,0.000165295399632055,3.332488164708034e-05,0.20160804064275845,0.00333923287428818,0.0033884276059746934,0.0020870205464301127,0.0021177672537341834,126.7241600347709,0.5323119440310209,0.02869852344209704,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,1.0,60.625,61.25,0.625,0.0032729001473076,5.234416879711961e-05,2.0,0.00010468833759423922,0.0002640627626675,0.39645248173844067,0.00016364500736538003,3.2715105498199756e-05,0.19991508463900018,0.0033056152528057998,0.003355419760641194,0.002066009533003625,0.002097137350400746,125.46113474595015,0.5279996689018888,0.028944753023880162,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,2.0,61.25,61.875,0.625,0.0032404836277109,5.1416464411847395e-05,2.0,0.00010283292882369479,0.0002640627626675,0.389426088649913,0.00016202418138554502,3.213529025740462e-05,0.1983363840051567,0.0032726189179683044,0.0033230032410444935,0.00204538682373019,0.0020768770256528084,124.22452058092946,0.5143006877380166,0.028944753023880162,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,3.0,61.875,62.5,0.625,0.0032086343187651,5.0526075417168994e-05,2.0,0.00010105215083433799,0.0002640627626675,0.3826823207238041,0.00016043171593825502,3.157879713573062e-05,0.1968363733507923,0.0032402131159008306,0.0032911539320986936,0.002025133197438019,0.0020569712075616834,123.01358753683876,0.4916503161392849,0.028086597495126025,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,4.0,62.5,63.125,0.625,0.0031773300330553,4.9666424544994403e-05,2.0,9.933284908998881e-05,0.0002640627626675,0.3761713620146654,0.00015886650165276503,3.1041515340621505e-05,0.19539371118317336,0.0032083715483959218,0.003259849646388894,0.002005232217747451,0.0020374060289930587,121.82756296101948,0.4636264006787253,0.02588286692926115,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,5.0,63.125,63.75,0.625,0.003146555490484,5.384363402442659e-05,2.0,0.00010768726804885317,0.0002640627626675,0.40780936683772334,0.0001573277745242,3.365227126526662e-05,0.21389911201019537,0.0031802077617492665,0.0032290751038175935,0.0019876298510932916,0.002018171939885996,120.66562217317332,0.4347488200575977,0.023002086579445847,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,6.0,63.75,64.375,0.625,0.0031162975200313,6.18096422381149e-05,2.0,0.0001236192844762298,0.0002640627626675,0.4681435702158715,0.000155814876001565,3.863102639882181e-05,0.24792900004254922,0.0031549285464301216,0.0031988171333648934,0.001971830341518826,0.0019992607083530586,119.5270082328748,0.40857314215073254,0.019935785837281,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,7.0,64.375,65.0,0.625,0.0030865442460233,6.674711420786127e-05,2.0,0.00013349422841572254,0.0002640627626675,0.5055397704212257,0.000154327212301165,4.17169463799133e-05,0.2703149091976333,0.0031282611924032134,0.0031690638593568935,0.001955163245252008,0.0019806649120980586,118.41089798368048,0.3871100300548651,0.016957064513559952,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,8.0,65.0,65.625,0.625,0.0030572881156288,6.710781519002562e-05,2.0,0.00013421563038005125,0.0002640627626675,0.5082717041366851,0.00015286440578144,4.1942384493766015e-05,0.27437639442195405,0.003099230500122566,0.0031398077289623936,0.0019370190625766037,0.0019623798306014958,117.31656513581625,0.3711433473873374,0.014392387085436643,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,9.0,65.625,66.25,0.625,0.0030285189199265,6.583642175555444e-05,2.0,0.00013167284351110888,0.0002640627626675,0.498642224980837,0.000151425945996325,4.114776359722152e-05,0.27173522560143126,0.0030696666835237215,0.0031110385332600936,0.001918541677202326,0.0019443990832875586,116.24327391882893,0.36073199328780836,0.013531031068087014,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,10.0,66.25,66.875,0.625,0.0030002285017146,5.942006298894441e-05,2.0,0.00011884012597788881,0.0002640627626675,0.4500449998227459,0.00015001142508573001,3.713753936809025e-05,0.24756473946478758,0.0030373660410826903,0.003082748115048194,0.0018983537756766815,0.001926717571905121,115.19036590418256,0.35547932789081566,0.015401383587640101,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,11.0,66.875,67.5,0.625,0.0029724058312881,5.072806987217401e-05,2.0,0.00010145613974434802,0.0002640627626675,0.3842122180327962,0.00014862029156440502,3.170504367010876e-05,0.21332917151739866,0.0030041108749582087,0.0030549254446216936,0.0018775692968488805,0.0019093284028885585,114.1571674257058,0.35843752460850425,0.017786792731264475,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,12.0,67.5,68.125,0.625,0.0029450423136961,4.342080506970109e-05,2.0,8.684161013940218e-05,0.0002640627626675,0.32886730890091675,0.000147252115684805,2.713800316856318e-05,0.1842961850996587,0.002972180316864663,0.0030275619270296937,0.0018576126980404143,0.0018922262043935586,113.14320777304381,0.36097734140635407,0.02036081351942118,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,13.0,68.125,68.75,0.625,0.0029181252064478,4.2716501729016564e-05,2.0,8.543300345803313e-05,0.0002640627626675,0.32353294570960706,0.00014590626032239,2.6697813580635352e-05,0.18297921913456408,0.002944823020028435,0.0030006448197813936,0.001840514387517772,0.001875403012363371,112.14777316825581,0.3610376415646457,0.022802458403952983,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,14.0,68.75,69.375,0.625,0.0028916447924586,4.202536879345986e-05,2.0,8.405073758691972e-05,0.0002640627626675,0.3182983345999221,0.00014458223962293,2.6265855495912412e-05,0.18166723357179743,0.0029179106479545126,0.0029741644057921937,0.0018236941549715704,0.001858852753620121,111.17051328836051,0.3610376415646457,0.02468755443929008,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,15.0,69.375,70.0,0.625,0.0028655879591276,4.1360527624177636e-05,2.0,8.272105524835527e-05,0.0002640627626675,0.3132628561964838,0.00014327939795638002,2.5850329765111022e-05,0.18041902837266874,0.002891438288892711,0.0029481075724611936,0.0018071489305579445,0.001842567232788246,110.21082880178024,0.3564345246277843,0.025595813460420228,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,16.0,70.0,70.625,0.625,0.0028399427113142,4.070828514358073e-05,2.0,8.141657028716146e-05,0.0002640627626675,0.3083227997189395,0.00014199713556571001,2.5442678214737956e-05,0.1791774046242236,0.002865385389528938,0.0029224623246477937,0.0017908658684555863,0.001826538952904871,109.26830524460257,0.34342426701347084,0.02560850187737642,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,17.0,70.625,71.25,0.625,0.0028146980292212,4.007743261996528e-05,2.0,8.015486523993056e-05,0.0002640627626675,0.30354474985501534,0.00014073490146106,2.50483953874783e-05,0.17798282535060395,0.0028397464246086783,0.0028972176425547938,0.001774841515380424,0.0018107610265967462,108.34249803868578,0.32195577580678775,0.02560850187737642,1.0
