D,ell,N_target,theta,R0,L,Nz,h,exterior_length,seed_E,seed_omega,seed_bound,S_seed,Gamma_geo_seed,Gamma_ecs_over_geo,Z_left_imag,Z_right_imag,J_exterior_real,J_exterior_imag,V_imag_abs_max,candidate_count,candidate_index,E_ecs_real,E_ecs_imag,omega_ecs_real,omega_ecs_imag,Gamma_ecs,Gamma_ecs_narrow,candidate_overlap,candidate_interior_weight,candidate_seed_dist,eig_residual_abs
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,50.0,0.004795369512921285,1.0023948171817936,0.0,11.582209797089657,8.726884060403383e-11,3195099.256698753,-3.983753484970004,3.9837534849700047,0.9968017063026194,0.0799146939691727,8.109166793367713e-05,12.0,1.0,0.0047920168199428684,-0.00027949989726639834,1.0023931545341123,-0.00013941630387345524,0.0002788326077469105,0.0002788326077469105,0.9990949560589168,0.15571053002283858,0.00027952000486930223,3.789497402293063e-14
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,70.0,0.003689610919892787,1.0018431069383533,0.0,11.586823297896808,8.641972346785521e-11,2823744.6989776557,-5.582041373746712,5.582041373746712,0.9968017063026194,0.0799146939691727,8.109164677212162e-05,12.0,0.0,0.0036848037222960727,-0.0002444764206692642,1.0018407151886066,-0.00012201361801473554,0.00024402723602947107,0.00024402723602947107,0.9990138808838461,0.05284699618372993,0.0002445236786325383,4.033958816207621e-14
6.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,40.0,0.004795369512921285,1.0023948171817936,0.0,11.582209797089657,8.726884060403383e-11,2554552.1456573573,-3.184606545278277,3.1846065452782777,0.9968017063026194,0.0799146939691727,6.418412542322406e-05,12.0,0.0,0.004795032602917756,-0.00022346665124070887,1.0023946553267713,-0.00011146640200703226,0.0002229328040140645,0.0002229328040140645,0.9992493236023958,0.35519947659784235,0.00022346690521213,4.971002676563415e-14
6.0,1.0,3.0,0.08,60.0,120.0,1601.0,0.15000000000000568,60.0,0.003689610919892787,1.0018431069383533,0.0,11.586823297896808,8.641972346785521e-11,2419987.468916598,-4.7828944340549855,4.7828944340549855,0.9968017063026194,0.0799146939691727,6.510729466338736e-05,12.0,1.0,0.0036872925969030773,-0.00020951986454625278,1.0018419553658293,-0.00010456732392972362,0.00020913464785944725,0.00020913464785944725,0.9990303356318794,0.1411246216012603,0.00020953269019645772,3.96632929860088e-14
6.0,1.0,3.0,0.12,50.0,100.0,1335.0,0.1499250374812533,50.0,0.004795369512921285,1.0023948171817936,0.0,11.582209797089657,8.726884060403383e-11,4795868.454592882,-5.967662507281213,5.967662507281215,0.9928086358538663,0.11971220728891936,0.00012172096183386247,12.0,0.0,0.004787816043759465,-0.0004195306145082174,1.0023910713067903,-0.00020926493986089014,0.0004185298797217803,0.0004185298797217803,0.997963086233936,0.15644362346012766,0.0004195986074881816,3.636510244709699e-14
6.0,1.0,3.0,0.12,50.0,120.0,1601.0,0.15000000000000568,70.0,0.003689610919892787,1.0018431069383533,0.0,11.586823297896808,8.641972346785521e-11,4237345.256621346,-8.361897679131017,8.361897679131017,0.9928086358538663,0.11971220728891936,0.00012172092780338384,12.0,0.0,0.003678781794648518,-0.0003668631600325838,1.0018377190535726,-0.00018309510265752236,0.0003661902053150447,0.0003661902053150447,0.9977796175177813,0.053249722973712874,0.0003670229531550435,3.832506403754471e-14
6.0,1.0,3.0,0.12,60.0,100.0,1335.0,0.1499250374812533,40.0,0.004795369512921285,1.0023948171817936,0.0,11.582209797089657,8.726884060403383e-11,3834826.744669495,-4.77054043439202,4.7705404343920215,0.9928086358538663,0.11971220728891936,9.633888089969841e-05,12.0,0.0,0.004794611477274612,-0.0003354622136940934,1.0023944530357056,-0.00016733044196232406,0.00033466088392464813,0.00033466088392464813,0.9983129853046174,0.3560086823495032,0.00033546307015017797,4.360553064817996e-14
6.0,1.0,3.0,0.12,60.0,120.0,1601.0,0.15000000000000568,60.0,0.003689610919892787,1.0018431069383533,0.0,11.586823297896808,8.641972346785521e-11,3632457.0626168773,-7.1647756062418235,7.1647756062418235,0.9928086358538663,0.11971220728891936,9.772750302813661e-05,12.0,0.0,0.003684387881492273,-0.00031449370106712953,1.0018405125154881,-0.0001569579674301041,0.0003139159348602082,0.0003139159348602082,0.9978172269513976,0.1418724801302196,0.00031453706958168583,3.498059494944319e-14
6.0,1.0,3.0,0.16,50.0,100.0,1335.0,0.1499250374812533,50.0,0.004795369512921285,1.0023948171817936,0.0,11.582209797089657,8.726884060403383e-11,6400512.651079138,-7.942024542614212,7.942024542614214,0.9872272833756269,0.15931820661424598,0.0001624507191184341,12.0,0.0,0.0047819163917436885,-0.0005598992536247993,1.0023881455756285,-0.00027928265916556366,0.0005585653183311273,0.0005585653183311273,0.9963787831440079,0.15747284133513395,0.0005600608544426458,3.9509078142061204e-14
6.0,1.0,3.0,0.16,50.0,120.0,1601.0,0.15000000000000568,70.0,0.003689610919892787,1.0018431069383533,0.0,11.586823297896808,8.641972346785521e-11,5653020.391562534,-11.12837673200508,11.12837673200508,0.9872272833756269,0.15931820661424598,0.00016245066943348458,12.0,0.0,0.0036703268825410127,-0.0004894281893136755,1.001833512390423,-0.0002442662294984904,0.0004885324589969808,0.0004885324589969808,0.9960451160196127,0.053817682127925384,0.000489807948681366,4.02585579182884e-14
