D,R_tail,parity,R0,R1,center_mode,center_anchors,tube_factor,tube_half_re,tube_half_im,tube_radius_min,n_quad_nodes,n_points_per_node,dR_step,dE_step,endpoint_interpolation_error,center_speed_abs_max,max_curved_flow_integrand,median_node_curved_flow_integrand,max_raw_flow_integrand,sup_integral_curved_bound,trapz_integral_curved_bound,simpson_integral_curved_bound,sup_integral_raw_bound,trapz_integral_raw_bound,simpson_integral_raw_bound,sup_curved_contraction_ratio,trapz_curved_contraction_ratio,simpson_curved_contraction_ratio,curved_contraction_ratio,raw_contraction_ratio,dF_dE_abs_min,dF_dE_abs_median_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max,curved_flow_pass,curved_flow_status
6.0,400.0,even,60.0,80.0,secant,60;80,64.0,0.0064,0.0064,0.0064,5.0,17.0,0.5,3.2000000000000005e-05,8.940560153363745e-18,0.00013649408027813247,0.0008395670000080963,0.0004926910848106805,0.000966582796922185,0.016791340000161928,0.0111524366404646,,0.0193316559384437,0.010622064649976257,,2.623646875025301,1.7425682250725936,,1.7425682250725936,1.65969760155879,247.96682348993875,457.79214251060387,1.0821308872666149,0.00652494391513484,0.0,curved_flowbox_not_closed
6.0,400.0,even,80.0,100.0,secant,80;100,64.0,0.0064,0.0064,0.0064,5.0,17.0,0.5,3.2000000000000005e-05,1.6203654470509613e-17,0.00011304001593754425,0.0006579585147107039,0.00044494703358646895,0.000545258212929718,0.013159170294214078,0.010226788213017214,,0.01090516425859436,0.00830753491172486,,2.0561203584709498,1.5979356582839397,,1.5979356582839397,1.2980523299570095,154.5834661242439,317.23338609105565,2.604251740853399,0.01802296347985748,0.0,curved_flowbox_not_closed
6.0,400.0,odd,60.0,80.0,secant,60;80,64.0,0.0064,0.0064,0.0064,5.0,17.0,0.5,3.2000000000000005e-05,1.0551910960100405e-17,0.00021364628054567651,0.0007708256941632683,0.0006019488735294644,0.0006475331942897139,0.015416513883265365,0.012608577114057077,,0.01295066388579428,0.010059934178987498,,2.408830294260213,1.9700901740714183,,1.9700901740714183,1.5718647154667964,237.2520493199638,457.792142970367,0.8331789063894526,0.006160493665707624,0.0,curved_flowbox_not_closed
6.0,400.0,odd,80.0,100.0,secant,80;100,64.0,0.0064,0.0064,0.0064,5.0,17.0,0.5,3.2000000000000005e-05,1.514782153580212e-17,0.00011304001609906478,0.0006579584896425618,0.0004449470413840793,0.0005452581901943757,0.013159169792851236,0.010226788162858888,,0.010905163803887515,0.00830753488347075,,2.0561202801330056,1.5979356504467013,,1.5979356504467013,1.2980523255423047,154.58345254505625,317.2333861488112,2.6042522831930834,0.018022631426483866,0.0,curved_flowbox_not_closed
6.0,400.0,even,60.0,80.0,secant,60;80,96.0,0.009600000000000001,0.009600000000000001,0.009600000000000001,5.0,17.0,0.5,4.800000000000001e-05,8.940560153363745e-18,0.00013649408027813247,0.0008900739244818196,0.0007225811916388956,0.0007775568504493987,0.01780147848963639,0.015473304251858645,,0.015551137008987975,0.013186019672217844,,1.8543206760037905,1.6118025262352753,,1.6118025262352753,1.3735437158560253,172.72714768240635,320.2946538345223,1.3956022800136756,0.014680778799294178,0.0,curved_flowbox_not_closed
6.0,400.0,even,80.0,100.0,secant,80;100,96.0,0.009600000000000001,0.009600000000000001,0.009600000000000001,5.0,17.0,0.5,4.800000000000001e-05,1.6203654470509613e-17,0.00011304001593754425,0.0005547247552948321,0.00047531519775349275,0.0005313118834086082,0.011094495105896643,0.009593474933006033,,0.010626237668172164,0.007837066157208509,,1.1556765735309003,0.9993203055214617,,0.9993203055214617,0.8163610580425529,184.32225628024366,241.99581611956893,0.35626717045258427,0.01798439593557524,1.0,curved_flowbox_closed
6.0,400.0,odd,60.0,80.0,secant,60;80,96.0,0.009600000000000001,0.009600000000000001,0.009600000000000001,5.0,17.0,0.5,4.800000000000001e-05,1.0551910960100405e-17,0.00021364628054567651,0.0017088724894142335,0.0008897951761197503,0.0019042776810799808,0.03417744978828467,0.021634196333221216,,0.03808555362159961,0.020064182077730433,,3.560151019612986,2.2535621180438765,,2.2535621180438765,2.0900189664302533,65.18325893089482,320.29461890910187,2.5327136364961906,0.017653170409000166,0.0,curved_flowbox_not_closed
6.0,400.0,odd,80.0,100.0,secant,80;100,96.0,0.009600000000000001,0.009600000000000001,0.009600000000000001,5.0,17.0,0.5,4.800000000000001e-05,1.514782153580212e-17,0.00011304001609906478,0.0005547248884623022,0.0004753151959095558,0.0005313119497937684,0.011094497769246045,0.009593475237896151,,0.010626238995875368,0.007837067124265955,,1.1556768509631297,0.999320337280849,,0.999320337280849,0.8163611587777035,184.3222561946232,241.99581611904415,0.35626730839935244,0.017984980809573267,1.0,curved_flowbox_closed
6.0,400.0,even,60.0,80.0,secant,60;80,128.0,0.0128,0.0128,0.0128,5.0,17.0,0.5,6.400000000000001e-05,8.940560153363745e-18,0.00013649408027813247,0.0010698856998988442,0.000886288797993001,0.0009618336848123298,0.021397713997976884,0.017486574348574046,,0.019236673696246598,0.0158368277242597,,1.671696406091944,1.3661386209823472,,1.3661386209823472,1.2372521659577889,181.34799355933103,261.06904229922475,1.1745587809361915,0.02609809829950771,0.0,curved_flowbox_not_closed
6.0,400.0,even,80.0,100.0,secant,80;100,128.0,0.0128,0.0128,0.0128,5.0,17.0,0.5,6.400000000000001e-05,1.6203654470509613e-17,0.00011304001593754425,0.00205205935622109,0.0006151248901473943,0.001945825016768955,0.0410411871244218,0.015618352695884756,,0.0389165003353791,0.013799754877321527,,3.206342744095453,1.2201838043659965,,1.2201838043659965,1.0781058497907443,54.85930382078827,203.20634130451387,0.2884646573397848,0.031971166660320384,0.0,curved_flowbox_not_closed
