D,branch_id,anchor_R,anchor_R_tail,anchor_parity,anchor_E_real,anchor_E_imag,anchor_Gamma,n_cases,Gamma_min,Gamma_max,Gamma_candidate,Gamma_R_rel_span_max,Gamma_Rtail_rel_span_max,Gamma_R120_over_R80_min,Gamma_R120_over_R80_max,parity_Gamma_rel_split_max,parity_E_abs_split_max,E_abs_span,root_residual_abs_max,branch_pick_dist_max,branch_pick_dist_median,branch_stability_score,branch_pass,branch_status,fail_reasons,argument_match_dist,argument_local_pass,contour_radius_min,boundary_F_abs_min,dF_dE_abs_proxy,linear_contour_residual_budget,rouche_residual_budget,branch_cover_radius_required,branch_cover_radius_over_contour,branch_square_cover_lower_bound,branch_square_cover_lower_bound_over_contour,branch_E_span_over_contour,half_span_residual_budget,full_span_residual_budget,half_span_residual_over_boundary_gap,half_span_residual_over_rouche_budget,local_box_can_cover_branch,local_square_can_cover_branch_by_span,parent_lift_status
6.0,0.0,60.0,400.0,even,0.0092614760389061,-0.0033160702851386,0.0033008158249878,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.0894132608297192,0.0015432715367494,0.0077503155504959,9.81366517228877e-07,0.0062241111053135,0.004000177549352,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate,0.0,1.0,0.0001,0.3374138893125741,3957.817502332819,0.39578175023328194,0.3374138893125741,0.00387515777524795,38.7515777524795,0.0027401503410456004,27.401503410456,77.503155504959,15.337167267177445,30.67433453435489,45.45505609868174,45.45505609868174,0.0,0.0,not_lifted_by_current_budget
6.0,1.0,60.0,400.0,odd,0.010772654646807,-0.0036291617273143,0.0036097645895319,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.0894132608297192,0.0015432715367494,0.0077503155504959,9.81366517228877e-07,0.0077503155504959,0.0054918799503422,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate,0.0,1.0,0.0001,0.3343827725076107,3899.808668500123,0.3899808668500123,0.3343827725076107,0.00387515777524795,38.7515777524795,0.0027401503410456004,27.401503410456,77.503155504959,15.112373883717607,30.224747767435215,45.19483396344422,45.19483396344422,0.0,0.0,not_lifted_by_current_budget
6.0,2.0,80.0,400.0,even,0.0066008777080276,-0.0027049482824944,0.0026960622878862,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.0894132608297192,0.0015432715367494,0.0077503155504959,9.81366517228877e-07,0.0042729256158418,0.0024953409621567,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate,0.0,1.0,0.0001,0.1217320976509424,1414.5911897933292,0.14145911897933294,0.1217320976509424,0.00387515777524795,38.7515777524795,0.0027401503410456004,27.401503410456,77.503155504959,5.481764047924869,10.963528095849737,45.03137753892497,45.03137753892497,0.0,0.0,not_lifted_by_current_budget
6.0,3.0,80.0,400.0,odd,0.0066008777113058,-0.0027049482904822,0.0026960622958433,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.0894132608297192,0.0015432715367494,0.0077503155504959,9.81366517228877e-07,0.0042729256109135,0.0024953409622836,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate,0.0,1.0,0.0001,0.1217321021226802,1414.5904790414645,0.14145904790414646,0.1217321021226802,0.00387515777524795,38.7515777524795,0.0027401503410456004,27.401503410456,77.503155504959,5.481761293649254,10.963522587298508,45.0313532590179,45.0313532590179,0.0,0.0,not_lifted_by_current_budget
6.0,4.0,100.0,400.0,even,0.0044173683334497,-0.0021188553782595,0.0021141897675973,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.0894132608297192,0.0015432715367494,0.0077503155504959,9.81366517228877e-07,0.0065322805659847,0.0018352736550998,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate,0.0,1.0,0.0001,0.0523355393205626,601.696401809113,0.0601696401809113,0.0523355393205626,0.00387515777524795,38.7515777524795,0.0027401503410456004,27.401503410456,77.503155504959,2.331668489809299,4.663336979618598,44.552296968365965,44.552296968365965,0.0,0.0,not_lifted_by_current_budget
6.0,5.0,100.0,400.0,odd,0.0044173683350498,-0.0021188553800381,0.0021141897693703,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.0894132608297192,0.0015432715367494,0.0077503155504959,9.81366517228877e-07,0.0065322805640167,0.00183527365574,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate,0.0,1.0,0.0001,0.0523355314527734,601.6960375616461,0.06016960375616461,0.0523355314527734,0.00387515777524795,38.7515777524795,0.0027401503410456004,27.401503410456,77.503155504959,2.3316670782928957,4.663334156585791,44.55227669555526,44.55227669555526,0.0,0.0,not_lifted_by_current_budget
6.0,6.0,120.0,400.0,even,0.0035016243975835,-0.0018378939529164,0.0018346838025795,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.0894132608297192,0.0015432715367494,0.0077503155504959,9.81366517228877e-07,0.0074884258108576,0.002294839611621,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate,0.0,1.0,0.0001,0.0240102008488947,269.3931506570434,0.026939315065704343,0.0240102008488947,0.00387515777524795,38.7515777524795,0.0027401503410456004,27.401503410456,77.503155504959,1.0439409623671843,2.0878819247343685,43.47905996026858,43.47905996026858,0.0,0.0,not_lifted_by_current_budget
6.0,7.0,120.0,400.0,odd,0.003501624401755,-0.0018378939523014,0.0018346838019618,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.0894132608297192,0.0015432715367494,0.0077503155504959,9.81366517228877e-07,0.0074884258069543,0.0022948396074574,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate,0.0,1.0,0.0001,0.0240102010297344,269.3931441633629,0.026939314416336287,0.0240102010297344,0.00387515777524795,38.7515777524795,0.0027401503410456004,27.401503410456,77.503155504959,1.0439409372031476,2.0878818744062952,43.47905858473754,43.47905858473754,0.0,0.0,not_lifted_by_current_budget
6.0,8.0,60.0,800.0,even,0.0100336639045976,-0.0020046965244911,0.0019947133724832,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.0894132608297192,0.0015432715367494,0.0077503155504959,9.81366517228877e-07,0.0066411098784295,0.0043462459448144,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate,0.0,1.0,0.0001,1.8437704327783464,29601.43276663187,2.9601432766631874,1.8437704327783464,0.00387515777524795,38.7515777524795,0.0027401503410456004,27.401503410456,77.503155504959,114.71022234409294,229.42044468818588,62.215024335344204,62.215024335344204,0.0,0.0,not_lifted_by_current_budget
6.0,9.0,60.0,800.0,odd,0.0100336639072853,-0.0020046965768186,0.0019947134245475,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.0894132608297192,0.0015432715367494,0.0077503155504959,9.81366517228877e-07,0.0066411098885158,0.0043462459457368,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate,0.0,1.0,0.0001,1.843768750582952,29601.529016433684,2.9601529016433688,1.843768750582952,0.00387515777524795,38.7515777524795,0.0027401503410456004,27.401503410456,77.503155504959,114.7105953272608,229.4211906545216,62.2152833922325,62.2152833922325,0.0,0.0,not_lifted_by_current_budget
