transfer_pair,D,n_rows,n_exact_projective_pass,n_segment_projective_pass,transfer_delta_over_budget_min,transfer_delta_over_budget_median,transfer_delta_over_budget_max,segment_delta_bound_over_budget_min,segment_delta_bound_over_budget_median,segment_delta_bound_over_budget_max,exact_projective_gain_min,exact_projective_gain_median,exact_projective_gain_max,segment_gain_bound_max,initial_delta_min,initial_delta_max,jost_denom_floor_segment_min,jost_denom_floor_segment_median,jost_pole_distance_segment_min,matrix_det_minus_one_abs_short_diag_max,exact_projective_formula_rel_error_max,exact_projective_formula_abs_error_over_budget_max,projective_transfer_status
1600_to_3200,6.0,16.0,16.0,8.0,1.4670164459203612e-13,5.7048621858813434e-06,0.0004005577117382696,1.2811820987524212e-05,18463.862722737365,195391.06570666298,3.8725781167705696e-16,1.3061248171371772e-06,3.3063956022988644e-05,16128.516366259393,0.11871964938180994,0.21234005601620526,0.007874133803252938,66.324088535582,3.2963604225543465e-10,,0.9847233402762675,1.0575735421154446e-11,not_uniform_on_current_grid
1600_to_3200,12.0,16.0,16.0,8.0,1.5035083677107546e-12,1.5029461877698109e-05,0.0009112974274658972,0.00010975083654706416,16651.56059648429,134317.66656702154,1.4792414584679217e-14,4.029408588539662e-06,9.707101764969016e-05,14307.460519144077,0.1185916795144878,0.21220363443015916,0.008360239554815362,22.294658031209153,1.1269904611646393e-09,,0.8987883656015635,6.845355447463484e-12,not_uniform_on_current_grid
1600_to_3200,18.0,16.0,16.0,8.0,9.904055115800363e-13,2.4133928843695325e-05,0.0014345629441810757,0.000315705795553388,13294.579942168708,105957.55198099701,1.068366823833422e-13,7.772431902951444e-06,0.00017899536393385486,13220.689049579812,0.1185808252499878,0.21245540186350068,0.008697069780434372,12.057771439760614,2.3974747731596657e-09,,0.6036333064083077,4.011547624101836e-12,not_uniform_on_current_grid
400_to_800,6.0,16.0,0.0,0.0,1.0051882602192213,11.631128296790093,88.60308340764769,1.10176486928846,24250.436048925127,556466.729717469,13.385664248390189,132.84389119797905,1462.4943466294415,305581.8653680079,3.9855959288077376e-05,0.015222834613163776,0.0018089901877369815,0.016087982458086614,7.676752866543912e-07,3.5709631037435705e-09,9.602933355481495e-10,1.648699727757112e-08,not_uniform_on_current_grid
400_to_800,12.0,16.0,2.0,0.0,0.9944188782377389,10.022983467487569,56.34303111533844,1.1160572934504933,6665.886423527029,124717.13000196441,12.834081121611275,84.89773757220459,871.7900832092554,86015.42768736354,8.206090159389376e-05,0.016395469550304617,0.003409665878164886,0.02208657857435887,2.5556773739022306e-06,3.457020703649618e-09,1.471403483019104e-09,3.781811297413519e-09,not_uniform_on_current_grid
400_to_800,18.0,16.0,2.0,0.0,0.9896450625024508,8.337599177783723,42.82155605567638,1.12873707685758,3196.2681867346932,55502.21653395321,12.397454603895223,65.94303965172064,664.2673290898007,45044.95343047528,0.00012585009064433784,0.017608981621876994,0.004711692387180682,0.02607818254483956,4.8465136438751025e-06,3.505724145461707e-09,1.6608935493535068e-09,2.3246755798434983e-09,not_uniform_on_current_grid
800_to_1600,6.0,16.0,8.0,0.0,0.001393476660793566,2.613281650299177,10.657115691734267,189606.2613103602,1031363.932702801,3884390.4898833456,5.509937484339114e-05,7.7150245517464295,16.09416247450752,6447932.03374428,0.006489087833131886,0.21141555114652438,0.00039381275166268295,0.00307192096140727,4.1055404537873585e-09,5.38133407761143e-05,2.6762712659705724e-09,1.1129208094130694e-08,not_uniform_on_current_grid
800_to_1600,12.0,16.0,8.0,0.0,0.002953598776591299,2.393855547532018,8.417838305987193,151010.55701552785,380062.3531331491,1733949.3965781992,0.0001580877419037593,7.367149281154762,15.32899135403473,2140488.451823382,0.007082712866697042,0.21126492087270826,0.0006835079266404493,0.003954342217227462,1.4850936182801613e-08,3.8548997094113995e-06,3.906566486405703e-09,1.7813891094954165e-08,not_uniform_on_current_grid
800_to_1600,18.0,16.0,8.0,0.0,0.004029429962596911,2.1550262671075413,7.281632388199763,73517.61757673138,272289.6790579192,1053446.6647035356,0.0002721981016866303,7.115601724495129,15.507535876516906,1187652.944112182,0.0075398900647773515,0.21155757388890234,0.0009176038459719287,0.004644864520895199,3.133271164375292e-08,1.67185095538669e-06,4.199623598171555e-09,1.6948421062295646e-08,not_uniform_on_current_grid
1600_to_3200,global,48.0,48.0,24.0,1.4670164459203612e-13,5.706215345008353e-06,0.0014345629441810757,1.2811820987524212e-05,13294.579942168708,195391.06570666298,3.8725781167705696e-16,1.3061518580396468e-06,0.00017899536393385486,16128.516366259393,0.1185808252499878,0.21245540186350068,0.007874133803252938,12.05780614945945,3.2963604225543465e-10,,0.9847233402762675,1.0575735421154446e-11,not_uniform_on_current_grid
