D,R_tail,parity,R0,R1,center_mode,tube_factor,tube_radius_min,slope_window,source_slab_left,source_slab_right,source_R_left,source_R_right,max_node_slope_abs,guard_factor,interval_L_bound
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,global,0.0,31.0,60.0,80.0,5.2812552533502975e-05,5.0,0.0002640627626675149
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,global,0.0,31.0,60.0,80.0,6.408101187590568e-05,5.0,0.0003204050593795284
