D,branch_id,anchor_theta,anchor_R0,anchor_L,anchor_candidate_index,anchor_E_real,anchor_E_imag,anchor_Gamma,n_cases,Gamma_min,Gamma_max,Gamma_candidate,E_abs_span,Gamma_theta_rel_span_max,Gamma_R0_rel_span_max,Gamma_L_rel_span_max,E_theta_abs_span_max,E_R0_abs_span_max,E_L_abs_span_max,seed_overlap_min,seed_overlap_median,interior_weight_min,eig_residual_abs_max,branch_pick_dist_max,branch_stability_score,branch_pass,branch_status,fail_reasons
6.0,1.0,0.08,50.0,100.0,1.0,0.004792016819940614,-0.00027949989726639573,0.0002788326077469082,12.0,0.0002091346479862323,0.0005585653183309982,0.0003504255447282071,0.0011557242318610069,0.6686507939663009,0.2228125015204925,0.1337656531230487,0.00028058121408238763,0.00011277728615924251,0.0011140665535414485,0.00037551850546397415,0.0017759600682318091,0.0528469959573829,4.703456341001068e-14,0.0011411652829106443,4.45767195977534,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,2.0,0.08,50.0,100.0,2.0,0.009561612207548314,-0.000631657638427328,0.0006286592597005864,12.0,0.000502474139180534,0.0018763787457900874,0.000975284680578011,0.002467514076558067,0.6687732301608751,0.22311271269130686,0.46066974799057214,0.0009471499274107298,0.00027260663465382965,0.002181628715540861,1.8457821574245162e-05,0.02612899599508351,0.4315226380574882,7.702222031093219e-14,0.00240527203863074,8.726514862163445,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;R0_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,3.0,0.08,50.0,120.0,0.0,0.0036848037222908807,-0.0002444764206692137,0.00024402723602942123,12.0,0.0002091346479862323,0.0005585653183309982,0.0003504255446198792,0.001155724230596856,0.6686507951691837,0.22281250330381697,0.13376565369617072,0.00028058121408238763,0.00011277728615924251,0.00111406655387644,0.00037551850546397415,0.997797824461357,0.052846996183720144,4.703456341001068e-14,0.0011415549802869483,4.457671967794558,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,4.0,0.08,50.0,120.0,2.0,0.007098241569861192,-0.0005344811889509881,0.0005325942712305447,12.0,0.0002229328044166019,0.0010660251806712847,0.0004944249319983204,0.002417675357567762,0.6686507951472286,0.22281250329610439,0.6870635285211787,0.0005366831984101876,0.0001544933098548529,0.0023375829205977082,5.9776704896539716e-05,0.001015564085188279,0.15571052919522657,7.014356341183617e-14,0.0023241130739129873,9.350331682390832,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,5.0,0.08,60.0,100.0,0.0,0.0047950326029151495,-0.00022346665124068808,0.00022293280401404408,12.0,0.0002091346479862323,0.0005585653183309982,0.0003504255447282071,0.001155724230368722,0.6686507951691837,0.22281250330381697,0.1337656531230487,0.00028058121408238763,0.00011277728615924251,0.0011140665535414485,0.00037551850546397415,0.49913909676510687,0.0528469959573829,4.703456341001068e-14,0.001155724230368722,4.457671967794558,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,6.0,0.08,60.0,100.0,2.0,0.009569220901117706,-0.0005048725679833191,0.0005024741333001349,12.0,0.0005024741333001349,0.0018763787457900874,0.000975284680578011,0.002467514101526323,0.668773237956325,0.22311272424855566,0.4606697590725744,0.0009471499274107298,0.00027260663465382965,0.002181628715540861,0.009387454462259692,0.04566601108227698,0.4315226380574882,7.702222031093219e-14,0.002467514101526323,8.726514862163445,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;R0_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,7.0,0.08,60.0,120.0,1.0,0.003687292596897456,-0.0002095198645462581,0.00020913464785945316,12.0,0.00020913464785945316,0.0005585653183309982,0.0003504255446198792,0.001155724230596856,0.6686507951691837,0.22281250330381697,0.13376565369617072,0.00028058121408238763,0.00011277728615924251,0.00111406655387644,0.9960461236254909,0.9978900113801529,0.052846996183720144,4.703456341001068e-14,0.0011493332713051355,4.457671967794558,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary
6.0,8.0,0.08,60.0,120.0,3.0,0.007104287608566267,-0.00045787341969955443,0.00045625559067404513,12.0,0.0002229328044166019,0.0010660251806712847,0.0004944249309522949,0.002417675357567762,0.6686507951472286,0.22281250329610439,0.6870635244770432,0.0005366831984101876,0.0001544933098548529,0.0023375829205977082,0.00026455536639121286,0.027685095894284886,0.15571052919522657,7.014356341183617e-14,0.002324611221938629,9.350331682390832,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,9.0,0.12,50.0,100.0,0.0,0.004787816043757229,-0.00041953061450825997,0.00041852987972182317,12.0,0.0002091346479862323,0.0005585653183309982,0.0003504255450289087,0.0011557242318610069,0.6686507927647004,0.22281250329610439,0.1337656531230487,0.00028058121363766666,0.00011277728615924251,0.0011140665535414485,0.00037551850546397415,0.0013227974515512245,0.0528469959573829,4.703456341001068e-14,0.0011203822433872935,4.457671951764669,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,10.0,0.12,50.0,100.0,3.0,0.009549301083346583,-0.0009481094171121847,0.0009436145875585066,12.0,0.000502474139180534,0.0018763787457900874,0.000975284680578011,0.002467514076558067,0.6687732223623838,0.2231127242083325,0.46066974799057214,0.0009471499274107298,0.00027260663465382965,0.002181628715540861,1.8457821574245162e-05,0.01814818723685588,0.4315226380574882,7.702222031093219e-14,0.0022674822593483196,8.726514862163445,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;R0_E_not_stationary;L_E_not_stationary;seed_overlap_low
