D,branch_id,anchor_R,anchor_R_tail,anchor_parity,anchor_E_real,anchor_E_imag,anchor_Gamma,n_cases,Gamma_min,Gamma_max,Gamma_candidate,Gamma_R_rel_span_max,Gamma_Rtail_rel_span_max,Gamma_R120_over_R80_min,Gamma_R120_over_R80_max,parity_Gamma_rel_split_max,parity_E_abs_split_max,E_abs_span,root_residual_abs_max,branch_pick_dist_max,branch_pick_dist_median,branch_stability_score,branch_pass,branch_status,fail_reasons
6.0,0.0,60.0,400.0,even,0.0092614760389061,-0.0033160702851386,0.0033008158249878,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.006224111105313531,0.0040001775493520185,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,1.0,60.0,400.0,odd,0.010772654646807,-0.0036291617273143,0.0036097645895319,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.007750315550495965,0.005491879950342278,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,2.0,80.0,400.0,even,0.0066008777080276,-0.0027049482824944,0.0026960622878862,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.004272925615841854,0.0024953409621567644,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,3.0,80.0,400.0,odd,0.0066008777113058,-0.0027049482904822,0.0026960622958433,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.004272925610913533,0.0024953409622836217,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,4.0,100.0,400.0,even,0.0044173683334497,-0.0021188553782595,0.0021141897675973,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.006532280565984735,0.0018352736550998853,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,5.0,100.0,400.0,odd,0.0044173683350498,-0.0021188553800381,0.0021141897693703,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.006532280564016767,0.0018352736557400054,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,6.0,120.0,400.0,even,0.0035016243975835,-0.0018378939529164,0.0018346838025795,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.007488425810857684,0.0022948396116210875,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,7.0,120.0,400.0,odd,0.003501624401755,-0.0018378939523014,0.0018346838019618,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.007488425806954397,0.002294839607457411,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,8.0,60.0,800.0,even,0.0100336639045976,-0.0020046965244911,0.0019947133724832,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.0066411098784295046,0.004346245944814475,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,9.0,60.0,800.0,odd,0.0100336639072853,-0.0020046965768186,0.0019947134245475,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.006641109888515887,0.004346245945736868,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
