D,R,R_tail_root,parity,ell,h,E0_real,E0_imag,Gamma_dtn,transfer_pair,R_start,R_ref,boundary_F_abs_min,m_rouche_budget,initial_delta_at_R_start,transfer_delta_at_R,transfer_delta_over_budget,empirical_transfer_gain,allowed_transfer_gain,empirical_gain_over_allowed,variational_condition_abs,variational_condition_log10,linearized_delta,linearized_delta_over_budget,empirical_over_variational,variational_kappa_real,variational_kappa_imag,variational_nfev,variational_m_residual,empirical_transfer_status,linear_transfer_status
6.0,60.0,400.0,even,1.0,0.05,0.0092614760389061,-0.0033160702851386,0.0033008158249878,400_to_800,400.0,800.0,0.3374138893125741,0.008435347232814352,0.013232016875345908,0.18419842385492588,21.836495732905387,13.920661195507327,0.6374951991280496,21.836495732905387,200751.60081226283,5.302659017069824,2656.348569700567,314906.8433563829,6.934271577005023e-05,192142.9403371788,58157.50774637335,1154.0,4.635887932809294e-08,not_lifted_empirical_transfer,not_lifted_linear_condition
6.0,60.0,400.0,even,1.0,0.05,0.0092614760389061,-0.0033160702851386,0.0033008158249878,800_to_1600,800.0,1600.0,0.3374138893125741,0.008435347232814352,0.1964324947150858,1.2405421364464888e-05,0.0014706473867734274,6.315361102784063e-05,0.04294272821332003,0.0014706473867734274,864.0868843962241,2.9365574132158407,169.73474235253627,20121.84414795054,7.308710752156463e-08,-743.4204698960913,-440.42269324485136,3326.0,4.484207242228208e-11,passes_empirical_transfer_budget,not_lifted_linear_condition
6.0,60.0,400.0,odd,1.0,0.05,0.010772654646807,-0.0036291617273143,0.0036097645895319,400_to_800,400.0,800.0,0.3343827725076107,0.008359569312690268,0.015222834613163776,0.20376765708410166,24.375377422228148,13.385657944933321,0.5491466947595571,24.375377422228148,230548.8417121054,5.362762944645625,3509.606887639855,419831.0650181566,5.80599661465594e-05,148950.3033376697,-175973.22395867395,1250.0,1.0572413059077898e-07,not_lifted_empirical_transfer,not_lifted_linear_condition
6.0,60.0,400.0,odd,1.0,0.05,0.010772654646807,-0.0036291617273143,0.0036097645895319,800_to_1600,800.0,1600.0,0.3343827725076107,0.008359569312690268,0.21141555114652438,1.1648995253428254e-05,0.0013934922742663864,5.5099992362221086e-05,0.03954093853245714,0.0013934922742663864,873.7433525246892,2.941383884636052,184.7229324346191,22097.182943886826,6.306198748523714e-08,149.63979908664578,-860.8341167788318,3638.0,1.0369780336970271e-10,passes_empirical_transfer_budget,not_lifted_linear_condition
6.0,80.0,400.0,even,1.0,0.0666666666666666,0.0066008777080276,-0.0027049482824944,0.0026960622878862,400_to_800,400.0,800.0,0.1217320976509424,0.0040577365883647425,0.009718406774951513,0.15130863746165482,37.288925529449365,15.569284242314474,0.4175310503387514,37.288925529449365,67828.94533096836,4.831415064293362,659.1892818422987,162452.45778951616,0.00022953746614140668,54063.332708597416,-40962.44476530905,866.0,5.604825414029947e-10,not_lifted_empirical_transfer,not_lifted_linear_condition
6.0,80.0,400.0,even,1.0,0.0666666666666666,0.0066008777080276,-0.0027049482824944,0.0026960622878862,800_to_1600,800.0,1600.0,0.1217320976509424,0.0040577365883647425,0.16673137226940843,3.3052949998302444e-05,0.008145661818729022,0.00019824073627184403,0.024336971099884894,0.008145661818729022,1951.4534307783324,3.2903581917959426,325.3685084335164,80184.72893644363,1.0158619885321896e-07,-1455.6918571681736,-1299.665999197793,2666.0,2.9890243998896106e-11,passes_empirical_transfer_budget,not_lifted_linear_condition
6.0,80.0,400.0,odd,1.0,0.0666666666666666,0.0066008777113058,-0.0027049482904822,0.0026960622958433,400_to_800,400.0,800.0,0.1217321021226802,0.004057736737422669,0.00971841145009649,0.15130863801138947,37.2889242951467,15.569276809111349,0.41753086481869234,37.2889242951467,67828.94773112038,4.831415079661031,659.1896222781166,162452.53571990246,0.00022953734843166466,54063.334967671195,-40962.4457580897,866.0,1.0458365738542681e-09,not_lifted_empirical_transfer,not_lifted_linear_condition
6.0,80.0,400.0,odd,1.0,0.0666666666666666,0.0066008777113058,-0.0027049482904822,0.0026960622958433,800_to_1600,800.0,1600.0,0.1217321021226802,0.004057736737422669,0.1667313722593691,3.3052932044401295e-05,0.008145657094894567,0.00019824062860217934,0.024336971995350766,0.008145657094894567,1951.4538361121367,3.2903582820026642,325.3685759957865,80184.7426411525,1.0158612257881144e-07,-1455.6917158037868,-1299.666766143153,2666.0,1.6437567496579403e-11,passes_empirical_transfer_budget,not_lifted_linear_condition
6.0,100.0,400.0,even,1.0,0.0833333333333333,0.0044173683334497,-0.0021188553782595,0.0021141897675973,400_to_800,400.0,800.0,0.0523355393205626,0.0021806474716901075,0.006884995902903018,0.11985549923989068,54.96326242361259,17.408216494268984,0.3167245852347785,54.9632624236126,23948.02611362044,4.379269723041172,164.8820616748912,75611.51621958391,0.0007269165488494294,23232.92581993364,-5808.537904163773,746.0,4.995697508383111e-10,not_lifted_empirical_transfer,not_lifted_linear_condition
6.0,100.0,400.0,even,1.0,0.0833333333333333,0.0044173683334497,-0.0021188553782595,0.0021141897675973,800_to_1600,800.0,1600.0,0.0523355393205626,0.0021806474716901075,0.13738601165167205,8.272825476818479e-05,0.037937473086406936,0.0006021592283931619,0.01587241266759321,0.037937473086406936,4015.323767919638,3.6037205695279826,551.6493179646432,252975.01092053554,1.4996529873981843e-07,-3691.364854675241,1580.0792609514237,2342.0,2.9004832222948728e-11,passes_empirical_transfer_budget,not_lifted_linear_condition
