tube_kind,D,R_tail,parity,R0,R1,pad_factor,n_contour,center_real,center_imag,half_re,half_im,half_re_over_box,half_im_over_box,root_gap_abs,delta_F_abs_max,rouche_ratio_from_R0,rouche_ratio_from_R1,rouche_ratio_symmetric,R0_argument_index_round,R1_argument_index_round,R0_argument_index_error,R1_argument_index_error,R0_zero_count_abs,R1_zero_count_abs,R0_boundary_F_abs_min,R1_boundary_F_abs_min,direct_endpoint_index_ok,rouche_pass_from_R0,symmetric_rouche_pass,large_tube_status
segment,6.0,400.0,even,60.0,80.0,200.0,32.0,0.007931176873466849,-0.0030105092838165,0.02133029916543925,0.020305561001322102,213.30299165439249,203.055610013221,0.002729881605562651,4.323950345874434,1.2828752475923877,2.3044248670745455,2.3044248670745455,0.0,0.0,0.0,0.0,0.0,0.0,3.3705150629333036,1.876368549764725,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,80.0,100.0,200.0,32.0,0.00550912302073865,-0.0024119018303769496,0.021091754687288952,0.02029304645211745,210.91754687288952,202.93046452117449,0.002260800318750878,2.1388970958155875,0.7832550338703598,1.6078743635407244,1.6078743635407244,0.0,0.0,0.0,0.0,0.0,0.0,2.7307798907419554,1.3302638217985452,0.0,1.0,0.0,rouche_ratio_ok_but_index_not_one
segment,6.0,400.0,even,100.0,120.0,200.0,32.0,0.0039594963655165995,-0.00197837466558795,0.0204578719679331,0.02014048071267155,204.578719679331,201.40480712671547,0.0009578759202561388,1.6909889598767684,1.2287925248064622,3.935286620802132,3.935286620802132,0.0,-1.0,0.0,0.0,0.0,1.0,1.3761387099446292,0.42969905951401655,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,odd,60.0,80.0,200.0,32.0,0.0086867661790564,-0.00316705500889825,0.0220858884677506,0.02046210671841605,220.85888467750598,204.6210671841605,0.004272925610913533,15.34376322465163,4.684265046830119,8.209126246795966,8.209126246795966,-1.0,-1.0,0.0,0.0,1.0,1.0,3.2755967203510146,1.869110397789329,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,400.0,odd,80.0,100.0,200.0,32.0,0.005509123023177799,-0.0024119018352601503,0.021091754688128,0.02029304645522205,210.91754688127997,202.93046455222049,0.002260800321981289,2.1388970954123847,0.7832545169171758,1.6078756752663599,1.6078756752663599,0.0,0.0,0.0,0.0,0.0,0.0,2.7307816925600434,1.3302627363014594,0.0,1.0,0.0,rouche_ratio_ok_but_index_not_one
segment,6.0,400.0,odd,100.0,120.0,200.0,32.0,0.0039594963684024004,-0.00197837466616975,0.0204578719666474,0.020140480713868352,204.578719666474,201.4048071386835,0.0009578759184999257,1.6909892620087905,1.2287927151504852,3.935287301102703,3.935287301102703,0.0,-1.0,0.0,0.0,0.0,1.0,1.3761387426533547,0.4296990620062124,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,60.0,80.0,216.0,32.0,0.007931176873466849,-0.0030105092838165,0.02293029916543925,0.021905561001322103,229.30299165439249,219.055610013221,0.002729881605562651,15.221125016892428,4.448399786589003,7.625893805196968,7.625893805196968,-1.0,-1.0,0.0,0.0,1.0,1.0,3.4217079730065953,1.9959791475878392,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,400.0,even,80.0,100.0,216.0,32.0,0.00550912302073865,-0.0024119018303769496,0.02269175468728895,0.02189304645211745,226.9175468728895,218.93046452117449,0.002260800318750878,16.0955342451322,6.650997968212286,10.823588043248906,10.823588043248906,0.0,0.0,0.0,0.0,0.0,0.0,2.4200179164178124,1.487079347515597,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,100.0,120.0,216.0,32.0,0.0039594963655165995,-0.00197837466558795,0.0220578719679331,0.02174048071267155,220.57871967933102,217.4048071267155,0.0009578759202561388,1.4476059619036918,0.962821815585058,2.6809233648468838,2.6809233648468838,0.0,0.0,0.0,0.0,0.0,0.0,1.5035034919976913,0.5399654391039892,0.0,1.0,0.0,rouche_ratio_ok_but_index_not_one
segment,6.0,400.0,odd,60.0,80.0,216.0,32.0,0.0086867661790564,-0.00316705500889825,0.0236858884677506,0.02206210671841605,236.85888467750598,220.6210671841605,0.004272925610913533,5.37138229608858,1.5278026587512308,2.496517585970436,2.496517585970436,-1.0,-1.0,0.0,0.0,1.0,1.0,3.5157566098745687,2.151549953532828,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
