D,R_tail,parity,R0,R1,center_mode,tube_factor,tube_radius_min,n_slabs,slope_window,guard_factor,n_interval_certificates,max_interval_L_bound,max_source_node_slope_abs,max_interval_remainder_over_reserve,median_interval_remainder_over_reserve,max_beta_interval_over_s22_inflated,interval_integral_ratio,s22_inflated_integral_ratio,n_interval_slab_pass,interval_promotion_status
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,32.0,global,5.0,1.0,0.0002640627626675149,5.2812552533502975e-05,0.6607423865619796,0.5785353566565794,0.9838448755505816,0.922693346896774,0.9417512661165155,32.0,interval_parent_promotion_closed
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,32.0,global,5.0,1.0,0.0003204050593795284,6.408101187590568e-05,0.7939686500146521,0.6834529525294055,0.990188983334044,0.9543136851681677,0.9691753350175281,32.0,interval_parent_promotion_closed
