D,R,R_tail,parity,ell,n_half,h,E0_real,E0_imag,Gamma_dtn,root_residual_table_abs,root_residual_recomputed_abs,box_re,box_im,n_contour,argument_index_raw,argument_index_round,argument_zero_count_abs,argument_index_error,boundary_F_abs_min,boundary_F_abs_max,boundary_root_gap_ratio,dF_dE_abs_proxy,dF_dE_CR_rel_mismatch,newton_radius_proxy,newton_radius_over_contour,local_argument_pass,local_argument_status
6.0,60.0,400.0,even,1.0,1200.0,0.05,0.0092614760389061,-0.0033160702851386,0.0033008158249878,3.1172058935334896e-08,4.4632389983614244e-08,0.0001,0.0001,64.0,-0.9999999999999999,-1.0,1.0,1.1102230246251565e-16,0.33741388931257416,0.7219630889299751,7559843.634554366,3957.8175023328195,0.0006373618253969984,1.1277020720967298e-11,1.1277020720967297e-07,1.0,local_index_one_isolated_zero
6.0,60.0,400.0,odd,1.0,1200.0,0.05,0.010772654646807,-0.0036291617273143,0.0036097645895319,6.796451470879656e-08,1.2754598472352688e-07,0.0001,0.0001,64.0,-0.9999999999999999,-1.0,1.0,1.1102230246251565e-16,0.3343827725076107,0.6639887181135189,2621664.4391623186,3899.8086685001235,0.0005496608964190809,3.270570316788936e-11,3.270570316788936e-07,1.0,local_index_one_isolated_zero
6.0,80.0,400.0,even,1.0,1200.0,0.06666666666666667,0.0066008777080276,-0.0027049482824944,0.0026960622878862,4.192698012108388e-09,4.102202052120374e-09,0.0001,0.0001,64.0,-1.0,-1.0,1.0,0.0,0.12173209765094249,0.24818859008613803,29674817.599006556,1414.5911897933292,0.0006028175648558193,2.8999205436304907e-12,2.8999205436304907e-08,1.0,local_index_one_isolated_zero
6.0,80.0,400.0,odd,1.0,1200.0,0.06666666666666667,0.0066008777113058,-0.0027049482904822,0.0026960622958433,3.187904915413587e-09,3.2208099232099002e-09,0.0001,0.0001,64.0,-1.0,-1.0,1.0,0.0,0.1217321021226802,0.2481886102368487,37795493.998404115,1414.5904790414643,0.0006027896769376466,2.276849710873455e-12,2.2768497108734548e-08,1.0,local_index_one_isolated_zero
6.0,100.0,400.0,even,1.0,1200.0,0.08333333333333333,0.0044173683334497,-0.0021188553782595,0.0021141897675973,6.917457765001663e-10,6.793916269015531e-09,0.0001,0.0001,64.0,-0.9999999999999999,-1.0,1.0,1.1102230246251565e-16,0.05233553932056268,0.10757077489249091,7703294.719607479,601.696401809113,0.0006608369368220375,1.1291269564830948e-11,1.1291269564830947e-07,1.0,local_index_one_isolated_zero
6.0,100.0,400.0,odd,1.0,1200.0,0.08333333333333333,0.0044173683350498,-0.0021188553800381,0.0021141897693703,1.778784098988191e-09,4.15753580247962e-09,0.0001,0.0001,64.0,-1.0,-1.0,1.0,0.0,0.05233553145277347,0.10757078200115519,12588113.233218515,601.6960375616461,0.0006598729600882127,6.909694501775184e-12,6.909694501775184e-08,1.0,local_index_one_isolated_zero
6.0,120.0,400.0,even,1.0,1200.0,0.1,0.0035016243975835,-0.0018378939529164,0.0018346838025795,3.2013312523637407e-10,2.6753153496847933e-09,0.0001,0.0001,64.0,-1.0,-1.0,1.0,0.0,0.024010200848894714,0.047189990812975355,8974718.009121282,269.3931506570434,0.0006483173907436205,9.930895953218423e-12,9.930895953218423e-08,1.0,local_index_one_isolated_zero
6.0,120.0,400.0,odd,1.0,1200.0,0.1,0.003501624401755,-0.0018378939523014,0.0018346838019618,1.4817448799152575e-09,1.5010583526395214e-09,0.0001,0.0001,64.0,-1.0,-1.0,1.0,0.0,0.024010201029734446,0.04718999863461808,15995514.756314399,269.3931441633629,0.0006484110971854289,5.57199908446543e-12,5.5719990844654296e-08,1.0,local_index_one_isolated_zero
6.0,60.0,800.0,even,1.0,1200.0,0.05,0.0100336639045976,-0.0020046965244911,0.0019947133724832,9.81366517228877e-07,2.1469697278896352e-06,0.0001,0.0001,64.0,-1.0,-1.0,1.0,0.0,1.8437704327783464,8.933178240898316,858778.0297166469,29601.43276663187,0.00730920413968909,7.252925035134787e-11,7.252925035134787e-07,1.0,local_index_one_isolated_zero
6.0,60.0,800.0,odd,1.0,1200.0,0.05,0.0100336639072853,-0.0020046965768186,0.0019947134245475,5.710553669260547e-07,1.7809312247325255e-06,0.0001,0.0001,64.0,-1.0,-1.0,1.0,0.0,1.843768750582952,8.933202141441832,1035283.5218888725,29601.529016433684,0.007308259392288675,6.01634876274066e-11,6.01634876274066e-07,1.0,local_index_one_isolated_zero
6.0,80.0,800.0,even,1.0,1200.0,0.06666666666666667,0.0065926401457866,-0.0015654435713835,0.0015603082717446,2.024654567675756e-07,4.5923390424554526e-07,0.0001,0.0001,64.0,-1.0,-1.0,1.0,0.0,0.7530439004879111,3.1067993333111708,1639782.8939155813,11987.730581306083,0.006804243429052726,3.830866077034499e-11,3.830866077034499e-07,1.0,local_index_one_isolated_zero
6.0,80.0,800.0,odd,1.0,1200.0,0.06666666666666667,0.0065926401437956,-0.0015654435342973,0.0015603082347817,2.667811195701359e-07,2.631005846797393e-07,0.0001,0.0001,64.0,-1.0,-1.0,1.0,0.0,0.7530438565813186,3.106789285967746,2862189.9776390293,11987.695892516193,0.0068050640621098455,2.194755247703527e-11,2.194755247703527e-07,1.0,local_index_one_isolated_zero
6.0,100.0,800.0,even,1.0,1200.0,0.08333333333333333,0.0048913804928334,-0.0013098846768973,0.0013066925319058,8.799700926117862e-08,4.314288592838151e-07,0.0001,0.0001,64.0,-1.0,-1.0,1.0,0.0,0.3602649423858714,1.3196190271588923,835050.6338030378,5633.029378325123,0.006198715255382575,7.658913708916117e-11,7.658913708916116e-07,1.0,local_index_one_isolated_zero
6.0,100.0,800.0,odd,1.0,1200.0,0.08333333333333333,0.004891380441855,-0.0013098846845399,0.0013066925395628,1.3291885058389646e-07,1.0072902957007943e-07,0.0001,0.0001,64.0,-1.0,-1.0,1.0,0.0,0.3602650894584045,1.3196184466952257,3576576.593620016,5633.0279696100715,0.0061999511198524825,1.788186213764745e-11,1.788186213764745e-07,1.0,local_index_one_isolated_zero
6.0,120.0,800.0,even,1.0,1200.0,0.1,0.0034597665381007,-0.0010622455538093,0.0010604125989039,7.313576527725479e-08,1.8948843132482778e-07,0.0001,0.0001,64.0,-1.0,-1.0,1.0,0.0,0.19599384350480706,1.058459901086377,1034331.4477538076,3079.533045919814,0.006788233575617687,6.153154666610508e-11,6.153154666610508e-07,1.0,local_index_one_isolated_zero
