D,ell,eta_cap,Nz,zmax,z_cap_frac,z_cap_start,cap_power,N_target,seed_E,seed_omega_real,seed_bound,E_cap_real,E_cap_imag,omega_cap_real,omega_cap_imag,Gamma_cap,Gamma_cap_narrow,rel_Gamma_exact_vs_narrow,S_seed,Gamma_wkb_seed,rel_Gamma_cap_vs_wkb,candidate_overlap,candidate_seed_dist,candidate_interior_weight
6.0,1.0,0.0001,1201.0,80.0,0.75,60.0,2.0,2.0,-0.030039800359534394,0.984865574401129,1.0,-0.0300398003595113,-2.186292962692156e-16,0.9848655744011406,-1.1099448592370375e-16,2.219889718474075e-16,2.219889718474075e-16,0.0,11.776132244540207,5.817795523982457e-11,0.9999961843112064,1.0000000000000002,2.30936738242011e-14,0.9999999999383188
6.0,1.0,0.0003,1201.0,80.0,0.75,60.0,2.0,2.0,-0.030039800359534394,0.984865574401129,1.0,-0.0300398003595113,-6.558870105564924e-16,0.9848655744011406,-3.3298301189749293e-16,6.659660237949859e-16,6.659660237949859e-16,0.0,11.776132244540207,5.817795523982457e-11,0.999988552948947,1.0000000000000002,2.310195142623282e-14,0.999999999938319
6.0,1.0,0.001,1201.0,80.0,0.75,60.0,2.0,2.0,-0.030039800359534394,0.984865574401129,1.0,-0.030039800359511298,-2.1862569418808735e-15,0.9848655744011406,-1.10992657206556e-15,2.21985314413112e-15,2.21985314413112e-15,0.0,11.776132244540207,5.817795523982457e-11,0.9999618437407265,1.0000000000000002,2.3199352162372153e-14,0.9999999999383195
12.0,1.0,0.0001,1201.0,80.0,0.75,60.0,2.0,2.0,-0.6790495448708274,0.5665248936535557,1.0,-0.6790495448707883,-4.070887109203516e-21,0.5665248936535903,-3.592858102800967e-21,7.185716205601935e-21,7.185716205601935e-21,0.0,18.66574903520579,3.470207026202513e-17,0.9997929311954202,0.9999999999999876,3.907985046680572e-14,0.9999999999999999
12.0,1.0,0.0003,1201.0,80.0,0.75,60.0,2.0,2.0,-0.6790495448708274,0.5665248936535557,1.0,-0.6790495448707883,1.3991881824756136e-21,0.5665248936535903,1.23488676150846e-21,0.0,0.0,0.0,18.66574903520579,3.470207026202513e-17,1.0,0.9999999999999934,3.9079850466805535e-14,1.0
12.0,1.0,0.001,1201.0,80.0,0.75,60.0,2.0,2.0,-0.6790495448708274,0.5665248936535557,1.0,-0.6790495448707883,5.92835956755188e-22,0.5665248936535903,5.232214536345564e-22,0.0,0.0,0.0,18.66574903520579,3.470207026202513e-17,1.0,0.9999999999999963,3.9079850466805517e-14,1.0000000000000002
18.0,1.0,0.0001,1201.0,80.0,0.75,60.0,2.0,2.0,-0.2796478343740237,0.8487356276403014,1.0,-0.2796478343740296,3.030450768117353e-22,0.8487356276402979,1.7852736879579223e-22,0.0,0.0,0.0,19.816158893477215,5.208054414607536e-18,1.0,0.9999999999997083,5.939693181744595e-15,1.0000000000000002
18.0,1.0,0.0003,1201.0,80.0,0.75,60.0,2.0,2.0,-0.2796478343740237,0.8487356276403014,1.0,-0.2796478343740296,-1.1252030253699825e-21,0.8487356276402979,-6.628701498594649e-22,1.3257402997189298e-21,1.3257402997189298e-21,0.0,19.816158893477215,5.208054414607536e-18,0.9997454442303827,0.9999999999994821,5.939693181744694e-15,1.0
18.0,1.0,0.001,1201.0,80.0,0.75,60.0,2.0,2.0,-0.2796478343740237,0.8487356276403014,1.0,-0.2796478343740296,5.110473548821121e-22,0.8487356276402979,3.0106392275705124e-22,0.0,0.0,0.0,19.816158893477215,5.208054414607536e-18,1.0,0.9999999999997793,5.9396931817446096e-15,1.0000000000000002
