D,ell,N_target,R,R_tail,n_half,h,parity,seed_E,seed_omega,E_dtn_real,E_dtn_imag,omega_dtn_real,omega_dtn_imag,Gamma_dtn,Gamma_dtn_narrow,rel_Gamma_exact_vs_narrow,S_seed,Gamma_geo_seed,Gamma_dtn_over_geo,root_candidate_count,root_success,root_nfev,guess_E_real,guess_E_imag,residual_abs,seed_dist,dtn_success,dtn_nfev,dtn_status,dtn_residual_abs,m_tail_real,m_tail_imag,m_R_real,m_R_imag,tail_mode,coulomb_order,coulomb_A,coulomb_B,coulomb_k_real,coulomb_k_imag,coulomb_next_term_abs
6.0,1.0,3.0,60.0,400.0,1200.0,0.05,even,0.010386311090284001,1.0051797406883427,0.010772629903104148,-0.003629187204652271,1.0053735064885188,-0.0018048949874002454,0.0036097899748004907,0.0036097899748004907,0.0,11.653338743215443,7.590708309625106e-11,47555377.279130004,5.0,1.0,40.0,0.010386311090284001,-0.0001,4.351166947840828e-08,0.003649690670666561,1.0,890.0,0.0,0.0042439448423863164,0.01754491068889875,0.10328206537963397,0.032668238026860405,0.10615709556229885,coulomb_series,6.0,0.16,2.0064,0.10521442826826692,-0.017246623226421353,1.4460204592628481e-11
6.0,1.0,3.0,60.0,400.0,1200.0,0.05,odd,0.010386311090284001,1.0051797406883427,0.01077262992615877,-0.003629187256872684,1.005373506500031,-0.0018048950133502308,0.0036097900267004616,0.0036097900267004616,0.0,11.653338743215443,7.590708309625106e-11,47555377.96286028,5.0,1.0,41.0,0.010386311090284001,-0.0001,1.328532381596328e-08,0.0036496907250339328,1.0,890.0,0.0,0.0042439457708208245,0.017544910916239817,0.10328206552982179,0.032668239608598895,0.10615709983801058,coulomb_series,6.0,0.16,2.0064,0.10521442841457429,-0.017246623450600667,1.4460204349829516e-11
6.0,1.0,3.0,80.0,400.0,1200.0,0.06666666666666667,even,0.006672556445593471,1.0033307313371764,0.006600856091561508,-0.0027050893892939993,1.003295905238909,-0.001348101479916761,0.002696202959833522,0.002696202959833522,0.0,11.661869046391255,7.448577889760137e-11,36197553.40868627,5.0,1.0,23.0,0.006672556445593471,-0.001,3.81650291952719e-09,0.002706039457369255,1.0,794.0,0.0,0.0011589894439464174,0.016777022894320058,0.08042796279416559,0.022232509692240467,0.07570225277176716,coulomb_series,6.0,0.16,2.0064,0.08286885843724409,-0.016321507501774874,9.35564506410187e-11
6.0,1.0,3.0,80.0,400.0,1200.0,0.06666666666666667,odd,0.006672556445593471,1.0033307313371764,0.00660085610295854,-0.0027050893972785485,1.003295905244594,-0.0013481014838882819,0.0026962029677765637,0.0026962029677765637,0.0,11.661869046391255,7.448577889760137e-11,36197553.51532463,5.0,1.0,26.0,0.006672556445593471,-0.001,8.359260040775282e-09,0.00270603946504902,1.0,794.0,0.0,0.0011589895027504997,0.016777022927765426,0.08042796287199216,0.022232510047485592,0.07570225313923123,coulomb_series,6.0,0.16,2.0064,0.08286885851257583,-0.01632150753511366,9.355644984272768e-11
6.0,1.0,3.0,100.0,400.0,1200.0,0.08333333333333333,even,0.0047954511020069385,1.0023948578788735,0.004417569044918476,-0.002119278945129639,1.0022069082485396,-0.0010573060950224832,0.0021146121900449664,0.0021146121900449664,0.0,11.692617169470404,6.997785058507598e-11,30218307.255295224,5.0,1.0,24.0,0.0047954511020069385,-0.001,2.4194272179913517e-09,0.0021527048326092464,1.0,746.0,0.0,0.0004104972342267132,0.0161662631489248,0.06530514692622891,0.018207507060193726,0.057943016544187195,coulomb_series,6.0,0.16,2.0064,0.06825389127293743,-0.015524967922011577,4.510027085953468e-10
6.0,1.0,3.0,100.0,400.0,1200.0,0.08333333333333333,odd,0.0047954511020069385,1.0023948578788735,0.00441756904354358,-0.002119278938528861,1.0022069082478504,-0.0010573060917300888,0.0021146121834601777,0.0021146121834601777,0.0,11.692617169470404,6.997785058507598e-11,30218307.161197037,5.0,1.0,29.0,0.0047954511020069385,-0.002,3.012118041955318e-09,0.0021527048263523083,1.0,746.0,0.0,0.00041049723311486206,0.01616626310372085,0.0653051469045421,0.01820750688535257,0.05794301646455306,coulomb_series,6.0,0.16,2.0064,0.06825389125290333,-0.015524967878213922,4.510027108669268e-10
6.0,1.0,3.0,120.0,400.0,1200.0,0.1,even,0.003689626838555341,1.0018431148830416,0.0035023240942335635,-0.001838541640340455,1.0017500517609306,-0.0009176648591674973,0.0018353297183349947,0.0018353297183349947,0.0,11.671823592173032,7.290923781707112e-11,25172800.77649182,5.0,1.0,32.0,0.003689626838555341,-0.0001,5.125276089815202e-10,0.0018480578132992055,1.0,698.0,0.0,0.00012505405902917633,0.015834263596327607,0.057779889141891215,0.01841368458201384,0.04992936224537652,coulomb_series,6.0,0.16,2.0064,0.06106509225662053,-0.015053949583946832,1.1415771009920032e-09
6.0,1.0,3.0,120.0,400.0,1200.0,0.1,odd,0.003689626838555341,1.0018431148830416,0.0035023240988692555,-0.0018385416401422183,1.0017500517632443,-0.0009176648590664326,0.0018353297181328652,0.0018353297181328652,0.0,11.671823592173032,7.290923781707112e-11,25172800.773719475,5.0,1.0,19.0,0.003689626838555341,-0.002,6.343016724218857e-10,0.0018480578126321568,1.0,698.0,0.0,0.00012505405916350554,0.015834263584532084,0.05777988917880858,0.018413684580590384,0.04992936229258686,coulomb_series,6.0,0.16,2.0064,0.06106509229202566,-0.015053949573595493,1.1415770964966848e-09
6.0,1.0,3.0,60.0,800.0,1200.0,0.05,even,0.010386311090284001,1.0051797406883427,0.010033662432890677,-0.002004697487907269,1.005004804542848,-0.0009973571662770095,0.001994714332554019,0.001994714332554019,0.0,11.653338743215443,7.590708309625106e-11,26278368.910905164,5.0,1.0,30.0,0.010386311090284001,-0.001,5.410455982968404e-07,0.002035478590794565,1.0,2018.0,0.0,0.015320819744505873,0.01005158120436853,0.09965665404144146,0.004176063838239062,0.14873550874614916,coulomb_series,6.0,0.16,2.0064,0.10066188861486303,-0.00995757935546656,1.9291435011780525e-13
6.0,1.0,3.0,60.0,800.0,1200.0,0.05,odd,0.010386311090284001,1.0051797406883427,0.00856604068010375,-0.0018272531884698613,1.0042742993343585,-0.0009097381012742137,0.0018194762025484275,0.0018194762025484275,0.0,11.653338743215443,7.590708309625106e-11,23969781.584694944,5.0,1.0,33.0,0.010386311090284001,-0.002,4.90469040098797e-07,0.002579193397353338,1.0,1970.0,0.0,0.008266120789260083,0.009924771322651975,0.09198519545442285,-0.03582788735728434,0.08857961096511352,coulomb_series,6.0,0.16,2.0064,0.09307202161794051,-0.009816339844699587,3.6406779971974337e-13
