D,ell,N_target,R_min,R_max,R_tail_min,R_tail_max,n_R,n_R_tail,Gamma_dtn_min,Gamma_dtn_max,Gamma_dtn_candidate,Gamma_dtn_R_rel_span_max,Gamma_dtn_Rtail_rel_span_max,Gamma_dtn_R120_over_R80_min,Gamma_dtn_R120_over_R80_max,parity_Gamma_rel_split_max,parity_E_abs_split_max,root_residual_abs_max,dtn_residual_abs_max,Gamma_dtn_over_geo_min,Gamma_dtn_over_geo_max,exact_dtn_pass,exact_dtn_status,fail_reasons,recommended_next_gate
6.0,1.0,3.0,60.0,60.0,800.0,800.0,1.0,1.0,0.0019947133724832,0.0019947134245475,0.00199471339851535,,,,,2.6101143130983937e-08,5.2396478781236924e-11,9.81366517228877e-07,0.015320850384986,26278356.262932383,26278356.94882703,0.0,not_promoted,R120_R80_ratio_outside_gate,no_static_width_promotion_without_new_exterior_stable_pole_theorem
global,1.0,3.0,60.0,60.0,800.0,800.0,1.0,1.0,0.0019947133724832,0.0019947134245475,0.00199471339851535,,,,,2.6101143130983937e-08,5.2396478781236924e-11,9.81366517228877e-07,0.015320850384986,26278356.262932383,26278356.94882703,0.0,not_promoted_global,R120_R80_ratio_outside_gate,no_static_width_promotion_without_new_exterior_stable_pole_theorem
