D,R_tail,parity,R0,R1,dR,E0_real,E0_imag,E1_real,E1_imag,dE_real,dE_imag,dE_abs,finite_flow_abs_per_R,finite_flow_re_per_R,finite_flow_im_per_R,box_re_min,box_im_min,step_square_cover_factor,step_disk_cover_factor,group_square_cover_factor,endpoint_tail_box_pass_count,endpoint_boundary_ratio_max,endpoint_product_margin_min,endpoint_winding_abs_max,segment_status
6.0,400.0,even,60.0,80.0,20.0,0.0092614760389061,-0.0033160702851386,0.0066008777080276,-0.0027049482824944,-0.0026605983308785,0.0006111220026442004,0.002729881605562651,0.00013649408027813256,-0.00013302991654392501,3.0556100132210015e-05,0.0001,0.0001,13.3029916543925,13.649408027813255,28.799258206612997,2.0,2.0509874905343506e-12,487570014256.6286,0.0,tail_box_control_but_large_R_flow
6.0,400.0,even,80.0,100.0,20.0,0.0066008777080276,-0.0027049482824944,0.0044173683334497,-0.0021188553782595,-0.0021835093745779,0.0005860929042348999,0.002260800318750878,0.0001130400159375439,-0.00010917546872889501,2.9304645211744996e-05,0.0001,0.0001,10.917546872889499,11.30400159375439,28.799258206612997,2.0,5.0697060697934914e-11,19725009423.292538,0.0,tail_box_control_but_large_R_flow
6.0,400.0,even,100.0,120.0,20.0,0.0044173683334497,-0.0021188553782595,0.0035016243975835,-0.0018378939529164,-0.0009157439358661998,0.00028096142534309986,0.0009578759202561388,4.789379601280694e-05,-4.578719679330999e-05,1.4048071267154994e-05,0.0001,0.0001,4.578719679330998,4.789379601280694,28.799258206612997,2.0,5.603821695219382e-10,1784496463.9990227,0.0,tail_box_control_but_large_R_flow
6.0,400.0,odd,60.0,80.0,20.0,0.010772654646807,-0.0036291617273143,0.0066008777113058,-0.0027049482904822,-0.0041717769355012,0.0009242134368321001,0.004272925610913533,0.00021364628054567665,-0.00020858884677506,4.6210671841605006e-05,0.0001,0.0001,20.858884677506,21.364628054567664,36.355151225259995,2.0,2.0509848880183836e-12,487570632939.26953,0.0,tail_box_control_but_large_R_flow
6.0,400.0,odd,80.0,100.0,20.0,0.0066008777113058,-0.0027049482904822,0.0044173683350498,-0.0021188553800381,-0.0021835093762559996,0.0005860929104440997,0.002260800321981289,0.00011304001609906445,-0.00010917546881279998,2.9304645522204987e-05,0.0001,0.0001,10.917546881279998,11.304001609906445,36.355151225259995,2.0,5.0697056691658614e-11,19725010982.03861,0.0,tail_box_control_but_large_R_flow
6.0,400.0,odd,100.0,120.0,20.0,0.0044173683350498,-0.0021188553800381,0.003501624401755,-0.0018378939523014,-0.0009157439332948001,0.00028096142773670015,0.0009578759184999257,4.7893795924996284e-05,-4.578719666474e-05,1.4048071386835008e-05,0.0001,0.0001,4.578719666474,4.789379592499628,36.355151225259995,2.0,5.603821150325121e-10,1784496637.5166738,0.0,tail_box_control_but_large_R_flow
6.0,800.0,even,60.0,80.0,20.0,0.0100336639045976,-0.0020046965244911,0.0065926401457866,-0.0015654435713835,-0.003441023758811,0.0004392529531076,0.0034689461894811123,0.00017344730947405562,-0.00017205118794055,2.196264765538e-05,0.0001,0.0001,17.205118794054997,17.344730947405562,32.8694868324845,2.0,0.0003630170492981,2754.6915549375767,0.0,tail_box_control_but_large_R_flow
6.0,800.0,even,80.0,100.0,20.0,0.0065926401457866,-0.0015654435713835,0.0048913804928334,-0.0013098846768973,-0.0017012596529532003,0.0002555588944862001,0.0017203472775336533,8.601736387668266e-05,-8.506298264766001e-05,1.2777944724310005e-05,0.0001,0.0001,8.506298264766,8.601736387668266,32.8694868324845,2.0,0.0016346571569902,611.7490727176125,0.0,tail_box_control_but_large_R_flow
6.0,800.0,even,100.0,120.0,20.0,0.0048913804928334,-0.0013098846768973,0.0034597665381007,-0.0010622455538093,-0.0014316139547327,0.0002476391230880001,0.0014528742721478672,7.264371360739337e-05,-7.1580697736635e-05,1.2381956154400006e-05,0.0001,0.0001,7.1580697736635,7.264371360739336,32.8694868324845,2.0,0.0075847495047429,131.84351037231704,0.0,tail_box_control_but_large_R_flow
6.0,800.0,odd,60.0,80.0,20.0,0.0100336639072853,-0.0020046965768186,0.0065926401437956,-0.0015654435342973,-0.003441023763489701,0.0004392530425213002,0.0034689462054441032,0.00017344731027220517,-0.00017205118817448505,2.196265212606501e-05,0.0001,0.0001,17.205118817448504,17.344731027220515,32.869486724923505,2.0,0.0003630164701069,2754.6959500360763,0.0,tail_box_control_but_large_R_flow
6.0,800.0,odd,80.0,100.0,20.0,0.0065926401437956,-0.0015654435342973,0.004891380441855,-0.0013098846845399,-0.0017012597019405995,0.0002555588497574,0.0017203473193330302,8.601736596665151e-05,-8.506298509702997e-05,1.277794248787e-05,0.0001,0.0001,8.506298509702997,8.60173659666515,32.869486724923505,2.0,0.0016346539430208,611.750275505998,0.0,tail_box_control_but_large_R_flow
6.0,800.0,odd,100.0,120.0,20.0,0.004891380441855,-0.0013098846845399,0.0034597665623006,-0.0010622455933506,-0.0014316138795544002,0.00024763909118929984,0.0014528741926326115,7.264370963163057e-05,-7.158069397772e-05,1.2381954559464993e-05,0.0001,0.0001,7.1580693977720005,7.264370963163057,32.869486724923505,2.0,0.0075847882058402,131.84283764575096,0.0,tail_box_control_but_large_R_flow
12.0,400.0,even,60.0,80.0,20.0,0.0108648842827327,-0.0032966013702414,0.0066751756346851,-0.0024454331384992,-0.0041897086480476,0.0008511682317422003,0.004275294833605279,0.00021376474168026397,-0.00020948543240238002,4.255841158711002e-05,0.0001,0.0001,20.948543240238,21.376474168026395,36.507984053293995,2.0,5.0166984955777106e-11,19933428346.979862,0.0,tail_box_control_but_large_R_flow
12.0,400.0,even,80.0,100.0,20.0,0.0066751756346851,-0.0024454331384992,0.0044829286332729,-0.0019084219910151,-0.0021922470014122,0.0005370111474840998,0.002257061781990686,0.00011285308909953431,-0.00010961235007060999,2.685055737420499e-05,0.0001,0.0001,10.961235007061,11.28530890995343,36.507984053293995,2.0,1.062127864769025e-09,941506228.364948,0.0,tail_box_control_but_large_R_flow
12.0,400.0,even,100.0,120.0,20.0,0.0044829286332729,-0.0019084219910151,0.0035632874720739,-0.0016518369123545,-0.000919641161199,0.0002565850786606001,0.0009547647710104889,4.773823855052445e-05,-4.5982058059950004e-05,1.2829253933030004e-05,0.0001,0.0001,4.598205805995,4.773823855052444,36.507984053293995,2.0,1.0047892230327828e-08,99523360.42992903,0.0,tail_box_control_but_large_R_flow
12.0,400.0,odd,60.0,80.0,20.0,0.0108648842799949,-0.0032966013730217,0.0066751756386915,-0.0024454331392326,-0.0041897086413034005,0.0008511682337890999,0.004275294827403607,0.00021376474137018036,-0.00020948543206517002,4.2558411689454996e-05,0.0001,0.0001,20.948543206517,21.376474137018036,36.50798404235,2.0,5.0166989072930976e-11,19933426711.063637,0.0,tail_box_control_but_large_R_flow
12.0,400.0,odd,80.0,100.0,20.0,0.0066751756386915,-0.0024454331392326,0.0044829286333332,-0.0019084219913101,-0.0021922470053583,0.0005370111479225002,0.002257061785927775,0.00011285308929638875,-0.00010961235026791501,2.685055739612501e-05,0.0001,0.0001,10.9612350267915,11.285308929638875,36.50798404235,2.0,1.0621275656230386e-09,941506493.5381892,0.0,tail_box_control_but_large_R_flow
12.0,400.0,odd,100.0,120.0,20.0,0.0044829286333332,-0.0019084219913101,0.0035632874715249,-0.001651836912498,-0.0009196411618083,0.0002565850788121,0.0009547647716380886,4.773823858190443e-05,-4.5982058090415e-05,1.2829253940605e-05,0.0001,0.0001,4.5982058090415,4.773823858190442,36.50798404235,2.0,1.0047892264120881e-08,99523360.09521228,0.0,tail_box_control_but_large_R_flow
12.0,800.0,even,60.0,80.0,20.0,0.010845857577098,-0.0019229933572493,0.0066168808429054,-0.0014325725073287,-0.0042289767341926,0.0004904208499206001,0.004257318032327295,0.00021286590161636475,-0.00021144883670962998,2.4521042496030008e-05,0.0001,0.0001,21.144883670962997,21.28659016163647,36.834948919662,2.0,0.0009221221742487,1084.454997316004,0.0,tail_box_control_but_large_R_flow
12.0,800.0,even,80.0,100.0,20.0,0.0066168808429054,-0.0014325725073287,0.0049127578895462,-0.0011962515361338,-0.0017041229533592004,0.00023632097119489982,0.0017204309464759649,8.602154732379824e-05,-8.520614766796002e-05,1.181604855974499e-05,0.0001,0.0001,8.520614766796001,8.602154732379825,36.834948919662,2.0,0.003886174074003,257.3224927544001,0.0,tail_box_control_but_large_R_flow
12.0,800.0,even,100.0,120.0,20.0,0.0049127578895462,-0.0011962515361338,0.0034788677931656,-0.0009677656342506,-0.0014338900963805998,0.00022848590188320002,0.0014519802394859737,7.259901197429868e-05,-7.169450481903e-05,1.142429509416e-05,0.0001,0.0001,7.169450481902999,7.259901197429868,36.834948919662,2.0,0.0168309929372067,59.41420115443035,0.0,tail_box_control_but_large_R_flow
12.0,800.0,odd,60.0,80.0,20.0,0.0108458575849235,-0.0019229933666953,0.0066168808042149,-0.0014325724702377,-0.004228976780708601,0.0004904208964576001,0.004257318083894455,0.00021286590419472275,-0.00021144883903543004,2.4521044822880004e-05,0.0001,0.0001,21.144883903543004,21.286590419472276,36.8349490073285,2.0,0.0009221250409499,1084.45162596372,0.0,tail_box_control_but_large_R_flow
12.0,800.0,odd,80.0,100.0,20.0,0.0066168808042149,-0.0014325724702377,0.0049127578899924,-0.0011962515309274,-0.0017041229142224995,0.00023632093931029983,0.0017204309033305254,8.602154516652627e-05,-8.520614571112498e-05,1.1816046965514992e-05,0.0001,0.0001,8.520614571112498,8.602154516652627,36.8349490073285,2.0,0.0038861752918664,257.32241211377027,0.0,tail_box_control_but_large_R_flow
12.0,800.0,odd,100.0,120.0,20.0,0.0049127578899924,-0.0011962515309274,0.0034788677834578,-0.0009677656220259,-0.0014338901065346003,0.00022848590890150013,0.0014519802506178766,7.259901253089383e-05,-7.169450532673001e-05,1.1424295445075007e-05,0.0001,0.0001,7.169450532673001,7.2599012530893825,36.8349490073285,2.0,0.0168309976894491,59.414184378794616,0.0,tail_box_control_but_large_R_flow
18.0,400.0,even,60.0,80.0,20.0,0.0109462077090673,-0.0031165297190722,0.0067287065139138,-0.0023012070142919,-0.004217501195153501,0.0008153227047802999,0.0042955869731681,0.00021477934865840497,-0.00021087505975767506,4.0766135239014996e-05,0.0001,0.0001,21.087505975767506,21.477934865840496,36.726492605209,2.0,2.8457550749311673e-10,3514005856.6852875,0.0,tail_box_control_but_large_R_flow
18.0,400.0,even,80.0,100.0,20.0,0.0067287065139138,-0.0023012070142919,0.004524921929761,-0.0017896671109677,-0.0022037845841527993,0.0005115399033242,0.0022623747625100618,0.00011311873812550309,-0.00011018922920763997,2.557699516621e-05,0.0001,0.0001,11.018922920763996,11.311873812550308,36.726492605209,2.0,5.73894016406413e-09,174248201.13333133,0.0,tail_box_control_but_large_R_flow
18.0,400.0,even,100.0,120.0,20.0,0.004524921929761,-0.0017896671109677,0.0036009091880255,-0.0015461097382767,-0.0009240127417355004,0.00024355737269100017,0.0009555729907661158,4.777864953830579e-05,-4.6200637086775016e-05,1.217786863455001e-05,0.0001,0.0001,4.620063708677502,4.777864953830578,36.726492605209,2.0,5.0429007792054196e-08,19829856.738874093,0.0,tail_box_control_but_large_R_flow
18.0,400.0,odd,60.0,80.0,20.0,0.0109462077087188,-0.0031165297187208,0.0067287065152877,-0.0023012070165422,-0.0042175011934311,0.0008153227021786003,0.004295586970983194,0.00021477934854915968,-0.000210875059671555,4.0766135108930014e-05,0.0001,0.0001,21.0875059671555,21.47793485491597,36.726492603207,2.0,2.8457551018429824e-10,3514005823.4539404,0.0,tail_box_control_but_large_R_flow
18.0,400.0,odd,80.0,100.0,20.0,0.0067287065152877,-0.0023012070165422,0.0045249219297268,-0.0017896671109579,-0.0022037845855608995,0.0005115399055842999,0.002262374764392721,0.00011311873821963605,-0.00011018922927804498,2.5576995279214994e-05,0.0001,0.0001,11.018922927804498,11.311873821963605,36.726492603207,2.0,5.738940169949628e-09,174248200.95463327,0.0,tail_box_control_but_large_R_flow
18.0,400.0,odd,100.0,120.0,20.0,0.0045249219297268,-0.0017896671109579,0.0036009091880774,-0.0015461097379247,-0.0009240127416494004,0.00024355737303319996,0.0009555729907700797,4.7778649538503986e-05,-4.620063708247002e-05,1.2177868651659999e-05,0.0001,0.0001,4.6200637082470015,4.777864953850399,36.726492603207,2.0,5.0429008070359106e-08,19829856.62943814,0.0,tail_box_control_but_large_R_flow
18.0,800.0,even,60.0,80.0,20.0,0.0108797509482882,-0.0018271234671916,0.0066370189892428,-0.001357129336436,-0.0042427319590454,0.0004699941307556,0.004268684687260225,0.00021343423436301126,-0.00021213659795227,2.349970653778e-05,0.0001,0.0001,21.213659795227,21.343423436301126,36.941075650026,2.0,0.0015108588457181,661.8751995489495,0.0,tail_box_control_but_large_R_flow
18.0,800.0,even,80.0,100.0,20.0,0.0066370189892428,-0.001357129336436,0.0049285504608391,-0.0011313199715626,-0.0017084685284037004,0.00022580936487339993,0.0017233266033490095,8.616633016745047e-05,-8.542342642018502e-05,1.1290468243669997e-05,0.0001,0.0001,8.542342642018502,8.616633016745046,36.941075650026,2.0,0.0061633798869333,162.248639276649,0.0,tail_box_control_but_large_R_flow
18.0,800.0,even,100.0,120.0,20.0,0.0049285504608391,-0.0011313199715626,0.003491535818283,-0.0009134677912261,-0.0014370146425560998,0.00021785218033650011,0.0014534340904898309,7.267170452449154e-05,-7.1850732127805e-05,1.0892609016825006e-05,0.0001,0.0001,7.185073212780499,7.267170452449154,36.941075650026,2.0,0.0260580967062911,38.37578819632562,0.0,tail_box_control_but_large_R_flow
18.0,800.0,odd,60.0,80.0,20.0,0.0108797509405857,-0.0018271234605426,0.0066370189891871,-0.0013571293386825,-0.0042427319513986,0.0004699941218601002,0.004268684678680497,0.00021343423393402485,-0.00021213659756993,2.3499706093005008e-05,0.0001,0.0001,21.213659756993,21.343423393402485,36.9410756148555,2.0,0.001510858836114,661.8752037562863,0.0,tail_box_control_but_large_R_flow
18.0,800.0,odd,80.0,100.0,20.0,0.0066370189891871,-0.0013571293386825,0.0049285504628128,-0.0011313199739071,-0.0017084685263743004,0.00022580936477539998,0.0017233266013242652,8.616633006621325e-05,-8.542342631871502e-05,1.129046823877e-05,0.0001,0.0001,8.5423426318715,8.616633006621326,36.9410756148555,2.0,0.0061633796132569,162.24864648107572,0.0,tail_box_control_but_large_R_flow
18.0,800.0,odd,100.0,120.0,20.0,0.0049285504628128,-0.0011313199739071,0.0034915358176146,-0.0009134677905382,-0.0014370146451981995,0.00021785218336889997,0.0014534340935566028,7.267170467783014e-05,-7.185073225990997e-05,1.0892609168444998e-05,0.0001,0.0001,7.185073225990997,7.267170467783013,36.9410756148555,2.0,0.0260580974101955,38.37578715968492,0.0,tail_box_control_but_large_R_flow
