D,ell,N_target,theta_min,theta_max,R0_min,R0_max,L_min,L_max,n_theta,n_R0,n_L,Gamma_ecs_min,Gamma_ecs_max,Gamma_ecs_candidate,Gamma_ecs_theta_rel_span_max,Gamma_ecs_R0_rel_span_max,Gamma_ecs_L_rel_span_max,E_ecs_theta_abs_span_max,E_ecs_R0_abs_span_max,E_ecs_L_abs_span_max,candidate_overlap_min,candidate_interior_weight_min,eig_residual_abs_max,Gamma_ecs_over_geo_min,Gamma_ecs_over_geo_max,ecs_pass,ecs_status,fail_reasons,recommended_next_gate
6.0,1.0,3.0,0.08,0.16,50.0,60.0,100.0,120.0,3.0,2.0,2.0,0.00020913464785944725,0.0005585653183311273,0.0003504255446198464,0.6686507951693546,0.2228125033037345,0.13376565369635338,0.00028058121408250467,0.00011277728615935623,0.0011140665538737521,0.9960451160196127,0.05284699618372993,4.971002676563415e-14,2419987.468916598,6400512.651079138,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;interior_weight_low,full_Coulomb_Whittaker_DtN_or_refined_ECS_branch_tracking_before_promotion
12.0,1.0,3.0,0.08,0.16,50.0,60.0,100.0,120.0,3.0,2.0,2.0,0.00021102038994855172,0.0005657133077921571,0.00035422095137022623,0.6686411670863905,0.22279845968171905,0.13755325443777908,0.00028417824480925794,0.00011422145384765873,0.001126195432848529,0.9957981058376116,0.05133585885393209,4.350740236889521e-14,341260317.4667125,889888210.6521931,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;interior_weight_low,full_Coulomb_Whittaker_DtN_or_refined_ECS_branch_tracking_before_promotion
18.0,1.0,3.0,0.08,0.16,50.0,60.0,100.0,120.0,3.0,2.0,2.0,0.0002142519624002921,0.000578170622093888,0.00036078864230597383,0.6686192627103333,0.22277294733191652,0.14422383318129173,0.0002904469899410417,0.00011673781568270815,0.0011471573996980032,0.8623169415328216,0.048796786328487336,4.4200483073975436e-14,7263612100.974088,18545410328.049534,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;interior_weight_low,full_Coulomb_Whittaker_DtN_or_refined_ECS_branch_tracking_before_promotion
global,1.0,3.0,0.08,0.16,50.0,60.0,100.0,120.0,3.0,2.0,2.0,0.00020913464785944725,0.000578170622093888,0.00036078864230597383,0.6686507951693546,0.2228125033037345,0.14422383318129173,0.0002904469899410417,0.00011673781568270815,0.0011471573996980032,0.8623169415328216,0.048796786328487336,4.971002676563415e-14,2419987.468916598,18545410328.049534,0.0,not_promoted_global,L_E_not_stationary;L_width_not_stationary;R0_width_not_stationary;interior_weight_low;theta_E_not_stationary;theta_width_not_stationary,full_Coulomb_Whittaker_DtN_or_refined_ECS_branch_tracking_before_promotion
