tube_factor,n_segments,n_adapted_flow_pass,max_centered_contraction_ratio,median_centered_contraction_ratio,min_centered_contraction_ratio,max_raw_contraction_ratio,median_raw_contraction_ratio,min_dF_dE_abs,max_dF_dE_CR_rel_mismatch,adapted_flow_status
16.0,6.0,0.0,7.258506923795137,2.5206892878576443,1.6314213187022888,4.661785565518957,2.5223854269431567,122.42309789986263,0.01415427205666242,adapted_secant_flow_not_closed
32.0,6.0,2.0,6.909470978959007,2.6446970061368136,0.9811067100353864,6.145582639782176,2.0445932378655023,148.63667089934816,0.1404454968865149,adapted_secant_flow_not_closed
64.0,6.0,0.0,2.6236468988342616,2.0561203986152705,0.9909660393181079,3.0205712906830064,1.7039319623090283,148.63772345798125,0.1389165706209565,adapted_secant_flow_not_closed
96.0,6.0,0.0,3.559904488307643,1.8026475720704314,1.1556765929166386,3.967012090943485,1.6820099801750548,65.18708898588729,0.09369000703036222,adapted_secant_flow_not_closed
128.0,6.0,0.0,3.2063517974482516,3.1114119957258533,1.54095638744623,3.040360812950276,3.040358519946546,54.85913738134296,0.16640874574723957,adapted_secant_flow_not_closed
192.0,6.0,0.0,3.527487925803516,3.4224664373633233,0.6649899808488,3.3050489137919565,3.30504790321988,61.77329924034709,0.37239256926333314,adapted_secant_flow_not_closed
