group,n_rows,n_jost_product_pass,n_pole_exclusion_pass,required_product_min,required_product_median,required_product_max,observed_product_min,observed_product_median,observed_product_max,product_margin_min,product_margin_median,product_margin_max,lower_from_transfer_margin_min,lower_from_transfer_margin_median,pole_product_lower_margin_min,pole_product_lower_margin_median,pole_endpoint_distance_a_min,pole_endpoint_distance_b_min,projective_B_abs_floor_min,projective_B_abs_rel_mismatch_max,pole_product_identity_rel_error_max,transfer_upper_ratio_max,jost_product_theorem_status
D=6,16.0,16.0,16.0,4.36776605646115,17.75851479107668,103.58048715839752,30244.414773136097,1804160878743.3694,2582259078698515.0,2496.5191570672064,17418002907.422718,101660393976991.1,2496.516656226536,12728601924.787868,2496.51163782663,17417950438.015163,1.657118972968141e-09,0.11871964653943218,9266730.132411916,3.0314421678575625e-08,3.031442348681859e-08,0.00040055771208492163,has_uniform_jost_product_lower_bound
D=12,16.0,16.0,16.0,3.7298784825581426,14.0771242758533,65.97194027063587,10301.736030097052,62146842787.58628,67602215600130.555,1097.3365756984426,942035032.0003071,3602319257015.8174,1097.335476713997,918346860.9347703,1097.333279873085,942032205.0503429,6.6347222920065455e-09,0.11859166804032349,2703679.131623206,1.0242941817659741e-08,1.0242941661093149e-08,0.0009112974302029551,has_uniform_jost_product_lower_bound
D=18,16.0,16.0,16.0,3.104903317785217,11.440324301685266,50.08172164513033,5586.736874199353,9198150828.424341,9360080991769.156,697.0764188652354,183672549.5536052,629624884010.8885,697.075721626072,183132691.1694611,697.0743273009815,183671998.50537384,1.4910672759276306e-08,0.11858079932190958,1327285.9517547723,3.1459827668610664e-09,3.145983486066032e-09,0.0014345629448509517,has_uniform_jost_product_lower_bound
global,48.0,48.0,48.0,3.104903317785217,13.490378233393498,103.58048715839752,5586.736874199353,9198310069.270144,2582259078698515.0,697.0764188652354,183706012.45262325,101660393976991.1,697.075721626072,183166154.03439292,697.0743273009815,183705461.3033612,1.657118972968141e-09,0.11858079932190958,1327285.9517547723,3.0314421678575625e-08,3.031442348681859e-08,0.0014345629448509517,has_uniform_jost_product_lower_bound
