D,R,R_tail,parity,ell,h,E0_real,E0_imag,Gamma_dtn,boundary_F_abs_min,m_rouche_budget,m400_real,m400_imag,m800_real,m800_imag,m400_dtn_success,m800_dtn_success,dtn_delta_400_800,residual_delta_400_800,dtn_delta_over_m_budget,residual_delta_over_boundary_gap,tail_l1_self,tail_l1_400,tail_l1_800,tail_l1_pair_max,tail_coeff_self_terminal,tail_coeff_400_terminal,tail_coeff_800_terminal,tail_completion_self,raw_tail_over_m_budget,pair_tail_over_m_budget,empirical_conditioning_lower_bound,allowed_conditioning_self,allowed_conditioning_pair,tail_conditioning_status
6.0,60.0,400.0,even,1.0,0.05,0.0092614760389061,-0.0033160702851386,0.0033008158249878,0.3374138893125741,0.008435347232814352,0.010751107325452952,0.09957466695126982,-0.022164800434321667,-0.08165889055668438,1.0,1.0,0.18419842385492588,7.367936954197035,21.836495732905387,21.836495732905387,4.498243499213769e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.000533261213209475,0.000533261213209475,40948.96683274732,1875.2535816010704,1875.2535816010704,not_lifted_tail_conditioning
6.0,60.0,400.0,odd,1.0,0.05,0.010772654646807,-0.0036291617273143,0.0036097645895319,0.3343827725076107,0.008359569312690268,0.032668571064137855,0.10615736392187171,-0.02171045614582703,-0.0902202811226749,1.0,1.0,0.20376765708410166,8.150706283364066,24.375377422228148,24.375377422228148,4.498243499213769e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.0005380951255927978,0.0005380951255927978,45299.383441496095,1858.407468193175,1858.407468193175,not_lifted_tail_conditioning
6.0,80.0,400.0,even,1.0,0.0666666666666666,0.0066008777080276,-0.0027049482824944,0.0026960622878862,0.1217320976509424,0.0040577365883647425,0.022231977642799328,0.0757034244129424,-0.020870453236087404,-0.06933617094926649,1.0,1.0,0.15130863746165482,4.539259123849649,37.288925529449365,37.288925529449365,4.498243499213769e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.001108559760165839,0.001108559760165839,33637.27141229715,902.0713505335981,902.0713505335981,not_lifted_tail_conditioning
6.0,80.0,400.0,odd,1.0,0.0666666666666666,0.0066008777113058,-0.0027049482904822,0.0026960622958433,0.1217321021226802,0.004057736737422669,0.022231978004295265,0.07570342483100657,-0.02087045326121487,-0.06933617098980252,1.0,1.0,0.15130863801138947,4.539259140341689,37.2889242951467,37.2889242951467,4.498243499213769e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.0011085597194437247,0.0011085597194437247,33637.27153450811,902.0713836705162,902.0713836705162,not_lifted_tail_conditioning
6.0,100.0,400.0,even,1.0,0.0833333333333333,0.0044173683334497,-0.0021188553782595,0.0021141897675973,0.0523355393205626,0.0021806474716901075,0.01820258779411222,0.057942504910056494,-0.020227029401673754,-0.05558504778191686,1.0,1.0,0.11985549923989068,2.8765319817573776,54.96326242361259,54.96326242361259,4.498243499213769e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.00206280178598855,0.00206280178598855,26644.95580571389,484.77755196472907,484.77755196472907,not_lifted_tail_conditioning
6.0,100.0,400.0,odd,1.0,0.0833333333333333,0.0044173683350498,-0.0021188553800381,0.0021141897693703,0.0523355314527734,0.0021806471438655575,0.018202588079678624,0.057942505149828405,-0.02022702946927819,-0.05558504775117497,1.0,1.0,0.11985549955112285,2.8765319892269496,54.963270829162745,54.963270829162745,4.498243499213769e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.002062802096096982,0.002062802096096982,26644.9558749036,484.7774790863822,484.7774790863822,not_lifted_tail_conditioning
6.0,120.0,400.0,even,1.0,0.1,0.0035016243975835,-0.0018378939529164,0.0018346838025795,0.0240102008488947,0.0012005100424447351,0.01840728916681925,0.04992361990574106,-0.019465675523100513,-0.049474466537667905,1.0,1.0,0.10636889133113737,2.1273778266227477,88.60308333158655,88.60308333158657,4.498243499213769e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.003746943665755169,0.003746943665755169,23646.761530301592,266.88418327166323,266.88418327166323,not_lifted_tail_conditioning
6.0,120.0,400.0,odd,1.0,0.1,0.003501624401755,-0.0018378939523014,0.0018346838019618,0.0240102010297344,0.0012005100514867202,0.01840728925212859,0.04992362005709311,-0.019465675551421004,-0.04947446650288574,1.0,1.0,0.10636889148052618,2.1273778296105235,88.60308278868486,88.60308278868486,4.498243499213769e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.00374694363753399,0.00374694363753399,23646.761563512067,266.88418528177783,266.88418528177783,not_lifted_tail_conditioning
6.0,60.0,800.0,even,1.0,0.05,0.0100336639045976,-0.0020046965244911,0.0019947133724832,1.8437704327783464,0.046094260819458666,0.009757375772574725,0.08325421699977573,0.004176135754644119,0.1487355514317653,1.0,1.0,0.0657187598721386,2.628750394885544,1.4257471256463985,1.4257471256463987,1.1245509392272367e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,2.439676695612631e-05,9.758793002088534e-05,14609.871582902379,40989.037678571935,10247.168884369044,not_lifted_tail_conditioning
6.0,60.0,800.0,odd,1.0,0.05,0.0100336639072853,-0.0020046965768186,0.0019947134245475,1.843768750582952,0.046094218764573806,0.009757376068729368,0.08325421702997986,0.004176102419974945,0.1487355659899455,1.0,1.0,0.0657187772037724,2.6287510881508958,1.4257488024567897,1.42574880245679,1.1245509392272367e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,2.4396789214952964e-05,9.75880190569786e-05,14609.875435880502,40989.000281524466,10247.159535189778,not_lifted_tail_conditioning
