D,ell,N_target,theta,R0,L,Nz,h,case_id,candidate_index,seed_E,seed_omega,S_seed,Gamma_geo_seed,E_real,E_imag,omega_real,omega_imag,Gamma,Gamma_narrow,Gamma_over_geo,seed_overlap,interior_weight,seed_dist,eig_residual_abs
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,0.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.004792016821543371,-0.000279499897769139,1.0023931545349107,-0.00013941630412411438,0.00027883260824822876,0.00027883260824822876,3195099.262443557,0.0006594466785842717,0.15571052919522657,0.0002795200053526111,3.863990587028735e-14
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,1.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.004792016819940614,-0.00027949989726639573,1.0023931545341112,-0.0001394163038734541,0.0002788326077469082,0.0002788326077469082,3195099.2566990033,0.9990947454788041,0.15571053002283058,0.0002795200048691282,3.5320284187335e-14
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,2.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.009561612207548314,-0.000631657638427328,1.004769481528308,-0.0003143296298502932,0.0006286592597005864,0.0006286592597005864,7203708.166045947,0.06372727445927723,0.5242081297425951,0.004807916471448609,7.008399398479776e-14
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,3.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.009561612233341597,-0.0006316576458018897,1.0047694815411443,-0.0003143296335160554,0.0006286592670321108,0.0006286592670321108,7203708.250056739,1.9114355538640518e-05,0.5242081251382861,0.004807916497987182,6.243254518528237e-14
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,4.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.016073697837961365,-0.001133847043429733,1.0080049673269196,-0.0005624213571271023,0.0011248427142542046,0.0011248427142542046,12889396.793502355,2.4760211873995924e-06,0.45173274784417333,0.011335179704163006,7.230654375922983e-14
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,5.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.016073697690206373,-0.0011338470044228084,1.008004967253618,-0.0005624213378194237,0.0011248426756388474,0.0011248426756388474,12889396.351015013,0.00947263041115416,0.45173275874933405,0.011335179553247253,6.328483745032953e-14
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,6.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.024451697059935378,-0.0017942981569567108,1.0121524009381908,-0.0008863774641514106,0.0017727549283028212,0.0017727549283028212,20313721.55322334,0.010591053314613012,0.522465993898248,0.019738052551156453,2.0160433132572572e-13
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,7.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.024451697566198062,-0.0017942982814329771,1.0121524011883367,-0.0008863775254232205,0.001772755050846441,0.001772755050846441,20313722.95743152,2.838710236151467e-06,0.5224659679248577,0.019738053066638547,8.630800115938282e-14
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,8.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.03476169228066678,-0.0026183171692720658,1.0172331830007015,-0.0012869798257801525,0.002573959651560305,0.002573959651560305,29494601.208687894,0.0068683116461851525,0.4764766649999475,0.030080493430470825,3.625425500402246e-13
6.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,130100.0,9.0,0.0047953695129047385,1.0023948171817854,11.582209797089696,8.72688406040263e-11,0.0347616935565457,-0.0026183174631997912,1.0172331836280153,-0.0012869799694606035,0.002573959938921207,0.002573959938921207,29494604.50151154,1.8317809404319293e-06,0.4764766333473229,0.030080494727091695,1.8363497258551547e-13
