D,R_tail,parity,R0,R1,tube_factor,tube_half_re,tube_half_im,tube_radius_min,n_quad_nodes,n_points_per_node,dR_step,dE_step,secant_speed_abs,max_centered_flow_integrand,median_node_centered_flow_integrand,max_raw_flow_integrand,integral_centered_bound,integral_raw_bound,centered_contraction_ratio,raw_contraction_ratio,dF_dE_abs_min,dF_dE_abs_median_min,centered_numerator_abs_max,dF_dE_CR_rel_mismatch_max,adapted_flow_pass,adapted_flow_status
6.0,400.0,even,60.0,80.0,16.0,0.0016,0.0016,0.0016,3.0,17.0,0.5,1.6000000000000003e-05,0.00013649408027813258,0.00025707546117959815,0.0002420892216828961,0.00029870777789138813,0.005141509223591963,0.005974155557827762,3.213443264744977,3.733847223642351,219.7334386013897,1327.6177272236632,8.36776158252381,0.011605748839361033,0.0,adapted_secant_flow_not_closed
6.0,400.0,even,80.0,100.0,16.0,0.0016,0.0016,0.0016,3.0,17.0,0.5,1.6000000000000003e-05,0.0001130400159375439,0.0002016551405188501,0.00019074732276986396,0.00020179076982871144,0.004033102810377002,0.004035815396574229,2.520689256485626,2.522384622858893,156.90233060292672,723.4246308190413,2.326124653705927,0.01415427205666242,0.0,adapted_secant_flow_not_closed
6.0,400.0,even,100.0,120.0,16.0,0.0016,0.0016,0.0016,3.0,17.0,0.5,1.6000000000000003e-05,4.789379601280694e-05,0.0001305138449141174,0.00011825555628924398,0.0001557434598875421,0.0026102768982823477,0.003114869197750842,1.6314230614264673,1.946793248594276,122.42309789986263,602.51414914943,1.504357162351263,0.01415427205666242,0.0,adapted_secant_flow_not_closed
6.0,400.0,odd,60.0,80.0,16.0,0.0016,0.0016,0.0016,3.0,17.0,0.5,1.6000000000000003e-05,0.00021364628054567665,0.000580680553903611,0.00034095416059416235,0.0003729428452415166,0.01161361107807222,0.007458856904830332,7.258506923795137,4.661785565518957,219.7333017839429,1327.617765976728,4.654572152175667,0.011604545785373592,0.0,adapted_secant_flow_not_closed
6.0,400.0,odd,80.0,100.0,16.0,0.0016,0.0016,0.0016,3.0,17.0,0.5,1.6000000000000003e-05,0.00011304001609906445,0.000201655145538373,0.0001907473138697796,0.00020179089848219365,0.00403310291076746,0.004035817969643873,2.520689319229662,2.5223862310274203,156.90239795127152,723.4242351200865,2.326124605305776,0.014153988004760337,0.0,adapted_secant_flow_not_closed
6.0,400.0,odd,100.0,120.0,16.0,0.0016,0.0016,0.0016,3.0,17.0,0.5,1.6000000000000003e-05,4.7893795924996284e-05,0.0001305137054961831,0.00011825555880481058,0.00015574346963913408,0.0026102741099236623,0.0031148693927826815,1.6314213187022888,1.9467933704891758,122.42311599354832,602.5141493926079,1.5043569061342317,0.014153988004760337,0.0,adapted_secant_flow_not_closed
6.0,400.0,even,60.0,80.0,32.0,0.0032,0.0032,0.0032,3.0,17.0,0.5,3.2000000000000005e-05,0.00013649408027813258,0.0011055153566334412,0.0005494644524437882,0.000983293222365148,0.022110307132668823,0.019665864447302964,6.909470978959007,6.145582639782176,149.39225264282322,809.831282888388,23.9444530079205,0.1404454968865149,0.0,adapted_secant_flow_not_closed
6.0,400.0,even,80.0,100.0,32.0,0.0032,0.0032,0.0032,3.0,17.0,0.5,3.2000000000000005e-05,0.0001130400159375439,0.0004231515527204152,0.00023485648841948577,0.0003271349604326542,0.008463031054408304,0.006542699208653084,2.6446972045025947,2.044593502704089,149.39225264282322,601.6964246519531,21.143092771692586,0.1404454968865149,0.0,adapted_secant_flow_not_closed
6.0,400.0,even,100.0,120.0,32.0,0.0032,0.0032,0.0032,3.0,17.0,0.5,3.2000000000000005e-05,4.789379601280694e-05,0.00015697708725808757,0.0001533427010588865,0.000162497061024124,0.0031395417451617513,0.0032499412204824805,0.9811067953630472,1.015606631400775,148.6367134058502,439.1079948014873,0.41257762307013146,0.015769759832573813,1.0,adapted_secant_flow_closed
6.0,400.0,odd,60.0,80.0,32.0,0.0032,0.0032,0.0032,3.0,17.0,0.5,3.2000000000000005e-05,0.00021364628054567665,0.0008311399221152165,0.0005107456099171358,0.0006572363843710002,0.01662279844230433,0.013144727687420003,5.194624513220103,4.10772740231875,149.39229217250545,809.831281204441,33.2944538550216,0.14044464952237978,0.0,adapted_secant_flow_not_closed
