D,n_paths,n_paths_with_tail_box_control,n_paths_with_step_box_overlap,min_path_length_over_box_halfwidth,median_path_length_over_box_halfwidth,max_path_length_over_box_halfwidth,min_group_square_cover_factor,median_group_square_cover_factor,max_group_square_cover_factor,min_endpoint_product_margin,max_endpoint_boundary_ratio,max_mean_flow_abs_per_R,max_step_square_cover_factor,r_flow_status
6.0,4.0,4.0,0.0,59.485578445696675,66.42167728286189,74.91601851394748,28.799258206612997,32.869486778704,36.355151225259995,131.84283764575096,0.0075847882058402,0.00012486003085657914,20.858884677506,R_flow_large_tube_required
12.0,4.0,4.0,0.0,74.29729218289233,74.58425311406162,74.87121386606454,36.50798404235,36.671466486477996,36.8349490073285,59.414184378794616,0.0168309976894491,0.0001247853564434409,21.144883903543004,R_flow_large_tube_required
18.0,4.0,4.0,0.0,74.45445373561365,74.7949005362253,75.13534726444277,36.726492603207,36.833784110032255,36.941075650026,38.37578715968492,0.0260580974101955,0.0001252255787740713,21.213659795227,R_flow_large_tube_required
global,12.0,12.0,0.0,59.485578445696675,74.45445377330216,75.13534726444277,28.799258206612997,36.617238328250494,36.941075650026,38.37578715968492,0.0260580974101955,0.0001252255787740713,21.213659795227,R_flow_large_tube_required
