D,ell,eta_cap,Nz,zmax,z_cap_frac,z_cap_start,cap_power,N_target,seed_E,seed_omega_real,seed_bound,E_cap_real,E_cap_imag,omega_cap_real,omega_cap_imag,Gamma_cap,Gamma_cap_narrow,Gamma_cap_over_eta,rel_Gamma_exact_vs_narrow,S_seed,Gamma_wkb_seed,rel_Gamma_cap_vs_wkb,candidate_overlap,candidate_seed_dist,candidate_interior_weight
6.0,1.0,5e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.00667539782518021,-7.759874250971484e-07,1.0033321473098176,-3.867051540099474e-07,7.734103080198948e-07,7.734103080198948e-07,0.015468206160397895,0.0,11.684850011539648,7.113985303421259e-11,10870.68830174482,0.9999999840416619,7.759875368701072e-07,0.8625368287842394
6.0,1.0,5.53e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.006675397918155572,-8.582420388824001e-07,1.0033321473561676,-4.2769587376618626e-07,8.553917475323725e-07,8.553917475323725e-07,0.015468205199500406,0.0,11.684850011539648,7.113985303421259e-11,12023.086514783738,0.9999999804791948,8.582421900990328e-07,0.8625368356678497
6.0,1.0,6.12e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.006675398032665005,-9.49808476745406e-07,1.0033321474132526,-4.733270428911109e-07,9.466540857822218e-07,9.466540857822218e-07,0.015468204016049376,0.0,11.684850011539648,7.113985303421259e-11,13305.944636601325,0.999999976091537,9.498086817087609e-07,0.8625368441457475
6.0,1.0,6.78e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.006675398174504481,-1.0522387030232713e-06,1.0033321474839623,-5.24372066449755e-07,1.04874413289951e-06,1.04874413289951e-06,0.015468202550140267,0.0,11.684850011539648,7.113985303421259e-11,14741.005896401668,0.9999999706568725,1.0522389817055002e-06,0.8625368546470751
6.0,1.0,7.5e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.0066753983457919774,-1.1639807330645199e-06,1.0033321475693522,-5.800575292460981e-07,1.1601150584921961e-06,1.1601150584921961e-06,0.01546820077989595,0.0,11.684850011539648,7.113985303421259e-11,16306.526780161796,0.9999999640935694,1.1639811102918269e-06,0.8625368673286161
6.0,1.0,5e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.006675397641833205,-5.319888433496053e-07,1.0033321472184091,-2.6511103268467283e-07,5.302220653693457e-07,5.302220653693457e-07,0.010604441307386912,0.0,11.684850011539648,7.113985303421259e-11,7452.235321056275,0.9999999918853296,5.319888944394022e-07,0.9035354504794071
6.0,1.0,5.53e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.006675397693878955,-5.883796359495388e-07,1.0033321472443535,-2.932127897852772e-07,5.864255795705545e-07,5.864255795705545e-07,0.010604440860227025,0.0,11.684850011539648,7.113985303421259e-11,8242.27791749205,0.9999999900738369,5.883797050681612e-07,0.9035354538319881
6.0,1.0,6.12e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.0066753977579785346,-6.511542830230446e-07,1.0033321472763064,-3.244958734705647e-07,6.489917469411294e-07,6.489917469411294e-07,0.010604440309495578,0.0,11.684850011539648,7.113985303421259e-11,9121.759174509627,0.9999999878429094,6.511543767077891e-07,0.9035354579610739
6.0,1.0,6.78e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.006675397837377846,-7.213767573645847e-07,1.0033321473158863,-3.594905033664134e-07,7.189810067328268e-07,7.189810067328268e-07,0.01060443962732783,0.0,11.684850011539648,7.113985303421259e-11,10105.585494168146,0.9999999850792718,7.213768847447149e-07,0.9035354630756671
6.0,1.0,7.5e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.0066753979332605335,-7.979830767249893e-07,1.0033321473636827,-3.976664551324002e-07,7.953329102648004e-07,7.953329102648004e-07,0.010604438803530673,0.0,11.684850011539648,7.113985303421259e-11,11178.850341865462,0.9999999817420799,7.979832491473068e-07,0.903535469252087
6.0,1.0,5e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.006675397525438269,-3.418704323522979e-07,1.0033321471603844,-1.7036752650647867e-07,3.4073505301295735e-07,3.4073505301295735e-07,0.006814701060259147,0.0,11.684850011539648,7.113985303421259e-11,4788.650786164697,0.9999999963831404,3.4187045228892424e-07,0.9367838945600716
6.0,1.0,5.53e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.00667539755150092,-3.781086883564916e-07,1.0033321471733756,-1.8842647941746579e-07,3.7685295883493157e-07,3.7685295883493157e-07,0.0068147008830909865,0.0,11.684850011539648,7.113985303421259e-11,5296.353631777893,0.9999999955757569,3.7810871532834326e-07,0.9367838959415243
6.0,1.0,6.12e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.006675397408684312,1.003332147102187,0.0,0.006675397583598998,-4.1844938493412877e-07,1.0033321471893755,-2.085298403456557e-07,4.170596806913114e-07,4.170596806913114e-07,0.006814700664890709,0.0,11.684850011539648,7.113985303421259e-11,5861.532222139102,0.999999994581401,4.184494214918908e-07,0.9367838976429129
