center_mode,tube_factor,n_segments,n_curved_flow_pass,max_curved_contraction_ratio,median_curved_contraction_ratio,min_curved_contraction_ratio,max_raw_contraction_ratio,min_dF_dE_abs,max_dF_dE_CR_rel_mismatch,curved_flow_status
cubic_path,64.0,4.0,0.0,1.812580128176708,1.629706472689763,1.4709452317029625,1.6603812132018643,159.1878183688332,0.018023142478978627,curved_flowbox_not_closed
cubic_path,96.0,4.0,2.0,1.9423505137956305,1.302117323009481,0.9923790691733504,1.5574882587812084,150.17167233600324,0.01743606332750107,curved_flowbox_not_closed
cubic_path,128.0,4.0,0.0,1.5930836752605757,1.2855801860306542,1.2035553118273559,1.3552387896001852,54.85930381868804,0.03099694797658485,curved_flowbox_not_closed
quadratic_backward,64.0,2.0,0.0,1.5544284586834105,1.5021171853747495,1.4498059120660884,1.2537728154915289,156.3098624152526,0.018023078529877223,curved_flowbox_not_closed
quadratic_backward,96.0,2.0,2.0,0.9978215228898814,0.9944980744087724,0.9911746259276634,0.823406687973051,184.32225619433885,0.017650278728025635,curved_flowbox_closed_on_grid
quadratic_backward,128.0,2.0,0.0,1.2098122446976987,1.2061522760368475,1.202492307375996,1.0694996570176056,54.8593038210662,0.03137760035173852,curved_flowbox_not_closed
quadratic_forward,64.0,4.0,0.0,1.8219572174384422,1.6149638841015452,1.4908782882799958,1.685181166726971,161.3185431851464,0.018023377035945996,curved_flowbox_not_closed
quadratic_forward,96.0,4.0,2.0,1.9581923203665217,1.2943725362079321,0.9930318464292535,1.5742431641349246,129.6605863993698,0.016878081615598197,curved_flowbox_not_closed
quadratic_forward,128.0,4.0,0.0,1.5988972262034087,1.2862661534404527,1.2041059441308097,1.3567621740638562,54.85930381971828,0.03000447581782956,curved_flowbox_not_closed
secant,64.0,4.0,0.0,1.9700901740714183,1.6702519416782666,1.5979356504467013,1.65969760155879,154.58345254505625,0.01802296347985748,curved_flowbox_not_closed
secant,96.0,4.0,2.0,2.2535621180438765,1.3055614317580622,0.9993203055214617,2.0900189664302533,65.18325893089482,0.017984980809573267,curved_flowbox_not_closed
secant,128.0,4.0,0.0,1.6232484348982055,1.2931612126741718,1.2201835271973596,1.3686318253058798,54.85930382078827,0.031971484770733444,curved_flowbox_not_closed
