D,R_tail,parity,R0,R1,center_mode,tube_factor,tube_radius_min,slab_index,R_left,R_right,delta_R,q_left,q_right,node_upper_beta,inflated_beta,node_upper_contribution,inflated_contribution,node_slope_abs
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,0.0,60.0,60.625,0.625,0.0033059079926411037,0.0032729001473076644,0.0033059079926411037,0.0034712033922731592,0.0020661924954006898,0.0021695021201707243,5.2812552533502975e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,1.0,60.625,61.25,0.625,0.0032729001473076644,0.0032404836277109355,0.0032729001473076644,0.003436545154673048,0.00204556259206729,0.002147840721670655,5.1866431354766204e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,2.0,61.25,61.875,0.625,0.0032404836277109355,0.003208634318765137,0.0032404836277109355,0.0034025078090964824,0.0020253022673193347,0.0021265673806853016,5.0958894313277854e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,3.0,61.875,62.5,0.625,0.003208634318765137,0.003177330033055385,0.003208634318765137,0.003369066034703394,0.0020053964492282106,0.0021056662716896213,5.0086857135602655e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,4.0,62.5,63.125,0.625,0.003177330033055385,0.003146555490484029,0.003177330033055385,0.0033361965347081545,0.0019858312706596158,0.0020851228341925965,4.923926811416998e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,5.0,63.125,63.75,0.625,0.003146555490484029,0.003116297520031325,0.003146555490484029,0.0033038832650082307,0.0019665971815525183,0.002064927040630144,4.841275272432638e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,6.0,63.75,64.375,0.625,0.003116297520031325,0.0030865442460233355,0.003116297520031325,0.003272112396032891,0.001947685950019578,0.002045070247520557,4.7605238412783137e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,7.0,64.375,65.0,0.625,0.0030865442460233355,0.0030572881156288507,0.0030865442460233355,0.0032408714583245023,0.0019290901537645847,0.0020255446614528137,4.680980863117565e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,8.0,65.0,65.625,0.625,0.0030572881156288507,0.0030285189199265273,0.0030572881156288507,0.0032101525214102934,0.0019108050722680316,0.0020063453258814335,4.60307131237174e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,9.0,65.625,66.25,0.625,0.0030285189199265273,0.0030002285017146036,0.0030285189199265273,0.003179944865922854,0.0018928243249540797,0.001987465541201784,4.526466913907789e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,10.0,66.25,66.875,0.625,0.0030002285017146036,0.0029724058312881533,0.0030002285017146036,0.003150239926800334,0.0018751428135716274,0.001968899954250209,4.4516272682320475e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,11.0,66.875,67.5,0.625,0.0029724058312881533,0.0029450423136961747,0.0029724058312881533,0.0031210261228525613,0.001857753644555096,0.0019506413267828507,4.378162814716591e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,12.0,67.5,68.125,0.625,0.0029450423136961747,0.0029181252064478377,0.0029450423136961747,0.0030922944293809837,0.0018406514460601092,0.001932684018363115,4.3067371597339114e-05
