D,ell,N_target,R,R_tail,n_half,h,parity,seed_E,seed_omega,E_dtn_real,E_dtn_imag,omega_dtn_real,omega_dtn_imag,Gamma_dtn,Gamma_dtn_narrow,rel_Gamma_exact_vs_narrow,S_seed,Gamma_geo_seed,Gamma_dtn_over_geo,root_candidate_count,root_success,root_nfev,guess_E_real,guess_E_imag,residual_abs,seed_dist,dtn_success,dtn_nfev,dtn_status,dtn_residual_abs,m_tail_real,m_tail_imag,m_R_real,m_R_imag
6.0,1.0,3.0,60.0,400.0,1200.0,0.05,even,0.010386311090284001,1.0051797406883427,0.003996523535315588,-0.0015516789185940616,1.001996568390224,-0.0007742935293116521,0.0015485870586233043,0.0015485870586233043,0.0,11.653338743215443,7.590708309625106e-11,20401087.69111412,1.0,1.0,38.0,0.0097681875227624,-0.0078647915786933,3.968872226275455e-10,0.006575491803967096,1.0,842.0,0.0,0.0012987166101816475,0.012615927488071797,0.061166937876656155,0.027833357574212694,0.018647049065574878
6.0,1.0,3.0,60.0,400.0,1200.0,0.05,odd,0.010386311090284001,1.0051797406883427,0.003996523534515275,-0.0015516789199303883,1.0019965683898253,-0.0007742935299787922,0.0015485870599575844,0.0015485870599575844,0.0,11.653338743215443,7.590708309625106e-11,20401087.70869193,1.0,1.0,27.0,0.0097681870777831,-0.0078647919746118,8.934296767527841e-10,0.0065754918050601515,1.0,842.0,0.0,0.0012987166209924197,0.012615927499847652,0.06116693787252913,0.02783335766167803,0.01864704892632614
6.0,1.0,3.0,80.0,400.0,1200.0,0.06666666666666667,even,0.006672556445593471,1.0033307313371764,0.003996523100816107,-0.0015516788911456095,1.0019965681733969,-0.0007742935157823261,0.0015485870315646523,0.0015485870315646523,0.0,11.661869046391255,7.448577889760137e-11,20790371.725770067,1.0,1.0,28.0,0.0064847068011037,-0.0045528133189041,4.1866830833895586e-10,0.0030933576973229578,1.0,794.0,0.0,0.0011782154928630436,0.012615927972764777,0.061166934422846986,0.008659017775985139,0.0331348049944002
6.0,1.0,3.0,80.0,400.0,1200.0,0.06666666666666667,odd,0.006672556445593471,1.0033307313371764,0.003996523100579497,-0.0015516788920757396,1.001996568173279,-0.0007742935162465556,0.0015485870324931112,0.0015485870324931112,0.0,11.661869046391255,7.448577889760137e-11,20790371.738234986,1.0,1.0,29.0,0.0064847067293605,-0.0045528133706541,8.394424314874889e-11,0.0030933576979942155,1.0,794.0,0.0,0.0011782154983687443,0.012615927980444887,0.06116693442248894,0.008659017749729516,0.03313480492281414
6.0,1.0,3.0,100.0,400.0,1200.0,0.08333333333333333,even,0.0047954511020069385,1.0023948578788735,0.004962370135071179,-0.0018248170672784327,1.0024785277067032,-0.000910152694967409,0.001820305389934818,0.001820305389934818,0.0,11.692617169470404,6.997785058507598e-11,26012593.62377487,1.0,1.0,16.0,0.0047566372667683,-0.0030055663157663,8.322611839083984e-11,0.0018324353447338219,1.0,746.0,0.0,0.000823549608343556,0.013221933647055081,0.06872544080759851,0.019705288698455316,0.06341385241067488
6.0,1.0,3.0,100.0,400.0,1200.0,0.08333333333333333,odd,0.0047954511020069385,1.0023948578788735,0.004962370134984941,-0.0018248170701153814,1.0024785277066615,-0.0009101526963824143,0.0018203053927648286,0.0018203053927648286,0.0,11.692617169470404,6.997785058507598e-11,26012593.66421639,1.0,1.0,28.0,0.0047566372529426,-0.0030055663242121,1.7473060729512591e-10,0.0018324353475511208,1.0,746.0,0.0,0.0008235496219247339,0.01322193366708503,0.06872544081081096,0.01970528877693667,0.06341385250089537
6.0,1.0,3.0,120.0,400.0,1200.0,0.1,even,0.003689626838555341,1.0018431148830416,0.003996524267359329,-0.00155166532880029,1.0019965687502763,-0.000774286747675982,0.001548573495351964,0.001548573495351964,0.0,11.671823592173032,7.290923781707112e-11,21239743.298885204,1.0,1.0,31.0,0.0037108663766764,-0.0021529310657089,9.577791503030396e-11,0.00158172416192186,1.0,698.0,0.0,0.00036121083864216894,0.012615819667364714,0.06116692172471133,0.017904047360418444,0.05341654213503283
6.0,1.0,3.0,120.0,400.0,1200.0,0.1,odd,0.003689626838555341,1.0018431148830416,0.0039965242673998674,-0.001551665329322415,1.0019965687502967,-0.0007742867479365086,0.0015485734958730173,0.0015485734958730173,0.0,11.671823592173032,7.290923781707112e-11,21239743.306031805,1.0,1.0,31.0,0.003710866373875,-0.0021529310671733,2.50495562373399e-10,0.0015817241624419285,1.0,698.0,0.0,0.0003612108396310308,0.012615819671396597,0.0611669217258707,0.017904047371300878,0.053416542144346255
6.0,1.0,3.0,60.0,800.0,1200.0,0.05,even,0.010386311090284001,1.0051797406883427,0.005167214922223551,-0.001139007428595774,1.0025804394607496,-0.0005680379268163278,0.0011360758536326555,0.0011360758536326555,0.0,11.653338743215443,7.590708309625106e-11,14966664.602196585,1.0,1.0,39.0,0.0097681875227624,-0.0078647915786933,2.639430546302659e-08,0.005341938106517113,1.0,1862.0,0.0,0.0018955391525916005,0.008018746097036908,0.07090961824898442,0.011222680580882365,0.01780640495372981
6.0,1.0,3.0,60.0,800.0,1200.0,0.05,odd,0.010386311090284001,1.0051797406883427,0.005167214920861882,-0.0011390074308824224,1.0025804394600712,-0.0005680379279570936,0.0011360758559141872,0.0011360758559141872,0.0,11.653338743215443,7.590708309625106e-11,14966664.632253487,1.0,1.0,42.0,0.0097681870777831,-0.0078647919746118,1.8058941077359937e-08,0.005341938108335028,1.0,1862.0,0.0,0.0018955391860180618,0.008018746114028783,0.07090961824130124,0.011222681123539139,0.01780640422898802
