D,n_anchor_branches,n_local_argument_pass,n_local_box_cover_pass,n_parent_lift_budget_pass,best_branch_id,best_branch_status,best_Gamma_candidate,best_E_abs_span,best_branch_cover_radius_required,best_branch_cover_radius_over_contour,best_branch_square_cover_lower_bound_over_contour,best_rouche_residual_budget,best_half_span_residual_budget,best_half_span_residual_over_rouche_budget,min_branch_cover_radius_over_contour,min_branch_square_cover_lower_bound_over_contour,min_half_span_residual_over_rouche_budget,min_boundary_F_abs_min,min_rouche_residual_budget,parent_lift_status
6.0,16.0,16.0,0.0,0.0,7.0,not_promoted,0.001914698600393,0.0077503155504959,0.00387515777524795,38.7515777524795,27.401503410456,0.0240102010297344,1.0439409372031476,43.47905858473754,38.7515777524795,27.401503410456,43.47905858473754,0.0240102008488947,0.0240102008488947,not_lifted_current_grid
12.0,16.0,16.0,0.0,0.0,6.0,not_promoted,0.0017765295059476,0.0077444635495124,0.0038722317747562,38.722317747561995,27.380813462561285,0.0375542748974702,1.6393127281231807,43.65182745769407,38.722317747561995,27.380813462561285,43.65182745769407,0.037554274458009,0.037554274458009,not_lifted_current_grid
18.0,16.0,16.0,0.0,0.0,6.0,not_promoted,0.0016644820576986,0.0077733914651309,0.00388669573256545,38.8669573256545,27.483089089058456,0.0494055818943834,2.1726735217822206,43.976276333043614,38.8669573256545,27.483089089058456,43.976276333043614,0.0494055818943834,0.0494055818943834,not_lifted_current_grid
global,48.0,48.0,0.0,0.0,7.0,not_promoted,0.001914698600393,0.0077503155504959,0.00387515777524795,38.7515777524795,27.401503410456,0.0240102010297344,1.0439409372031476,43.47905858473754,38.722317747561995,27.380813462561285,43.47905858473754,0.0240102008488947,0.0240102008488947,not_lifted_current_grid
