D,R,R_tail_root,parity,ell,h,E0_real,E0_imag,Gamma_dtn,transfer_pair,R_start,R_ref,box_re,box_im,n_contour,m_rouche_budget,boundary_required_product_min,boundary_required_product_median,boundary_required_product_max,boundary_jost_product_min,boundary_jost_product_median,boundary_jost_product_max,boundary_product_margin_min,boundary_product_margin_median,boundary_ratio_direct_max,boundary_ratio_transfer_max,boundary_ratio_direct_median,boundary_ratio_transfer_median,jost_a_boundary_min,jost_b_boundary_min,jost_a_winding_raw,jost_b_winding_raw,jost_a_winding_round,jost_b_winding_round,nfev_total,contour_jost_status
6.0,60.0,400.0,even,1.0,0.05,0.0092614760389061,-0.0033160702851386,0.0033008158249878,1600_to_3200,1600.0,3200.0,0.0001,0.0001,16.0,0.008435347232814352,23.248298360823412,23.403150920434815,23.55592647857142,235014682612531.78,1540753362915584.0,9375707086922140.0,10011129932721.936,65929837840396.92,9.988882441046383e-14,1.7617952703550809e-12,1.6546727077219337e-14,1.1045013370462157e-12,1452.2887153334812,161823665040.7124,0.0,0.0,0.0,0.0,169856.0,passes_contour_jost_box
6.0,60.0,400.0,odd,1.0,0.05,0.010772654646807,-0.0036291617273143,0.0036097645895319,1600_to_3200,1600.0,3200.0,0.0001,0.0001,16.0,0.008359569312690268,25.257682888733765,25.401444341198296,25.543576543201127,475597132635923.25,2671027985371204.5,1.418276682179935e+16,18671418449418.086,105267890256920.66,5.355779491038968e-14,5.2339673353253735e-12,1.0151860863766187e-14,1.8210362889909595e-12,1921.1201929728722,247562403630.74417,0.0,0.0,0.0,0.0,169856.0,passes_contour_jost_box
6.0,80.0,400.0,even,1.0,0.0666666666666666,0.0066008777080276,-0.0027049482824944,0.0026960622878862,1600_to_3200,1600.0,3200.0,0.0001,0.0001,16.0,0.0040577365883647425,40.97157247848108,41.35934548216676,41.73958878266568,20243079553465.754,191964518644797.78,1592918434557975.8,487570014256.6286,4653196044827.327,2.0509874905343506e-12,4.533640848638232e-12,2.5019485929538124e-13,2.6100712425685814e-12,501.1213772670431,40395561777.59784,0.0,0.0,0.0,0.0,167488.0,passes_contour_jost_box
6.0,80.0,400.0,odd,1.0,0.0666666666666666,0.0066008777113058,-0.0027049482904822,0.0026960622958433,1600_to_3200,1600.0,3200.0,0.0001,0.0001,16.0,0.004057736737422669,40.97157099135347,41.359343980764706,41.73958726726555,20243104505035.664,191964582922871.6,1592919307390155.2,487570632939.26953,4653197777533.31,2.0509848880183836e-12,4.922284267298265e-12,2.501948069805885e-13,2.336771890275329e-12,501.1219619207612,40395564439.93282,0.0,-1.4135798584282297e-16,0.0,0.0,167488.0,passes_contour_jost_box
6.0,100.0,400.0,even,1.0,0.0833333333333333,0.0044173683334497,-0.0021188553782595,0.0021141897675973,1600_to_3200,1600.0,3200.0,0.0001,0.0001,16.0,0.0021806474716901075,62.7096180025407,63.608005908890185,64.47976545572553,1260686229591.6685,20433966887468.484,265679393883618.47,19725009423.292538,319567025340.5874,5.0697060697934914e-11,5.84734497978016e-11,4.016679689515082e-12,8.193433760882603e-12,151.2243745964601,8336527976.761618,0.0,0.0,0.0,0.0,165120.0,passes_contour_jost_box
6.0,100.0,400.0,odd,1.0,0.0833333333333333,0.0044173683350498,-0.0021188553800381,0.0021141897693703,1600_to_3200,1600.0,3200.0,0.0001,0.0001,16.0,0.0021806471438655575,62.70962744473278,63.60801548597814,64.47977516372963,1260686519024.3696,20433967203862.117,265679391378825.56,19725010982.03861,319566986551.5617,5.0697056691658614e-11,4.695380350368271e-11,4.01667443528179e-12,8.136302882208287e-12,151.22440703534747,8336528102.435836,0.0,0.0,0.0,0.0,165120.0,passes_contour_jost_box
6.0,120.0,400.0,even,1.0,0.1,0.0035016243975835,-0.0018378939529164,0.0018346838025795,1600_to_3200,1600.0,3200.0,0.0001,0.0001,16.0,0.0012005100424447351,101.75168299082608,103.60210821063411,105.38313315083806,185859005141.2469,4084139600398.5537,73259380233001.03,1784496463.9990227,39172683002.88567,5.603821695219383e-10,5.575213128720245e-10,3.241636433369275e-11,3.163711049536595e-11,64.73987464147935,2870858279.700245,0.0,0.0,0.0,0.0,163584.0,passes_contour_jost_box
6.0,120.0,400.0,odd,1.0,0.1,0.003501624401755,-0.0018378939523014,0.0018346838019618,1600_to_3200,1600.0,3200.0,0.0001,0.0001,16.0,0.0012005100514867202,101.75168227089502,103.60210747554208,105.3831324012419,185859021895.96274,4084128803361.5327,73259234571354.58,1784496637.5166738,39172580383.035934,5.603821150325122e-10,5.727213418573722e-10,3.2416404670222867e-11,4.1554511160196755e-11,64.73988173512804,2870858223.936408,0.0,0.0,0.0,0.0,163584.0,passes_contour_jost_box
6.0,60.0,800.0,even,1.0,0.05,0.0100336639045976,-0.0020046965244911,0.0019947133724832,1600_to_3200,1600.0,3200.0,0.0001,0.0001,16.0,0.046094260819458666,4.342451908442485,4.367936309629583,4.393097706369142,69785.57952757577,388841.8299647146,2131223.416747408,15916.314766229985,89101.66224680525,6.282861420419525e-05,6.28286136004797e-05,1.1569785253970808e-05,1.15697852367421e-05,0.02451148494473988,2847056.377241299,0.0,0.0,0.0,0.0,169856.0,passes_contour_jost_box
6.0,60.0,800.0,odd,1.0,0.05,0.0100336639072853,-0.0020046965768186,0.0019947134245475,1600_to_3200,1600.0,3200.0,0.0001,0.0001,16.0,0.046094218764573806,4.342455875454335,4.367940301525925,4.393101716106569,69785.6955753432,388842.2324312073,2131233.7476398977,15916.326629875424,89101.6731539485,6.282856737326374e-05,6.282856702231799e-05,1.1569784262708075e-05,1.156978434088544e-05,0.02451151579068029,2847057.528848419,0.0,0.0,0.0,0.0,169856.0,passes_contour_jost_box
