sample_id,g_beta,g_center,g_half_width,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,mismatch,score
13,0.24681740850778297,0.04883729238640517,0.025131270183622836,5.195121591880543,5.195290559390422,0.0,5.195121591880543
9,0.2465811101257801,0.04878807825092226,0.02563004188565537,5.198708589808319,5.198877555390439,0.0,5.198708589808319
1,0.24641162675963715,0.04891344066746533,0.0249852432875894,5.199206711144569,5.199375695832742,0.0,5.199206711144569
11,0.2462658904296346,0.048882976571656765,0.025493867234513162,5.199773185111894,5.1999421555127725,0.0,5.199773185111894
3,0.24617789661213754,0.048748219359293576,0.025119769930839538,5.2001989529397505,5.200367942660868,0.0,5.2001989529397505
7,0.24586438828008247,0.0488677552215755,0.025529801310878245,5.200750489062322,5.200919462413019,0.0,5.200750489062322
5,0.24672533627822996,0.04866265487447381,0.025453280704841017,5.201272932835025,5.201441917026976,0.0,5.201272932835025
16,0.2464290822437033,0.04897824240420014,0.02538386648921296,5.202391306383227,5.202560286182262,0.0,5.202391306383227
15,0.24602938987761735,0.04870251236241311,0.02505661731204018,5.202464685328401,5.202633687629131,0.0,5.202464685328401
6,0.24628280941080302,0.04902277688570321,0.024872935569286346,5.203406059774139,5.2035750590486245,0.0,5.203406059774139
10,0.2458807707911357,0.04902619710396976,0.025247258536424486,5.2054748900236305,5.205643883111023,0.0,5.2054748900236305
8,0.24653035235246643,0.04911526869274676,0.02523059470942244,5.2066220459178325,5.2067910405041005,0.0,5.2066220459178325
4,0.24683540151100605,0.049070732828229664,0.025643262534961103,5.206626303787061,5.206795289382605,0.0,5.206626303787061
12,0.2466740420348011,0.04923370661120862,0.024942222191393377,5.209510446035836,5.209679455362576,0.0,5.209510446035836
2,0.24597755965581164,0.04919856267645955,0.025340093924384563,5.2123370723229385,5.212506081069357,0.0,5.2123370723229385
14,0.2461255288711749,0.049150411241687834,0.02573987762145698,5.213365830756366,5.213534836108899,0.0,5.213365830756366
