label,width_beta,width_center,width_half_width,d4p0_p95_abs_delta_mu_mumu,d4p0_max_abs_delta_mu_mumu,d4p0_acceptance_mismatch,d4p8_p95_abs_delta_mu_mumu,d4p8_max_abs_delta_mu_mumu,d4p8_acceptance_mismatch,d6p4_p95_abs_delta_mu_mumu,d6p4_max_abs_delta_mu_mumu,d6p4_acceptance_mismatch,d7p2_p95_abs_delta_mu_mumu,d7p2_max_abs_delta_mu_mumu,d7p2_acceptance_mismatch,d8p0_p95_abs_delta_mu_mumu,d8p0_max_abs_delta_mu_mumu,d8p0_acceptance_mismatch,objective
width_probe_beta0p40_hw0p40,0.4,4.8,0.4,106.5674108994663,107.51502749723593,0.6,21.05311768745703,21.07507653870279,0.0,0.8396709077216287,0.839887784811225,0.0,1.408627463937552,1.4086288805670142,0.0,1.729344945583517,1.7293449547896227,0.0,41.637166920200514
gnorm_bandpass_only,0.0,4.8,0.4,106.56741089946627,107.5150274972359,0.6,93.35337904134191,93.42020518009139,0.0,0.8396709077216258,0.839887784811225,0.0,1.408627463937552,1.4086288805670142,0.0,1.729344945583517,1.7293449547896227,0.0,128.45132128986683
