D,eta,coeff_l1,coeff_l2,coeff_norm_q2,coeff_norm_neff,coeff_norm_coherence,coeff_participation_access_parented,coeff_participation_access_parented_norm,coeff_participation_access_parented_norm_residual,eymh_parented_prefactor_diag,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
4.0,0.2,0.5339835720691466,0.3813202699293874,0.5099457670021179,1.9609928441583608,0.8450472597147287,0.8450472597147287,0.8450472597147287,0.0,0.0433261161132477,2.4082829678814335,2.408283091800887,1.2391945336531762e-07
4.8,0.2,0.5496017971416134,0.3964102668125378,0.520227732003616,1.9222350876001533,0.8492750682447441,0.8492750682447441,0.8492750682447441,0.0,0.0392190539319979,13.739244327095353,13.739247292265354,2.9651700010902005e-06
5.6,0.2,0.5468206835304987,0.3979753025694525,0.5296907346685488,1.887894075824726,0.8531111027479399,0.85311110274794,0.8531111027479399,-1.1102230246251565e-16,0.0448967669998699,57.971467023169026,57.971396100373646,7.0922795380568e-05
6.4,0.2,0.5249812193015628,0.3726558128157027,0.5038813280835923,1.9845942769963152,0.8425235836395761,0.8425235836395761,0.8425235836395761,0.0,0.0493701336927381,59.87793765426565,59.87715710517647,0.0007805490891783506
7.2,0.2,0.5085808844373885,0.3470601291174894,0.46568192614123555,2.1473884723984593,0.826080452602453,0.8260804526024531,0.826080452602453,-1.1102230246251565e-16,0.0543924299977552,3.5314919255891972,3.531394482587157,9.74430020401762e-05
8.0,0.2,0.5340456080149918,0.3605063302199267,0.4556895763481578,2.194476353867651,0.821612945758027,0.821612945758027,0.821612945758027,0.0,0.057994994496971,2.324652153604843,2.324543270099281,0.00010888350556204074
8.8,0.2,0.465913978595868,0.3128373899025909,0.4508435142848642,2.218064513107652,0.8194198053033038,0.8194198053033038,0.8194198053033038,0.0,0.0457081664589713,1.58370004028358,1.5836905358878322,9.504395747761407e-06
9.6,0.2,0.4654103917952466,0.311022914985717,0.44659373113842815,2.2391716011124116,0.81748191879802,0.8174819187980201,0.81748191879802,-1.1102230246251565e-16,0.0411393810783117,1.0000000014340196,1.0000000014340404,2.0872192862952943e-14
10.4,0.2,0.4844721631315347,0.3229405150921417,0.4443318149186641,2.2505703315056387,0.816444847598413,0.816444847598413,0.816444847598413,0.0,0.0443592616003478,0.4950631213671755,0.4950549751909506,8.146176224910207e-06
11.2,0.2,0.5036498025294905,0.3353439173657705,0.44332633503667435,2.2556747049941768,0.815982571217961,0.8159825712179611,0.815982571217961,-1.1102230246251565e-16,0.0459252714847219,0.1519945649010222,0.1519898999467061,4.66495431611369e-06
12.0,0.2,0.522145874622551,0.347502343175677,0.44292661006965045,2.2577103684123867,0.8157985764254758,0.8157985764254758,0.8157985764254758,0.0,0.0457444364275039,0.0381623276974709,0.0381608684312153,1.4592662556031644e-06
12.8,0.2,0.4340755361717523,0.2840881611451176,0.4283271964587575,2.3346637997017483,0.8089914145203915,0.8089914145203916,0.8089914145203915,-1.1102230246251565e-16,0.0392926289711688,0.0023614708275849,0.0023615110031041,4.017551920006482e-08
13.6,0.2,0.428708680224616,0.2798971695134157,0.42625791808345664,2.3459974761201057,0.808012565999803,0.808012565999803,0.808012565999803,0.0,0.0396211797225291,0.0001778882187932,0.0001778917797778,3.560984600020547e-09
14.4,0.2,0.4446044252009733,0.2908063368569028,0.42781909999115775,2.337436547411437,0.80875139435662,0.8087513943566201,0.80875139435662,-1.1102230246251565e-16,0.0396849667542082,4.3880494927676865e-05,4.388102718529249e-05,5.322576156267756e-10
15.2,0.2,0.4600093586360452,0.301311214387321,0.4290394795443954,2.3307878357999074,0.8093275313456637,0.8093275313456636,0.8093275313456637,1.1102230246251565e-16,0.0417258105506857,1.2073811470646549e-05,1.2073793845658816e-05,1.7624987732299535e-11
16.0,0.2,0.4760391641578648,0.3126968198380725,0.4314808850965218,2.3175997698630404,0.8104764316211523,0.8104764316211525,0.8104764316211523,-1.1102230246251565e-16,0.0435062525324147,1.7697615613545258e-06,1.7697402042259288e-06,2.1357128597040317e-11
16.8,0.2,0.4926256975220699,0.3260734472595267,0.4381236974443381,2.2824604234676125,0.813577980777496,0.813577980777496,0.813577980777496,0.0,0.0426372294501484,4.11216973700512e-07,4.112081813062357e-07,8.792394276284323e-12
17.6,0.2,0.4410367983505292,0.2876304861315658,0.4253242814964862,2.3511472152061024,0.807569752807658,0.8075697528076581,0.807569752807658,-1.1102230246251565e-16,0.0407600933091185,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
