alpha,taper,boost_peak,boost_center_D,boost_sigma_D,D4p814_max_abs_delta_mu,D5p627_max_abs_delta_mu,D6p712_max_abs_delta_mu,D5p898_guard_max_abs_delta_mu,D6p169_guard_max_abs_delta_mu,D6p441_guard_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
0.75,0.02,0.3,5.9,0.2,8.877420931843496,1.838469749649363,7.205730236261655,1.3721439395038004,3.572250279463816,17.324223694775135,8.877420931843496,17.324223694775135,17.324223694775135
0.75,0.02,0.5,5.9,0.2,8.877421017280316,7.647669065712982,7.205896805094611,1.3721439395038004,15.594793110404268,18.054692347495582,8.877421017280316,18.054692347495582,18.054692347495582
0.75,0.01,0.3,5.9,0.2,8.876764342368965,1.149428309190796,7.2247241683465795,1.3721439395038004,4.463395360756067,18.728457277969305,8.876764342368965,18.728457277969305,18.728457277969305
0.75,0.01,0.5,5.9,0.2,8.87676442780301,6.878745676880406,7.224890846287803,1.3721439395038004,16.620755556668485,19.474824554319234,8.87676442780301,19.474824554319234,19.474824554319234
0.75,0.0,0.3,5.9,0.2,8.876107774329558,0.4698618358971558,7.243730542104856,1.3721439395038004,5.364533488723751,20.163253953972323,8.876107774329558,20.163253953972323,20.163253953972323
0.75,0.0,0.5,5.9,0.2,8.876107859760793,6.120395707052495,7.243897329225817,1.3721439395038004,17.658222853072232,20.925865886916064,8.876107859760793,20.925865886916064,20.925865886916064
0.8,0.02,0.0,4.813559322033898,0.2,8.932114430652689,2.70187750457994,7.363562544368676,20.52461546567485,5.726962452592176,23.53114849522148,8.932114430652689,23.53114849522148,23.53114849522148
0.8,0.02,0.0,5.9,0.2,8.932114430652689,2.70187750457994,7.363562544368676,20.52461546567485,5.726962452592176,23.53114849522148,8.932114430652689,23.53114849522148,23.53114849522148
0.8,0.02,0.0,6.711864406779661,0.2,8.932114430652689,2.70187750457994,7.363562544368676,20.52461546567485,5.726962452592176,23.53114849522148,8.932114430652689,23.53114849522148,23.53114849522148
0.8,0.02,0.3,4.813559322033898,0.2,9.151049222305947,2.697029025090039,7.363562544368676,20.524604892820285,5.726962448752971,23.531148495221665,9.151049222305947,23.531148495221665,23.531148495221665
0.8,0.02,0.5,4.813559322033898,0.2,9.151049222305947,2.693796418542071,7.363562544368676,20.524597844249506,5.726962446193539,23.531148495221807,9.151049222305947,23.531148495221807,23.531148495221807
0.75,0.02,0.5,4.813559322033898,0.2,9.151049222305947,5.756064378539527,7.205480384806261,24.669929246924944,11.590864375985788,16.243825294311648,9.151049222305947,24.669929246924944,24.669929246924944
0.75,0.02,0.3,4.813559322033898,0.2,9.151049222305947,5.759082930422693,7.205480384806261,24.669935783690995,11.590864378331304,16.243825294311513,9.151049222305947,24.669935783690995,24.669935783690995
0.75,0.02,0.0,4.813559322033898,0.2,8.877420803688267,5.763610356401166,7.205480384806261,24.669945588838566,11.590864381849642,16.243825294311364,8.877420803688267,24.669945588838566,24.669945588838566
0.75,0.02,0.0,5.9,0.2,8.877420803688267,5.763610356401166,7.205480384806261,24.669945588838566,11.590864381849642,16.243825294311364,8.877420803688267,24.669945588838566,24.669945588838566
0.75,0.02,0.0,6.711864406779661,0.2,8.877420803688267,5.763610356401166,7.205480384806261,24.669945588838566,11.590864381849642,16.243825294311364,8.877420803688267,24.669945588838566,24.669945588838566
0.8,0.02,0.3,5.9,0.2,8.932114559156428,5.448029630222507,7.363813757950805,1.3721439395038004,10.822346499508257,24.735656298503862,8.932114559156428,24.735656298503862,24.735656298503862
0.75,0.01,0.5,4.813559322033898,0.2,9.151049222305947,6.340673839624465,7.22447415322997,24.99288293057692,10.870094663739508,17.624544045658006,9.151049222305947,24.99288293057692,24.99288293057692
0.75,0.01,0.3,4.813559322033898,0.2,9.151049222305947,6.34365088358328,7.22447415322997,24.992889427469386,10.870094666111342,17.624544045657906,9.151049222305947,24.992889427469386,24.992889427469386
0.75,0.01,0.0,4.813559322033898,0.2,8.876764214217935,6.348116053201011,7.22447415322997,24.992899172806595,10.870094669669086,17.62454404565772,8.876764214217935,24.992899172806595,24.992899172806595
0.75,0.01,0.0,5.9,0.2,8.876764214217935,6.348116053201011,7.22447415322997,24.992899172806595,10.870094669669086,17.62454404565772,8.876764214217935,24.992899172806595,24.992899172806595
0.75,0.01,0.0,6.711864406779661,0.2,8.876764214217935,6.348116053201011,7.22447415322997,24.992899172806595,10.870094669669086,17.62454404565772,8.876764214217935,24.992899172806595,24.992899172806595
0.8,0.01,0.0,4.813559322033898,0.2,8.931456055646894,3.328273784691099,7.382659861998633,20.87285512646003,4.9404570202668765,25.070475570697646,8.931456055646894,25.070475570697646,25.070475570697646
0.8,0.01,0.0,5.9,0.2,8.931456055646894,3.328273784691099,7.382659861998633,20.87285512646003,4.9404570202668765,25.070475570697646,8.931456055646894,25.070475570697646,25.070475570697646
0.8,0.01,0.0,6.711864406779661,0.2,8.931456055646894,3.328273784691099,7.382659861998633,20.87285512646003,4.9404570202668765,25.070475570697646,8.931456055646894,25.070475570697646,25.070475570697646
0.8,0.01,0.3,4.813559322033898,0.2,9.151049222305947,3.323486968268732,7.382659861998633,20.872844618098775,4.940457016384656,25.070475570697816,9.151049222305947,25.070475570697816,25.070475570697816
0.8,0.01,0.5,4.813559322033898,0.2,9.151049222305947,3.3202954740742783,7.382659861998633,20.87283761252354,4.94045701379649,25.070475570697987,9.151049222305947,25.070475570697987,25.070475570697987
0.75,0.0,0.5,4.813559322033898,0.2,9.151049222305947,6.91724437137529,7.243480363219813,25.313866630799176,10.141244953453594,19.03531409035424,9.151049222305947,25.313866630799176,25.313866630799176
0.75,0.0,0.3,4.813559322033898,0.2,9.151049222305947,6.9201804781827505,7.243480363219813,25.313873088061314,10.141244955852002,19.0353140903541,9.151049222305947,25.313873088061314,25.313873088061314
0.75,0.0,0.0,4.813559322033898,0.2,8.876107646182714,6.924584247523164,7.243480363219813,25.313882773952983,10.14124495944965,19.03531409035393,8.876107646182714,25.313882773952983,25.313882773952983
0.75,0.0,0.0,5.9,0.2,8.876107646182714,6.924584247523164,7.243480363219813,25.313882773952983,10.14124495944965,19.03531409035393,8.876107646182714,25.313882773952983,25.313882773952983
0.75,0.0,0.0,6.711864406779661,0.2,8.876107646182714,6.924584247523164,7.243480363219813,25.313882773952983,10.14124495944965,19.03531409035393,8.876107646182714,25.313882773952983,25.313882773952983
0.8,0.02,0.5,5.9,0.2,8.932114644825567,10.272608773798765,7.363981234874778,1.3721439395038004,23.94172405321075,25.55003661587319,10.272608773798765,25.55003661587319,25.55003661587319
0.8,0.01,0.3,5.9,0.2,8.931456184146416,4.709353350202555,7.382911240134227,1.3721439395038004,11.794792091177058,26.30119944246126,8.931456184146416,26.30119944246126,26.30119944246126
0.8,0.0,0.0,4.813559322033898,0.2,8.930797702134477,3.946267647365481,7.4017696890229985,21.218970562020267,4.14513467701515,26.643306043923253,8.930797702134477,26.643306043923253,26.643306043923253
0.8,0.0,0.0,5.9,0.2,8.930797702134477,3.946267647365481,7.4017696890229985,21.218970562020267,4.14513467701515,26.643306043923253,8.930797702134477,26.643306043923253,26.643306043923253
0.8,0.0,0.0,6.711864406779661,0.2,8.930797702134477,3.946267647365481,7.4017696890229985,21.218970562020267,4.14513467701515,26.643306043923253,8.930797702134477,26.643306043923253,26.643306043923253
0.8,0.0,0.3,4.813559322033898,0.2,9.151049222305947,3.94154665416616,7.4017696890229985,21.218960117758904,4.145134673089387,26.643306043923452,9.151049222305947,26.643306043923452,26.643306043923452
0.8,0.0,0.5,4.813559322033898,0.2,9.151049222305947,3.9383990460153058,7.4017696890229985,21.21895315491693,4.145134670472217,26.64330604392358,9.151049222305947,26.64330604392358,26.64330604392358
0.8,0.01,0.5,5.9,0.2,8.931456269812774,10.272608773798765,7.383078826761292,1.3721439395038004,25.061286601478074,27.13330471778577,10.272608773798765,27.13330471778577,27.13330471778577
0.825,0.02,0.0,4.813559322033898,0.2,8.959516994264074,1.0908467962665611,7.442926515030006,18.33178224446435,2.59741008590224,27.482965621259602,8.959516994264074,27.482965621259602,27.482965621259602
0.825,0.02,0.0,5.9,0.2,8.959516994264074,1.0908467962665611,7.442926515030006,18.33178224446435,2.59741008590224,27.482965621259602,8.959516994264074,27.482965621259602,27.482965621259602
0.825,0.02,0.0,6.711864406779661,0.2,8.959516994264074,1.0908467962665611,7.442926515030006,18.33178224446435,2.59741008590224,27.482965621259602,8.959516994264074,27.482965621259602,27.482965621259602
0.825,0.02,0.3,4.813559322033898,0.2,9.151049222305947,1.0858267282183576,7.442926515030006,18.331771265501402,2.597410081891809,27.4829656212598,9.151049222305947,27.4829656212598,27.4829656212598
0.825,0.02,0.5,4.813559322033898,0.2,9.151049222305947,1.0824797191451836,7.442926515030006,18.331763946191657,2.5974100792181787,27.482965621259943,9.151049222305947,27.482965621259943,27.482965621259943
0.8,0.0,0.3,5.9,0.2,8.930797830629825,3.9808345630237767,7.402021231819845,1.3721439395038004,12.778142410247625,27.900816575944027,8.930797830629825,27.900816575944027,27.900816575944027
0.8,0.0,0.5,5.9,0.2,8.930797916293383,10.038402504501796,7.402188928221872,1.3721439395038004,25.89060277919198,28.75103259228829,10.038402504501796,28.75103259228829,28.75103259228829
0.825,0.02,0.3,5.9,0.2,8.959517122942422,7.34917445723277,7.443178412457712,1.3721439395038004,14.69178551122539,28.754776280479497,8.959517122942422,28.754776280479497,28.754776280479497
0.825,0.01,0.0,4.813559322033898,0.2,8.958857724670516,1.738954325585226,7.462075818767627,18.693397956765665,1.7758216353005878,29.108303852594737,8.958857724670516,29.108303852594737,29.108303852594737
0.825,0.01,0.0,5.9,0.2,8.958857724670516,1.738954325585226,7.462075818767627,18.693397956765665,1.7758216353005878,29.108303852594737,8.958857724670516,29.108303852594737,29.108303852594737
0.825,0.01,0.0,6.711864406779661,0.2,8.958857724670516,1.738954325585226,7.462075818767627,18.693397956765665,1.7758216353005878,29.108303852594737,8.958857724670516,29.108303852594737,29.108303852594737
0.825,0.01,0.3,4.813559322033898,0.2,9.151049222305947,1.734003286535696,7.462075818767627,18.69338704477326,1.7758216312451651,29.10830385259495,9.151049222305947,29.10830385259495,29.10830385259495
0.825,0.01,0.5,4.813559322033898,0.2,9.151049222305947,1.730702300879429,7.462075818767627,18.693379770110504,1.7758216285415926,29.108303852595107,9.151049222305947,29.108303852595107,29.108303852595107
0.825,0.02,0.5,5.9,0.2,8.95951720872798,10.272608773798765,7.443346345282016,1.3721439395038004,25.89060277919198,29.61466076231242,10.272608773798765,29.61466076231242,29.61466076231242
0.825,0.01,0.3,5.9,0.2,8.958857853344664,6.5843556497043,7.462327881196742,1.3721439395038004,15.70762188792321,30.40779542450479,8.958857853344664,30.40779542450479,30.40779542450479
0.825,0.0,0.0,4.813559322033898,0.2,8.958198476599563,2.378149980935106,7.4812376659523245,19.052807851337654,0.9450229848840905,30.769017511354853,8.958198476599563,30.769017511354853,30.769017511354853
0.825,0.0,0.0,5.9,0.2,8.958198476599563,2.378149980935106,7.4812376659523245,19.052807851337654,0.9450229848840905,30.769017511354853,8.958198476599563,30.769017511354853,30.769017511354853
0.825,0.0,0.0,6.711864406779661,0.2,8.958198476599563,2.378149980935106,7.4812376659523245,19.052807851337654,0.9450229848840905,30.769017511354853,8.958198476599563,30.769017511354853,30.769017511354853
0.825,0.0,0.3,4.813559322033898,0.2,9.151049222305947,2.3732670216933585,7.4812376659523245,19.05279700590723,0.94502298078325,30.769017511355067,9.151049222305947,30.769017511355067,30.769017511355067
0.825,0.0,0.5,4.813559322033898,0.2,9.151049222305947,2.370011426603959,7.4812376659523245,19.052789775619182,0.9450229780493373,30.769017511355223,9.151049222305947,30.769017511355223,30.769017511355223
0.825,0.01,0.5,5.9,0.2,8.95885793912742,10.272608773798765,7.462495924022775,1.3721439395038004,25.89060277919198,31.28639526077564,10.272608773798765,31.28639526077564,31.28639526077564
0.85,0.02,0.0,4.813559322033898,0.2,8.986956791971206,0.5808496622122377,7.522506527755638,16.054721253025015,0.708216354995443,31.655593752423933,8.986956791971206,31.655593752423933,31.655593752423933
0.85,0.02,0.0,5.9,0.2,8.986956791971206,0.5808496622122377,7.522506527755638,16.054721253025015,0.708216354995443,31.655593752423933,8.986956791971206,31.655593752423933,31.655593752423933
0.85,0.02,0.0,6.711864406779661,0.2,8.986956791971206,0.5808496622122377,7.522506527755638,16.054721253025015,0.708216354995443,31.655593752423933,8.986956791971206,31.655593752423933,31.655593752423933
0.85,0.02,0.3,4.813559322033898,0.2,9.151049222305947,0.586052843780152,7.522506527755638,16.05470985235489,0.7082163591886541,31.655593752424146,9.151049222305947,31.655593752424146,31.655593752424146
0.85,0.02,0.5,4.813559322033898,0.2,9.151049222305947,0.5895219393755227,7.522506527755638,16.054702251906967,0.7082163619840998,31.655593752424316,9.151049222305947,31.655593752424316,31.655593752424316
0.825,0.0,0.3,5.9,0.2,8.958198605269505,5.8300538193313045,7.481489893490938,1.3721439395038004,16.734849563905684,32.09679247001187,8.958198605269505,32.09679247001187,32.09679247001187
0.825,0.0,0.5,5.9,0.2,8.958198691049446,10.272608773798765,7.481658046390752,1.3721439395038004,25.89060277919198,32.994514999728516,10.272608773798765,32.994514999728516,32.994514999728516
0.85,0.02,0.3,5.9,0.2,8.986956920824383,9.317602791622605,7.522759110890483,1.3721439395038004,18.733879937064174,32.998467869550915,9.317602791622605,32.998467869550915,32.998467869550915
0.85,0.01,0.0,4.813559322033898,0.2,8.986296626574322,0.09384559335234144,7.541707959115854,16.430226797362934,1.5672449770396781,33.371749083104724,8.986296626574322,33.371749083104724,33.371749083104724
0.85,0.01,0.0,5.9,0.2,8.986296626574322,0.09384559335234144,7.541707959115854,16.430226797362934,1.5672449770396781,33.371749083104724,8.986296626574322,33.371749083104724,33.371749083104724
0.85,0.01,0.0,6.711864406779661,0.2,8.986296626574322,0.09384559335234144,7.541707959115854,16.430226797362934,1.5672449770396781,33.371749083104724,8.986296626574322,33.371749083104724,33.371749083104724
0.85,0.01,0.3,4.813559322033898,0.2,9.151049222305947,0.0887193361433063,7.541707959115854,16.430215466235673,1.5672449812798703,33.37174908310491,9.151049222305947,33.37174908310491,33.37174908310491
0.85,0.01,0.5,4.813559322033898,0.2,9.151049222305947,0.08530152801293411,7.541707959115854,16.430207912149676,1.5672449841066651,33.371749083105094,9.151049222305947,33.371749083105094,33.371749083105094
0.85,0.02,0.5,5.9,0.2,8.986957006726506,10.272608773798765,7.522927500856152,1.3721439395038004,25.89060277919198,33.90639909815125,10.272608773798765,33.90639909815125,33.90639909815125
0.85,0.01,0.3,5.9,0.2,8.986296755423307,8.525716245145894,7.541960707701261,1.3721439395038004,19.795043207342104,34.743850806495665,8.986296755423307,34.743850806495665,34.743850806495665
0.75,0.02,0.3,6.711864406779661,0.2,8.877420803688267,5.763603092455341,8.043603699061563,24.66383427156761,10.733468979393905,35.09690560471143,8.877420803688267,35.09690560471143,35.09690560471143
0.85,0.0,0.0,4.813559322033898,0.2,8.985636482729305,0.7556624975281068,7.560921968068506,16.803441797460103,2.4359065009490166,35.125256472070994,8.985636482729305,35.125256472070994,35.125256472070994
0.85,0.0,0.0,5.9,0.2,8.985636482729305,0.7556624975281068,7.560921968068506,16.803441797460103,2.4359065009490166,35.125256472070994,8.985636482729305,35.125256472070994,35.125256472070994
0.85,0.0,0.0,6.711864406779661,0.2,8.985636482729305,0.7556624975281068,7.560921968068506,16.803441797460103,2.4359065009490166,35.125256472070994,8.985636482729305,35.125256472070994,35.125256472070994
0.85,0.0,0.3,4.813559322033898,0.2,9.151049222305947,0.7506067294834651,7.560921968068506,16.80343053545154,2.4359065052367725,35.12525647207122,9.151049222305947,35.12525647207122,35.12525647207122
0.85,0.0,0.5,4.813559322033898,0.2,9.151049222305947,0.7472359183002553,7.560921968068506,16.80342302744468,2.4359065080952575,35.12525647207138,9.151049222305947,35.12525647207138,35.12525647207138
0.85,0.01,0.5,5.9,0.2,8.986296841322627,10.272608773798765,7.542129207968102,1.3721439395038004,25.89060277919198,35.67154312522792,10.272608773798765,35.67154312522792,35.67154312522792
0.85,0.0,0.3,5.9,0.2,8.98563661157408,7.744718882665445,7.561174882212857,1.3721439395038004,20.868106059756272,36.52722193951211,8.98563661157408,36.52722193951211,36.52722193951211
0.75,0.01,0.3,6.711864406779661,0.2,8.876764214217935,6.348108889141265,8.043603699061563,24.98682513392683,10.003087663044454,36.88796096255596,8.876764214217935,36.88796096255596,36.88796096255596
0.85,0.0,0.5,5.9,0.2,8.985636697470596,10.272608773798765,7.561343492853119,1.3721439395038004,25.89060277919198,37.47510544778343,10.272608773798765,37.47510544778343,37.47510544778343
0.75,0.0,0.3,6.711864406779661,0.2,8.876107646182714,6.92457718197597,8.043603699061563,25.307845786070168,9.264518600312215,38.71799857505007,8.876107646182714,38.71799857505007,38.71799857505007
0.8,0.02,0.3,6.711864406779661,0.2,8.932114430652689,2.701869725525661,8.043603699061563,20.518025654757622,4.791370778460831,44.549952614182125,8.932114430652689,44.549952614182125,44.549952614182125
