term,coef
const,117.88949809805533
g_beta,0.539514364271662
g_center,-4531.615589123882
g_half_width,-140.3251054596774
g_beta2,-9.9159986377264
g_center2,46028.90192645995
g_half_width2,-180.6305248155217
g_beta:g_center,-61.573639195425386
g_beta:g_half_width,184.16636715947877
g_center:g_half_width,2081.2442334204347
