proxy_label,worst_eta_by_quartic_p95,worst_eta_quartic_p95,mean_eta_quartic_p95
action_abs_offdiag:raw,0.2,0.0015680166598904775,0.0015680146453721088
action_abs_offdiag:over_diag,0.2,0.001502163372418089,0.0014850678387633058
action_abs_offdiag:over_sqrt_diag,0.2,0.0015084159204557363,0.001491370137301532
action_abs_offdiag:over_part,0.2,0.0015229527869491846,0.0015223373567141846
action_abs_offdiag:over_tree,0.2,0.0014929052070453569,0.0014751631295403423
action_norm_offdiag:raw,0.2,0.002489305692307128,0.0021071491097743567
action_norm_offdiag:over_diag,0.2,0.0013448264425122683,0.0012858396799601862
action_norm_offdiag:over_sqrt_diag,0.2,0.0018736942326317988,0.001643852838602098
action_norm_offdiag:over_part,0.2,0.0019047080496623285,0.0016921871715914144
action_norm_offdiag:over_tree,0.2,0.001833414143165634,0.0015966875561527932
hk_mass_access_offdiag:raw,0.5800000000000001,0.001962704976170615,0.0019627049747729807
hk_mass_access_offdiag:over_diag,0.5800000000000001,0.001959887043977724,0.001959887042577707
hk_mass_access_offdiag:over_sqrt_diag,0.5800000000000001,0.0019612798959499724,0.0019612798945511777
hk_mass_access_offdiag:over_part,0.5800000000000001,0.0019578394529053025,0.0019578394515373967
hk_mass_access_offdiag:over_tree,0.5800000000000001,0.0019646075456487087,0.0019646075442225387
hk_loop_prefactor_offdiag:raw,0.5800000000000001,0.0020143385960464727,0.002014338594646583
hk_loop_prefactor_offdiag:over_diag,0.5800000000000001,0.002014102091108935,0.002014102089708918
hk_loop_prefactor_offdiag:over_sqrt_diag,0.5800000000000001,0.0020142221193282,0.002014222117928249
hk_loop_prefactor_offdiag:over_part,0.5800000000000001,0.0020140938998722455,0.002014093898473931
hk_loop_prefactor_offdiag:over_tree,0.5800000000000001,0.002014345706455721,0.002014345705054265
hk_curv_screen_offdiag:raw,0.2,0.002357104584798584,0.0020459013678793578
hk_curv_screen_offdiag:over_diag,0.2,0.0012069323855451717,0.0011938054808359052
hk_curv_screen_offdiag:over_sqrt_diag,0.2,0.0017175330092617186,0.0016173757338302905
hk_curv_screen_offdiag:over_part,0.2,0.0017719701589463698,0.0016587320524517179
hk_curv_screen_offdiag:over_tree,0.2,0.001654394761890464,0.0015700197007634318
hk_abs_offdiag:raw,0.2,0.0026108249865205483,0.0020898339515201037
hk_abs_offdiag:over_diag,0.2,0.00135792925658641,0.0011250551163657935
hk_abs_offdiag:over_sqrt_diag,0.2,0.0019271354137263808,0.0015657425395542478
hk_abs_offdiag:over_part,0.2,0.001984704069133941,0.0016279809255931182
hk_abs_offdiag:over_tree,0.2,0.0018603846426587076,0.0014982513951147542
hk_abs_offdiag_geom:raw,0.2,0.0019807413722681176,0.00198074134925536
hk_abs_offdiag_geom:over_diag,0.2,0.0019807369999117444,0.001980736976899137
hk_abs_offdiag_geom:over_sqrt_diag,0.2,0.001980739212900358,0.0019807391898876746
hk_abs_offdiag_geom:over_part,0.2,0.001980730970256097,0.001980730947244325
hk_abs_offdiag_geom:over_tree,0.2,0.0019807469253974195,0.0019807469023839274
hk_loop_local_prefactor_offdiag:over_diag,0.2,0.001980862828186575,0.0019808628051739678
hk_loop_local_prefactor_offdiag:over_sqrt_diag,0.2,0.001980863254389771,0.0019808632313771577
hk_loop_local_prefactor_offdiag:over_part,0.2,0.0019808628454022863,0.001980862822389741
hk_loop_local_prefactor_offdiag:over_tree,0.2,0.0019808636465371266,0.001980863623524451
