D,risk_norm,max_risk_score,supporting_surfaces,alpha
4.0,0.4366345645846587,0.388124029162458,"D21E41,D60E21",0.9730990369375397
4.271186440677966,0.17144568878563834,0.2916986141463508,D60E21,0.9651433706635691
4.5423728813559325,0.18711939530299976,0.3183659424532609,D60E21,0.96561358185909
4.8,0.5366466630033125,0.4770246837411085,D21E41,0.9760993998900993
4.813559322033898,0.15177879908062414,0.2582372625535755,D60E21,0.9645533639724186
5.084745762711864,0.2997193135801752,0.5099440471410458,D60E21,0.9689915794074052
5.3559322033898304,0.4846192695001638,0.8245338235280043,D60E21,0.9745385780850049
5.6,1.0,0.8888990030637048,D21E41,0.99
5.627118644067797,1.0,1.701405361735674,D60E21,0.99
5.898305084745763,0.15713476221467246,0.2673499269471039,D60E21,0.9647140428664401
6.169491525423728,0.2032546718607097,0.3458185885016365,D60E21,0.9660976401558212
6.4,0.9855632402821827,0.8760661817430667,D21E41,0.9895668972084655
6.4406779661016955,0.8336617057290927,1.418396496001186,D60E21,0.9850098511718728
6.711864406779661,0.615923340690344,1.0479352742686996,D60E21,0.9784777002207103
6.983050847457627,0.3507919715446845,0.5968393412399542,D60E21,0.9705237591463405
7.2,0.8341955528766627,0.7415155953122415,D21E41,0.9850258665862999
7.254237288135593,0.1349605735646706,0.2296226434858524,D60E21,0.9640488172069401
7.525423728813559,0.036905000413479216,0.0627903655783508,D60E21,0.9611071500124043
7.796610169491526,0.03815418316997942,0.064915731818048,D60E21,0.9611446254950994
8.0,0.2127597831332776,0.1891219591192205,D21E41,0.9663827934939982
8.067796610169491,0.06343010473124595,0.1079203202851972,D60E21,0.9619029031419374
8.338983050847457,0.08112256707019007,0.1380223705709832,D60E21,0.9624336770121057
8.610169491525424,0.058645912845465185,0.0997804705591575,D60E21,0.9617593773853639
8.8,0.0777695083540321,0.0691292384446536,D21E41,0.9623330852506209
8.881355932203391,0.040166131076322394,0.0683388707734328,D60E21,0.9612049839322896
9.152542372881356,0.03115335916993251,0.0530044923278004,D60E21,0.960934600775098
9.423728813559322,0.035516234351565285,0.0604275115544139,D60E21,0.961065487030547
9.6,0.08015603344376535,0.071250618217704,D21E41,0.9624046810033129
9.694915254237287,0.03919383881362939,0.0666846075045128,D60E21,0.9611758151644089
9.966101694915254,0.04613434215865861,0.0784932171088899,D60E21,0.9613840302647597
10.23728813559322,0.0636448843421113,0.108285747466715,D60E21,0.9619093465302633
10.4,0.13456923042655464,0.1196184547692144,D21E41,0.9640370769127966
10.508474576271189,0.08363169903458517,0.1422914211485074,D60E21,0.9625089509710375
10.779661016949152,0.05329072434704254,0.090669124134836,D60E21,0.9615987217304113
