case,case_label,target_D,eval_D,eta,abs_delta_mu_mumu,acceptance_mismatch
D21E21_holdout,D21 x E21 holdout,4.0,4.0,0.2,0.6481461995015398,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,0.39,0.6524398513791294,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,0.5800000000000001,0.6566319600719748,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,0.77,0.6607202438665065,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,0.96,0.6647024749886414,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,1.15,0.6685764816322375,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,1.34,0.6723401499171464,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,1.53,0.6759914257737754,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,1.72,0.679528316751211,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,1.91,0.6829488937462864,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,2.1,0.686251292650919,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,2.29,0.6894337159154058,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,2.4800000000000004,0.6924944340255101,1.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,2.6700000000000004,0.6954317868912696,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,2.8600000000000003,0.6982441851457843,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,3.0500000000000003,0.7009301113522852,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,3.24,0.7034881211182094,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,3.43,0.7059168441149168,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,3.62,0.708214985002122,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,3.81,0.7103813242562196,0.0
D21E21_holdout,D21 x E21 holdout,4.0,4.0,4.0,0.712414718901917,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,0.2,1.6163875063456228,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,0.39,1.6218940588491044,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,0.5800000000000001,1.62740757705798,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,0.77,1.6329280568747393,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,0.96,1.638455494176302,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,1.15,1.6439898848142231,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,1.34,1.6495312246147762,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,1.53,1.6550795093793464,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,1.72,1.6606347348835762,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,1.91,1.6661968968783043,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,2.1,1.6717659910886535,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,2.29,1.6773420132148988,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,2.4800000000000004,1.6829249589319009,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,2.6700000000000004,1.688514823889527,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,2.8600000000000003,1.6941116037123791,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,3.0500000000000003,1.6997152939998443,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,3.24,1.705325890326339,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,3.43,1.7109433882410148,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,3.62,1.7165677832681432,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,3.81,1.7221990709067132,0.0
D21E21_holdout,D21 x E21 holdout,4.8,4.8,4.0,1.7278372466307577,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,0.2,0.5802156978481392,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,0.39,0.5804414115675343,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,0.5800000000000001,0.5806671241733881,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,0.77,0.5808928349364066,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,0.96,0.5811185438542665,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,1.15,0.5813442512502647,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,1.34,0.581569957180001,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,1.53,0.5817956613250601,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,1.72,0.5820213638950449,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,1.91,0.5822470647280724,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,2.1,0.5824727640462442,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,2.29,0.5826984616517237,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,2.4800000000000004,0.5829241577069055,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,2.6700000000000004,0.583149852066505,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,2.8600000000000003,0.5833755447752367,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,3.0500000000000003,0.5836012358861851,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,3.24,0.5838269253923443,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,3.43,0.5840526131761905,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,3.62,0.5842782994278366,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,3.81,0.584503983963188,0.0
D21E21_holdout,D21 x E21 holdout,6.4,6.4,4.0,0.5847296668955835,0.0
D21E21_holdout,D21 x E21 holdout,7.2,7.2,0.2,0.0013240551344191331,0.0
