mode,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
full_direct,5.627118644067797,0.2,57.5547616979981,57.5547616979981,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,0.2,58.29525916150112,57.5547616979981,0.7404974635030186,0.012783900129200774,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,0.2,58.29525916150112,57.5547616979981,0.7404974635030186,0.012783900129200774,0.0
full_direct,5.627118644067797,0.39,57.55746140292994,57.55746140292994,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,0.39,58.29825936823605,57.55746140292994,0.7407979653061147,0.012788458894876372,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,0.39,58.29825936823605,57.55746140292994,0.7407979653061147,0.012788458894876372,0.0
full_direct,5.627118644067797,0.5800000000000001,57.56016105602808,57.56016105602808,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,0.5800000000000001,58.301259846275244,57.56016105602808,0.7410987902471646,0.012793022766141627,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,0.5800000000000001,58.301259846275244,57.56016105602808,0.7410987902471646,0.012793022766141627,0.0
full_direct,5.627118644067797,0.77,57.562860657245224,57.562860657245224,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,0.77,58.304259997515594,57.562860657245224,0.7413993402703696,0.012797581484730165,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,0.77,58.304259997515594,57.562860657245224,0.7413993402703696,0.012797581484730165,0.0
full_direct,5.627118644067797,0.96,57.56556020661473,57.56556020661473,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,0.96,58.30726034970606,57.56556020661473,0.7417001430913359,0.012802144102038622,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,0.96,58.30726034970606,57.56556020661473,0.7417001430913359,0.012802144102038622,0.0
full_direct,5.627118644067797,1.15,57.56825970407602,57.56825970407602,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,1.15,58.31026004958234,57.56825970407602,0.7420003455063195,0.012806695985349724,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,1.15,58.31026004958234,57.56825970407602,0.7420003455063195,0.012806695985349724,0.0
full_direct,5.627118644067797,1.34,57.57095914964238,57.57095914964238,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,1.34,58.313259774335215,57.57095914964238,0.7423006246928381,0.012811248749080602,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,1.34,58.313259774335215,57.57095914964238,0.7423006246928381,0.012811248749080602,0.0
full_direct,5.627118644067797,1.53,57.573658543291614,57.573658543291614,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,1.53,58.31625977029414,57.573658543291614,0.742601227002524,0.012815806617516304,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,1.53,58.31625977029414,57.573658543291614,0.742601227002524,0.012815806617516304,0.0
full_direct,5.627118644067797,1.72,57.57635788499197,57.57635788499197,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,1.72,58.31926003752456,57.57635788499197,0.7429021525325865,0.012820369591552803,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,1.72,58.31926003752456,57.57635788499197,0.7429021525325865,0.012820369591552803,0.0
full_direct,5.627118644067797,1.91,57.579057174740214,57.579057174740214,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,1.91,58.322260576081106,57.579057174740214,0.7432034013408924,0.012824937671404217,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,1.91,58.322260576081106,57.579057174740214,0.7432034013408924,0.012824937671404217,0.0
full_direct,5.627118644067797,2.1,57.58175641250567,57.58175641250567,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,2.1,58.3252600663488,57.58175641250567,0.7435036538431277,0.012829488231722183,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,2.1,58.3252600663488,57.58175641250567,0.7435036538431277,0.012829488231722183,0.0
full_direct,5.627118644067797,2.29,57.584455598278616,57.584455598278616,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,2.29,58.32825863993406,57.584455598278616,0.7438030416554469,0.012834023531694346,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,2.29,58.32825863993406,57.584455598278616,0.7438030416554469,0.012834023531694346,0.0
full_direct,5.627118644067797,2.4800000000000004,57.58715473203782,57.58715473203782,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,2.4800000000000004,58.33125748446414,57.58715473203782,0.744102752426322,0.012838563934100716,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,2.4800000000000004,58.33125748446414,57.58715473203782,0.744102752426322,0.012838563934100716,0.0
full_direct,5.627118644067797,2.6700000000000004,57.589853813768215,57.589853813768215,0.0,0.0,0.0
fullwidthrefamp_pointamp_widthboost,5.627118644067797,2.6700000000000004,58.33425660000641,57.589853813768215,0.7444027862381972,0.012843109439580627,0.0
fullwidthrefamp_pointamp2_widthboost,5.627118644067797,2.6700000000000004,58.33425660000641,57.589853813768215,0.7444027862381972,0.012843109439580627,0.0
full_direct,5.627118644067797,2.8600000000000003,57.59255284344607,57.59255284344607,0.0,0.0,0.0
