D,eta,loop_trace_p1,loop_trace_p2,h_part_trace,h_part_fro2,h_part_det,h_part_neff,h_part_susceptibility,coeff_participation_access_parented,coeff_participation_parented_recon,coeff_participation_parented_residual,gap_cv,c_tree_diag_cv,h_tree_base,h_tree_load,h_tree_schur_ratio,h_tree_pressure_fraction,tree_diag_compressibility_parented,tree_diag_compressibility_parented_recon,tree_diag_compressibility_parented_residual,eymh_parented_prefactor_diag,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
4.0,0.2,0.5833948767255386,0.4166051232744614,1.0,0.5139094109281356,0.2430452945359322,1.945868238127748,0.9458682381277479,0.8450472597147287,0.846684564999826,0.0016373052850973124,0.0529284688818641,0.8794894425499511,1.052928468881864,0.8794894425499511,0.5448761692038459,0.45512383079615415,0.738157279449201,0.7381572794492011,1.1102230246251565e-16,0.0433261161132477,2.4082829678814335,2.408283091800887,1.2391945336531762e-07
4.8,0.2,0.5809670067465968,0.4190329932534031,1.0,0.5131113123630069,0.2434443438184965,1.9488948614185644,0.9488948614185644,0.8492750682447441,0.8463556492364833,-0.0029194190082607596,0.3330127461264275,1.0296902220130235,1.3330127461264274,1.0296902220130235,0.5641897285024068,0.43581027149759327,0.7511256409565624,0.7511256409565624,0.0,0.0392190539319979,13.739244327095353,13.739247292265354,2.9651700010902005e-06
5.6,0.2,0.5787711755505381,0.4212288244494618,1.0,0.5124097961952274,0.24379510190238626,1.9515630017717331,0.9515630017717331,0.85311110274794,0.8460662204114775,-0.007044882336462499,0.0489632309804584,1.1143805860015703,1.0489632309804584,1.1143805860015703,0.4848804996904347,0.5151195003095652,0.696333612351461,0.696333612351461,0.0,0.0448967669998699,57.971467023169026,57.971396100373646,7.0922795380568e-05
6.4,0.2,0.5848479959246827,0.4151520040753172,1.0,0.5143983648248699,0.242800817587565,1.94401862132757,0.9440186213275701,0.8425235836395761,0.8468858855453916,0.0043623019058154355,0.2368422574530327,1.0740913062068649,1.2368422574530327,1.0740913062068649,0.5352132475388894,0.4647867524611105,0.7315827004097961,0.7315827004097961,0.0,0.0493701336927381,59.87793765426565,59.87715710517647,0.0007805490891783506
7.2,0.2,0.5943858187961554,0.4056141812038445,0.9999999999999999,0.5178173655796412,0.24109131721017926,1.9311828194108682,0.9311828194108682,0.8260804526024531,0.8482896197727998,0.02220916717034671,0.5397550802947837,0.5919366112864753,1.5397550802947837,0.5919366112864753,0.7223160302100793,0.2776839697899207,0.8498917755867975,0.8498917755867974,-1.1102230246251565e-16,0.0543924299977552,3.5314919255891972,3.531394482587157,9.74430020401762e-05
8.0,0.2,0.5969978770251638,0.4030021229748362,1.0,0.5188171762947776,0.2405914118526112,1.9274612439427554,0.9274612439427554,0.821612945758027,0.8486987966878341,0.027085850929807087,0.5891268740470006,0.5580450552791809,1.5891268740470006,0.5580450552791809,0.7401022956488144,0.2598977043511857,0.8602919827877128,0.8602919827877128,0.0,0.057994994496971,2.324652153604843,2.324543270099281,0.00010888350556204074
8.8,0.2,0.5982833513271573,0.4017166486728427,1.0,0.5193192342961948,0.24034038285190254,1.9255978480274196,0.9255978480274196,0.8194198053033038,0.8489040431136768,0.029484237810373015,0.1526414316992487,0.7386124276866068,1.1526414316992488,0.7386124276866068,0.609458865598056,0.39054113440194405,0.7806784649252572,0.7806784649252572,0.0,0.0457081664589713,1.58370004028358,1.5836905358878322,9.504395747761407e-06
9.6,0.2,0.5994209518455673,0.4005790481544327,1.0,0.5197690513317572,0.2401154743341214,1.9239314026831542,0.9239314026831542,0.8174819187980201,0.8490878065425198,0.03160588774449968,0.1066533286499557,0.8851615251699383,1.1066533286499558,0.8851615251699383,0.555600499980016,0.4443995000199839,0.7453861415266694,0.7453861415266694,0.0,0.0411393810783117,1.0000000014340196,1.0000000014340404,2.0872192862952943e-14
10.4,0.2,0.6000304134403524,0.3999695865596477,1.0,0.5200121672260957,0.23999391638695222,1.9230319269918368,0.9230319269918368,0.816444847598413,0.8491870768545803,0.03274222925616732,0.1910896609391989,0.9172112440472516,1.191089660939199,0.9172112440472516,0.5649524022505952,0.4350475977494049,0.7516331566998592,0.7516331566998593,1.1102230246251565e-16,0.0443592616003478,0.4950631213671755,0.4950549751909506,8.146176224910207e-06
11.2,0.2,0.600302231812135,0.3996977681878649,1.0,0.5201210754129906,0.23993946229350469,1.9226292632075566,0.9226292632075566,0.8159825712179611,0.8492315355077393,0.03324896428977819,0.263616892757297,0.9184677656480013,1.263616892757297,0.9184677656480013,0.5790870156617883,0.4209129843382116,0.7609776709350862,0.7609776709350862,0.0,0.0459252714847219,0.1519945649010222,0.1519898999467061,4.66495431611369e-06
