case,D,is_reviewer_target,is_drift_strip,slice_p95_abs_delta_parent,slice_p95_abs_delta_cf,slice_mean_abs_improvement_vs_parent,slice_min_abs_improvement_vs_parent,slice_max_abs_improvement_vs_parent,slice_acceptance_flip_fraction_vs_base
D60E21_monitor,4.0,0.0,0.0,1.3333263909707966,1.3333263909707966,0.0,0.0,0.0,0.0
D60E21_monitor,4.271186440677966,0.0,0.0,5.514676703849833,5.514676703849833,0.0,0.0,0.0,0.0
D60E21_monitor,4.5423728813559325,0.0,0.0,6.081348708655916,6.081348708655916,0.0,0.0,0.0,0.0
D60E21_monitor,4.813559322033898,1.0,0.0,8.950884564268902,8.950884564268902,0.0,0.0,0.0,0.0
D60E21_monitor,5.084745762711864,0.0,0.0,2.903839007124965,2.903839007124965,0.0,0.0,0.0,0.0
D60E21_monitor,5.3559322033898304,0.0,0.0,3.072427625136907,3.072427625136907,0.0,0.0,0.0,0.0
D60E21_monitor,5.627118644067797,1.0,0.0,10.26544987759138,10.26544987759138,0.0,0.0,0.0,0.0
D60E21_monitor,5.898305084745763,0.0,0.0,1.4830522423094408,1.4830522423094408,0.0,0.0,0.0,0.0
D60E21_monitor,6.169491525423728,1.0,0.0,18.58747931966137,18.58747931966137,0.0,0.0,0.0,0.0
D60E21_monitor,6.4406779661016955,1.0,0.0,4.809317775030706,4.809317775030706,0.0,0.0,0.0,0.0
D60E21_monitor,6.711864406779661,1.0,0.0,0.8134211570183147,0.8134211570183147,0.0,0.0,0.0,0.0
D60E21_monitor,6.983050847457627,0.0,0.0,2.765360451863181,2.765360451863181,0.0,0.0,0.0,1.0
D60E21_monitor,7.254237288135593,0.0,1.0,1.202815230757238,1.205126924785977,-0.00231169204608696,-0.002311694249028662,-0.0023116898430739496,0.0
D60E21_monitor,7.525423728813559,0.0,0.0,1.8524773007862239,1.8524773007862239,0.0,0.0,0.0,1.0
D60E21_monitor,7.796610169491526,0.0,0.0,0.822565906365361,0.822565906365361,0.0,0.0,0.0,0.0
D60E21_monitor,8.067796610169491,0.0,0.0,0.5529474442525688,0.5529474442525688,0.0,0.0,0.0,1.0
D60E21_monitor,8.338983050847457,0.0,0.0,0.2932958965277681,0.2932958965277681,0.0,0.0,0.0,1.0
D60E21_monitor,8.610169491525424,0.0,0.0,0.8889170682795937,0.8889170682795937,0.0,0.0,0.0,1.0
D60E21_monitor,8.881355932203391,0.0,0.0,0.9088499288053373,0.9088499288053373,0.0,0.0,0.0,0.0
D60E21_monitor,9.152542372881356,0.0,0.0,0.4961812958220859,0.4961812958220859,0.0,0.0,0.0,0.0
D60E21_monitor,9.423728813559322,0.0,0.0,0.7767677482022202,0.7767677482022202,0.0,0.0,0.0,0.0
D60E21_monitor,9.694915254237287,0.0,0.0,0.17438576625114854,0.17438597740326456,-2.1115211481937904e-07,-2.1115211756850272e-07,-2.1115211357169983e-07,0.0
D60E21_monitor,9.966101694915254,0.0,0.0,0.7227162162916481,0.7227162162916481,0.0,0.0,0.0,1.0
D60E21_monitor,10.23728813559322,0.0,0.0,0.0789760286998108,0.0789760286998108,0.0,0.0,0.0,0.0
D60E21_monitor,10.508474576271189,0.0,0.0,0.405389364857925,0.405389364857925,0.0,0.0,0.0,0.0
D60E21_monitor,10.779661016949152,0.0,0.0,0.12677562227143108,0.12677562227143108,0.0,0.0,0.0,0.0
D60E21_monitor,11.050847457627118,0.0,0.0,0.13544639689514432,0.13544639689514432,0.0,0.0,0.0,0.0
D60E21_monitor,11.322033898305085,0.0,0.0,0.09804033530562942,0.09804033530562942,0.0,0.0,0.0,0.0
D60E21_monitor,11.593220338983052,0.0,0.0,0.04743884476560939,0.04743884476560939,0.0,0.0,0.0,0.0
D60E21_monitor,11.864406779661016,0.0,0.0,0.04834940368839781,0.04834940368839781,0.0,0.0,0.0,0.0
D60E21_monitor,12.135593220338984,0.0,0.0,0.000987167368170297,0.000987167368170297,0.0,0.0,0.0,0.0
D60E21_monitor,12.40677966101695,0.0,0.0,0.0162757469043094,0.0162757469043094,0.0,0.0,0.0,0.0
D60E21_monitor,12.677966101694915,0.0,0.0,0.0049776561783001,0.0049776561783001,0.0,0.0,0.0,0.0
D60E21_monitor,12.94915254237288,0.0,0.0,0.0008093941149295999,0.0008093941149295999,0.0,0.0,0.0,0.0
D60E21_monitor,13.220338983050848,0.0,0.0,0.00013119114263819998,0.00013119114263819998,0.0,0.0,0.0,0.0
D60E21_monitor,13.491525423728811,0.0,0.0,0.0001854884387216259,0.0001854884387216259,0.0,0.0,0.0,0.0
D60E21_monitor,13.76271186440678,0.0,0.0,9.589692810849215e-05,9.589692810849215e-05,0.0,0.0,0.0,0.0
D60E21_monitor,14.033898305084746,0.0,0.0,3.369825072117122e-05,3.369825072117122e-05,0.0,0.0,0.0,0.0
D60E21_monitor,14.305084745762713,0.0,0.0,4.807199408522048e-05,4.807199408522048e-05,0.0,0.0,0.0,0.0
D60E21_monitor,14.576271186440678,0.0,0.0,2.2785139760974488e-07,2.2785139760974488e-07,0.0,0.0,0.0,0.0
D60E21_monitor,14.847457627118644,0.0,0.0,2.0899030322595666e-05,2.0899030322595666e-05,0.0,0.0,0.0,0.0
D60E21_monitor,15.11864406779661,0.0,0.0,1.9235328230442156e-06,1.9235328230442156e-06,0.0,0.0,0.0,0.0
D60E21_monitor,15.389830508474576,0.0,0.0,9.079655378228689e-06,9.079655378228689e-06,0.0,0.0,0.0,0.0
D60E21_monitor,15.66101694915254,0.0,0.0,2.6702550721945433e-06,2.6702550721945433e-06,0.0,0.0,0.0,0.0
D60E21_monitor,15.932203389830509,0.0,0.0,1.9659680100954827e-06,1.9659680100954827e-06,0.0,0.0,0.0,0.0
D60E21_monitor,16.203389830508474,0.0,0.0,9.601181565891977e-07,9.601181565891977e-07,0.0,0.0,0.0,0.0
D60E21_monitor,16.474576271186443,0.0,0.0,6.054315986424454e-07,6.054315986424454e-07,0.0,0.0,0.0,0.0
D60E21_monitor,16.74576271186441,0.0,0.0,4.099747893711755e-07,4.099747893711755e-07,0.0,0.0,0.0,0.0
D60E21_monitor,17.016949152542374,0.0,0.0,3.096068604892471e-08,3.096068604892471e-08,0.0,0.0,0.0,0.0
D60E21_monitor,17.28813559322034,0.0,0.0,9.027052417537184e-08,9.027052417537184e-08,0.0,0.0,0.0,0.0
D60E21_monitor,17.559322033898304,0.0,0.0,1.0978284501774435e-09,1.0978284501774435e-09,0.0,0.0,0.0,0.0
D60E21_monitor,17.83050847457627,0.0,0.0,5.2592929562751426e-08,5.2592929562751426e-08,0.0,0.0,0.0,0.0
D60E21_monitor,18.101694915254235,0.0,0.0,1.143082597703856e-08,1.143082597703856e-08,0.0,0.0,0.0,0.0
D60E21_monitor,18.372881355932204,0.0,0.0,4.5980500474946044e-08,4.5980500474946044e-08,0.0,0.0,0.0,0.0
D60E21_monitor,18.64406779661017,0.0,0.0,3.061160708035293e-08,3.061160708035293e-08,0.0,0.0,0.0,0.0
D60E21_monitor,18.915254237288135,0.0,0.0,3.168725523646624e-08,3.168725523646624e-08,0.0,0.0,0.0,0.0
D60E21_monitor,19.186440677966104,0.0,0.0,4.5356834160445134e-08,4.5356834160445134e-08,0.0,0.0,0.0,0.0
D60E21_monitor,19.45762711864407,0.0,0.0,1.2486355763066519e-08,1.2486355763066519e-08,0.0,0.0,0.0,0.0
D60E21_monitor,19.728813559322035,0.0,0.0,5.239036519989631e-08,5.239036519989631e-08,0.0,0.0,0.0,0.0
D60E21_monitor,20.0,0.0,0.0,1.1905194410524671e-09,1.1905194410524671e-09,0.0,0.0,0.0,0.0
D60E41_monitor,4.0,0.0,0.0,1.3333263909707966,1.3333263909707966,0.0,0.0,0.0,0.0
D60E41_monitor,4.271186440677966,0.0,0.0,5.514676703849833,5.514676703849833,0.0,0.0,0.0,0.0
D60E41_monitor,4.5423728813559325,0.0,0.0,6.081348708655916,6.081348708655916,0.0,0.0,0.0,0.0
D60E41_monitor,4.813559322033898,1.0,0.0,8.950884564268902,8.950884564268902,0.0,0.0,0.0,0.0
D60E41_monitor,5.084745762711864,0.0,0.0,2.903839007124965,2.903839007124965,0.0,0.0,0.0,0.0
D60E41_monitor,5.3559322033898304,0.0,0.0,3.072427625136907,3.072427625136907,0.0,0.0,0.0,0.0
D60E41_monitor,5.627118644067797,1.0,0.0,10.26544987759138,10.26544987759138,0.0,0.0,0.0,0.0
D60E41_monitor,5.898305084745763,0.0,0.0,1.4830522423094408,1.4830522423094408,0.0,0.0,0.0,0.0
D60E41_monitor,6.169491525423728,1.0,0.0,18.58747931966137,18.58747931966137,0.0,0.0,0.0,0.0
D60E41_monitor,6.4406779661016955,1.0,0.0,4.809317775030706,4.809317775030706,0.0,0.0,0.0,0.0
D60E41_monitor,6.711864406779661,1.0,0.0,0.8134211570183147,0.8134211570183147,0.0,0.0,0.0,0.0
D60E41_monitor,6.983050847457627,0.0,0.0,2.765360451863181,2.765360451863181,0.0,0.0,0.0,1.0
D60E41_monitor,7.254237288135593,0.0,1.0,1.202815230757238,1.205126924785977,-0.0023116920460860965,-0.002311694249028662,-0.0023116898430739496,0.0
D60E41_monitor,7.525423728813559,0.0,0.0,1.8524773007862239,1.8524773007862239,0.0,0.0,0.0,1.0
D60E41_monitor,7.796610169491526,0.0,0.0,0.822565906365361,0.822565906365361,0.0,0.0,0.0,0.0
D60E41_monitor,8.067796610169491,0.0,0.0,0.5529474442525688,0.5529474442525688,0.0,0.0,0.0,1.0
D60E41_monitor,8.338983050847457,0.0,0.0,0.2932958965277681,0.2932958965277681,0.0,0.0,0.0,1.0
