D,eta,coeff_l1,coeff_l2,delta_f_norm,coeff_participation_access_parented,tree_diag_susceptibility_parented,s_tree_parented,tree_diag_compressibility_parented,projected_response_action,projected_response_det,projected_response_weight,projected_response_weight_ref,projected_response_weight_residual,shell_spread,shell_access_parented,hk_loop_local_prefactor_diag,eymh_parented_prefactor_diag,projected_response_prefactor_recon,projected_response_prefactor_residual,coeff_action_share,tree_action_share,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
4.0,0.2,0.5339835720691466,0.3813202699293874,0.3367254490648569,0.8450472597147287,0.8352793836830217,0.6071967226055646,0.738157279449201,0.9439221716704215,2.5700418213419365,0.6237777862370266,0.6237777862370265,1.1102230246251565e-16,0.0771814943481594,0.26767767385469626,0.2594822797956052,0.0433261161132477,0.04332611611324775,4.85722573273506e-17,0.35673009827597046,0.6432699017240295,2.4082829678814335,2.408283091800887,1.2391945336531762e-07
4.8,0.2,0.5496017971416134,0.3964102668125378,0.326744308558147,0.8492750682447441,0.7724533955171682,0.5723646859993048,0.7511256409565624,0.8991089945574517,2.45741256743651,0.6379122799837617,0.6379122799837617,0.0,0.0711178604801251,0.25767406620130606,0.2385972532567175,0.0392190539319979,0.0392190539319979,0.0,0.3634090088476682,0.6365909911523319,13.739244327095353,13.739247292265354,2.9651700010902005e-06
5.6,0.2,0.5468206835304987,0.3979753025694525,0.3177309811215154,0.85311110274794,1.062363820855729,0.7238528107951022,0.696333612351461,1.0415837919166175,2.8337014556627995,0.5940499359136113,0.5940499359136113,0.0,0.1092096338293002,0.31377884425076946,0.2408620932557482,0.0448967669998699,0.044896766999869955,5.551115123125783e-17,0.3050460112641143,0.6949539887358858,57.971467023169026,57.971396100373646,7.0922795380568e-05
6.4,0.2,0.5249812193015628,0.3726558128157027,0.34270724939373237,0.8425235836395761,0.8684141407156374,0.6250900179727944,0.7315827004097961,0.9677972673665267,2.6321401680061096,0.6163756784779798,0.6163756784779798,0.0,0.1316552460415761,0.3410845234930134,0.2348317398037009,0.0493701336927381,0.04937013369273809,-6.938893903907228e-18,0.3541105776484295,0.6458894223515705,59.87793765426565,59.87715710517647,0.0007805490891783506
7.2,0.2,0.5085808844373885,0.3470601291174894,0.3821262199183088,0.8260804526024531,0.3844355630722452,0.32529252088615496,0.8498917755867975,0.7074187408044638,2.0287477703193617,0.702078982639844,0.7020789826398441,-1.1102230246251565e-16,0.1406987183843505,0.35120411348378744,0.2205935934157932,0.0543924299977552,0.05439242999775522,2.0816681711721685e-17,0.5401697719850648,0.4598302280149353,3.5314919255891972,3.531394482587157,9.74430020401762e-05
8.0,0.2,0.5340456080149918,0.3605063302199267,0.3929717274540861,0.821612945758027,0.3511645699238713,0.3009668649745629,0.8602919827877128,0.693938592428649,2.001583450235415,0.7068270301902266,0.7068270301902266,0.0,0.1520636193182569,0.3633075560105363,0.2258410747793691,0.057994994496971,0.05799499449697106,6.245004513516506e-17,0.5662917897083114,0.4337082102916886,2.324652153604843,2.324543270099281,0.00010888350556204074
8.8,0.2,0.465913978595868,0.3128373899025909,0.39831748733366634,0.8194198053033038,0.640799824970484,0.4951838211027493,0.7806784649252572,0.8935013084364156,2.443670735040456,0.6397033957335363,0.6397033957335363,0.0,0.115172233250979,0.32136821487248435,0.2223372469819722,0.0457081664589713,0.045708166458971376,7.632783294297951e-17,0.44579396087365875,0.5542060391263413,1.58370004028358,1.5836905358878322,9.504395747761407e-06
9.6,0.2,0.4654103917952466,0.311022914985717,0.40305298826718194,0.8174819187980201,0.7998543918444424,0.5877057682103156,0.7453861415266694,0.9907587564774976,2.6932772388207646,0.6093396932206743,0.6093396932206742,1.1102230246251565e-16,0.1148568546515892,0.3209732984685203,0.2103436369428326,0.0411393810783117,0.041139381078311686,-1.3877787807814457e-17,0.40681244110340214,0.5931875588965978,1.0000000014340196,1.0000000014340404,2.0872192862952943e-14
10.4,0.2,0.4844721631315347,0.3229405150921417,0.4055918323823523,0.816444847598413,0.7700606210652617,0.5710137951886611,0.7516331566998592,0.9766056275710134,2.655427417389111,0.6136670180717306,0.6136670180717306,0.0,0.1253376268973251,0.3337331239271595,0.2165968878056446,0.0443592616003478,0.04435926160034785,4.85722573273506e-17,0.41530769527831735,0.5846923047216827,0.4950631213671755,0.4950549751909506,8.146176224910207e-06
11.2,0.2,0.5036498025294905,0.3353439173657705,0.4067245660953016,0.8159825712179611,0.7268561942408373,0.5463025265838906,0.7609776709350862,0.9530270926791922,2.5935487008627667,0.6209445165690671,0.620944516569067,1.1102230246251565e-16,0.1353663151635882,0.3452926237866013,0.2141961374641878,0.0459252714847219,0.04592527148472197,6.938893903907228e-17,0.4267712525904163,0.5732287474095837,0.1519945649010222,0.1519898999467061,4.66495431611369e-06
