case,g_mode_requested,g_mode_active,g_fp_blend,n_max,f_R3_gt_0p90,f_R3_gt_0p95,f_hmumu_chi2_le_4,best_chi2,f_winner_gt_3,mean_tail_prob,max_tail_prob,g1_D12,g2_D12,g3_D12,g4_D12,g6_D12,ref_n_max,delta_f_R3_gt_0p90_vs_ref,delta_f_hmumu_chi2_le_4_vs_ref,delta_f_winner_gt_3_vs_ref
baseline_fp_2d_full,fp_2d_full,fp_2d_full,1.0,20,0.9322222222222222,0.21666666666666667,0.16805555555555557,0.00016053794755642694,0.0,0.12138475557945838,1.0,29.997742106255217,26.871381411441558,8.378771647580486,1.5741067012385657,0.009597712388508272,40,0.0,0.0,0.0
baseline_fp_2d_full,fp_2d_full,fp_2d_full,1.0,30,0.9322222222222222,0.21666666666666667,0.16805555555555557,0.00016053794755642694,0.0,0.1213847555794584,1.0,29.997742106255217,26.871381411441558,8.378771647580486,1.5741067012385657,0.009597712388508272,40,0.0,0.0,0.0
baseline_fp_2d_full,fp_2d_full,fp_2d_full,1.0,40,0.9322222222222222,0.21666666666666667,0.16805555555555557,0.00016053794755642694,0.0,0.1213847555794584,1.0,29.997742106255217,26.871381411441558,8.378771647580486,1.5741067012385657,0.009597712388508272,40,0.0,0.0,0.0
legacy_cardy,cardy,cardy,0.01,20,0.8819444444444444,0.7816666666666666,0.16472222222222221,5.2846236138390446e-05,0.0,0.10698949462372086,1.0,6.133707406236226,0.3943027583836226,0.08446071282223085,0.028047014794062436,0.005164668254588233,40,0.0,0.0,0.0
legacy_cardy,cardy,cardy,0.01,30,0.8819444444444444,0.7816666666666666,0.16472222222222221,5.2846236138390446e-05,0.0,0.10698950176943615,1.0,6.133707406236226,0.3943027583836226,0.08446071282223085,0.028047014794062436,0.005164668254588233,40,0.0,0.0,0.0
legacy_cardy,cardy,cardy,0.01,40,0.8819444444444444,0.7816666666666666,0.16472222222222221,5.2846236138390446e-05,0.0,0.10698950176943772,1.0,6.133707406236226,0.3943027583836226,0.08446071282223085,0.028047014794062436,0.005164668254588233,40,0.0,0.0,0.0
