case,f_R3_gt_0p90,f_R3_gt_0p95,f_hmumu_chi2_le_4,best_chi2
constant_tcoh_1,0.8,0.0,0.09416666666666666,3.045043359054686e-07
dephasing_pi_over_deltaomega,0.8,0.0,0.3441666666666667,2.459940355182167e-05
dephasing_capped_1e4,0.8,0.0,0.18833333333333332,2.459940355182167e-05
