combo_id,mode,omega,m,phase,center_D,width_D,boost,boost_center,boost_width,D60_p95_base,D60_p95_cf,D21_p95_base,D21_p95_cf,D60_mean_abs_improvement,D21_mean_abs_improvement,D60_improved_fraction,D21_improved_fraction,D21_acceptance_flip_fraction,beats_mainline_both,joint_objective
8857,pointamp_two_lobe,1.3,14.0,0.5853981633974483,5.9,0.05,0.2,6.35,0.03,31.28593012120719,26.444262168265613,2.102217055050133,2.2064434446439045,0.41470266676969225,-0.3988329341573538,0.8,0.0,0.0,0.0,27.278073285015786
8858,pointamp_two_lobe,1.3,14.0,0.5853981633974483,5.9,0.05,0.2,6.35,0.05,31.28593012120719,26.444262168265613,2.102217055050133,2.2064434446439045,0.41486357082683717,-0.3988329341573538,0.8,0.0,0.0,0.0,27.278073285015786
8860,pointamp_two_lobe,1.3,14.0,0.5853981633974483,5.9,0.05,0.2,6.4,0.03,31.28593012120719,26.444262168265613,2.102217055050133,2.2064434446439045,0.414702666636716,-0.3988329341573538,0.8,0.0,0.0,0.0,27.278073285015786
8861,pointamp_two_lobe,1.3,14.0,0.5853981633974483,5.9,0.05,0.2,6.4,0.05,31.28593012120719,26.444262168265613,2.102217055050133,2.2064434446439045,0.4147045094225001,-0.3988329341573538,0.8,0.0,0.0,0.0,27.278073285015786
8863,pointamp_two_lobe,1.3,14.0,0.5853981633974483,5.9,0.05,0.2,6.45,0.03,31.28593012120719,26.444262168265613,2.102217055050133,2.2064434446439045,0.414702666636716,-0.3988329341573538,0.8,0.0,0.0,0.0,27.278073285015786
8864,pointamp_two_lobe,1.3,14.0,0.5853981633974483,5.9,0.05,0.2,6.45,0.05,31.28593012120719,26.444262168265613,2.102217055050133,2.2064434446439045,0.41470267440104486,-0.3988329341573538,0.8,0.0,0.0,0.0,27.278073285015786
8866,pointamp_two_lobe,1.3,14.0,0.5853981633974483,5.9,0.05,0.4,6.35,0.03,31.28593012120719,26.444262168265613,2.102217055050133,2.2064434446439045,0.41470266690266844,-0.3988329341573538,0.8,0.0,0.0,0.0,27.278073285015786
8867,pointamp_two_lobe,1.3,14.0,0.5853981633974483,5.9,0.05,0.4,6.35,0.05,31.28593012120719,26.444262168265613,2.102217055050133,2.2064434446439045,0.4150244872083026,-0.3988329341573538,0.8,0.0,0.0,0.0,27.278073285015786
8869,pointamp_two_lobe,1.3,14.0,0.5853981633974483,5.9,0.05,0.4,6.4,0.03,31.28593012120719,26.444262168265613,2.102217055050133,2.2064434446439045,0.4147026666367167,-0.3988329341573538,0.8,0.0,0.0,0.0,27.278073285015786
8870,pointamp_two_lobe,1.3,14.0,0.5853981633974483,5.9,0.05,0.4,6.4,0.05,31.28593012120719,26.444262168265613,2.102217055050133,2.2064434446439045,0.41470635220988356,-0.3988329341573538,0.8,0.0,0.0,0.0,27.278073285015786
