case,case_label,target_D,eval_D,eta,abs_delta_mu_mumu,acceptance_mismatch
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,3.81,5.241791878170325,0.0
D60E21_release,D60 x E21 release,6.4,6.4406779661016955,4.0,5.241622797206986,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.2,0.29179019915449356,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.39,0.2917891823674248,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.5800000000000001,0.29178816553742326,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.77,0.2917871487846604,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,0.96,0.2917861319998094,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.15,0.29178511525722817,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.34,0.29178409848819964,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.53,0.2917830817020679,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.72,0.29178206496228887,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,1.91,0.29178104819313155,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.1,0.2917800314365935,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.29,0.2917790146711319,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.4800000000000004,0.291777997893103,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.6700000000000004,0.29177698114739137,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,2.8600000000000003,0.2917759643777953,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.0500000000000003,0.29177494763460254,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.24,0.29177393087024495,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.43,0.2917729141187402,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.62,0.2917718973694243,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,3.81,0.29177088062020085,0.0
D60E21_release,D60 x E21 release,7.2,7.254237288135593,4.0,0.2917698638628057,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.2,0.23098929619237207,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.39,0.2309893184903098,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.5800000000000001,0.2309893406155945,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.77,0.23098936263011804,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,0.96,0.23098938448418505,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.15,0.2309894064549889,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.34,0.23098942847738924,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.53,0.23098945046932728,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.72,0.2309894724435737,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.91,0.23098949445212646,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.1,0.2309895165190552,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.29,0.23098953848867065,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.4800000000000004,0.23098956046747787,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.6700000000000004,0.23098958241898737,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.8600000000000003,0.23098960445301753,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.0500000000000003,0.2309896264335798,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.24,0.23098964840531133,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.43,0.230989670430509,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.62,0.23098969241095313,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.81,0.23098971441452765,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,4.0,0.23098973638022358,0.0
