beta_peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
0.75,5.7,0.08,32.739521028288294,32.740001688447165,0.0,14.108820507744731,2.251730886465893,28.920381850994843,32.740001688447165,7.955538036472994,28.920381850994843,32.740001688447165,32.740001688447165
0.5,5.7,0.08,32.73952122398724,32.74000188414887,0.0,14.143157722018913,2.5878251044466936,28.920382117073856,32.74000188414887,7.9555381104039,28.920382117073856,32.74000188414887,32.74000188414887
1.0,5.7,0.08,32.739521388419,32.74000204858274,0.0,14.08119074648399,1.9175082907346876,28.920381963191033,32.74000204858274,7.955538151054753,28.920381963191033,32.74000204858274,32.74000204858274
1.0,5.7,0.03,32.73952149690605,32.74000215707147,0.0,14.192850636980602,2.9964695082231003,28.92038244571674,32.74000215707147,7.955538211093806,28.92038244571674,32.74000215707147,32.74000215707147
0.75,5.7,0.03,32.73952149888877,32.74000215905424,0.0,14.196841832663104,2.9964695096090708,28.920382448423126,32.74000215905424,7.955538211843418,28.920382448423126,32.74000215905424,32.74000215905424
0.5,5.7,0.03,32.73952150083322,32.74000216099871,0.0,14.200838478599685,2.9964695109649426,28.92038245107055,32.74000216099871,7.955538212578187,28.92038245107055,32.74000216099871,32.74000216099871
1.0,5.56,0.05,32.73952150194945,32.74000216211496,0.0,14.123127792608045,2.996469511741978,28.9203824525879,32.74000216211496,7.95553821299989,28.9203824525879,32.74000216211496,32.74000216211496
1.0,5.627118644067797,0.08,32.73952150221431,32.74000216237984,0.0,14.018475615194689,2.940916047855225,28.920382452950605,32.74000216237984,7.955538213100095,28.920382452950605,32.74000216237984,32.74000216237984
0.75,5.56,0.05,32.739521502650945,32.74000216281647,0.0,14.147760482012814,2.9964695122291687,28.920382453539375,32.74000216281647,7.955538213264745,28.920382453539375,32.74000216281647,32.74000216281647
0.25,5.7,0.03,32.73952150276494,32.740002162930466,0.0,14.203663089499749,2.996469512311876,28.92038245370098,32.740002162930466,7.955538213308188,28.92038245370098,32.740002162930466,32.740002162930466
0.75,5.627118644067797,0.08,32.73952150284138,32.740002163006906,0.0,14.06435784208746,2.9547979851421076,28.920382453802958,32.740002163006906,7.9555382133369505,28.920382453802958,32.740002163006906,32.740002163006906
0.5,5.56,0.05,32.73952150336563,32.74000216353119,0.0,14.16709433771807,2.996469512732631,28.92038245452224,32.74000216353119,7.95553821353543,28.92038245452224,32.74000216353119,32.74000216353119
0.5,5.627118644067797,0.08,32.739521503457254,32.740002163622805,0.0,14.107391555061156,2.9686837839987987,28.920382454645875,32.740002163622805,7.955538213569984,28.920382454645875,32.740002163622805,32.740002163622805
0.25,5.56,0.05,32.73952150404459,32.74000216421014,0.0,14.18652004204845,2.996469513206563,28.920382455447992,32.74000216421014,7.955538213792039,28.920382455447992,32.74000216421014,32.74000216421014
0.25,5.627118644067797,0.08,32.73952150407761,32.74000216424314,0.0,14.15785787145466,2.982574630426555,28.920382455491037,32.74000216424314,7.955538213804395,28.920382455491037,32.74000216424314,32.74000216424314
