D,eta,coeff_l1,coeff_l2,coeff_p1,coeff_p2,coeff_participation_exact,loop_trace_neff,loop_trace_entropy_norm,coeff_participation_access,coeff_participation_access_recon,coeff_participation_residual,gap_cv,c_tree_diag_cv,tree_diag_susceptibility,tree_diag_susceptibility_recon,tree_diag_compressibility,tree_diag_compressibility_recon,tree_diag_residual,tree_diag_pressure_fraction,shell_background_load,eymh_source_prefactor_diag,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
4.0,0.2,0.5339835720691466,0.3813202699293874,0.5833948767255386,0.4166051232744614,1.9609928441583608,1.945868238127748,0.9798388705964634,0.8450472597147287,0.8450472597147287,0.0,0.0529284688818641,0.8794894425499511,0.8352793836830217,0.8352793836830217,0.738157279449201,0.738157279449201,0.0,0.45512383079615415,0.0502678676150436,0.0433261161132477,2.4082829678814335,2.408283091800887,1.2391945336531762e-07
4.8,0.2,0.5496017971416134,0.3964102668125378,0.5809670067465968,0.41903299325340315,1.9222350876001533,1.9488948614185644,0.9810008256082312,0.8492750682447441,0.8492750682447441,0.0,0.3330127461264275,1.0296902220130235,0.7724533955171682,0.7724533955171681,0.7511256409565624,0.7511256409565624,0.0,0.43581027149759327,0.24981962632699647,0.0392190539319979,13.739244327095353,13.739247292265354,2.9651700010902005e-06
5.6,0.2,0.5468206835304987,0.3979753025694525,0.5787711755505381,0.4212288244494618,1.8878940758247258,1.9515630017717331,0.982021643579202,0.8531111027479399,0.8531111027479399,0.0,0.0489632309804584,1.1143805860015703,1.062363820855729,1.062363820855729,0.696333612351461,0.696333612351461,0.0,0.5151195003095653,0.046677738107838936,0.0448967669998699,57.971467023169026,57.971396100373646,7.0922795380568e-05
6.4,0.2,0.5249812193015628,0.3726558128157027,0.5848479959246827,0.41515200407531727,1.9845942769963154,1.9440186213275696,0.9791266876226534,0.842523583639576,0.842523583639576,0.0,0.2368422574530327,1.0740913062068649,0.8684141407156374,0.8684141407156377,0.7315827004097961,0.731582700409796,-1.1102230246251565e-16,0.46478675246111056,0.1914894611870313,0.0493701336927381,59.87793765426565,59.87715710517647,0.0007805490891783506
7.2,0.2,0.5085808844373885,0.3470601291174894,0.5943858187961555,0.4056141812038445,2.1473884723984598,1.9311828194108678,0.97414009120106,0.826080452602453,0.826080452602453,0.0,0.5397550802947837,0.5919366112864753,0.3844355630722452,0.38443556307224525,0.8498917755867975,0.8498917755867975,0.0,0.27768396978992077,0.3505460622941724,0.0543924299977552,3.5314919255891972,3.531394482587157,9.74430020401762e-05
8.0,0.2,0.5340456080149918,0.3605063302199267,0.5969978770251638,0.4030021229748362,2.1944763538676506,1.9274612439427554,0.9726796573796179,0.8216129457580271,0.8216129457580271,0.0,0.5891268740470006,0.5580450552791809,0.3511645699238713,0.3511645699238713,0.8602919827877128,0.8602919827877128,0.0,0.2598977043511857,0.3707236241916178,0.057994994496971,2.324652153604843,2.324543270099281,0.00010888350556204074
8.8,0.2,0.465913978595868,0.3128373899025909,0.5982833513271573,0.4017166486728428,2.218064513107652,1.9255978480274194,0.971945916563839,0.8194198053033038,0.8194198053033038,0.0,0.1526414316992487,0.7386124276866068,0.640799824970484,0.640799824970484,0.7806784649252572,0.7806784649252572,0.0,0.39054113440194405,0.13242750737687906,0.0457081664589713,1.58370004028358,1.5836905358878322,9.504395747761407e-06
9.6,0.2,0.4654103917952466,0.311022914985717,0.5994209518455673,0.4005790481544326,2.2391716011124116,1.9239314026831542,0.9712883083000713,0.8174819187980201,0.81748191879802,-1.1102230246251565e-16,0.1066533286499557,0.8851615251699383,0.7998543918444424,0.7998543918444424,0.7453861415266694,0.7453861415266694,0.0,0.4443995000199839,0.0963746512921673,0.0411393810783117,1.0000000014340196,1.0000000014340404,2.0872192862952943e-14
10.4,0.2,0.4844721631315347,0.3229405150921417,0.6000304134403524,0.39996958655964776,2.2505703315056387,1.9230319269918363,0.9709328009523955,0.816444847598413,0.816444847598413,0.0,0.1910896609391989,0.9172112440472516,0.7700606210652617,0.7700606210652617,0.7516331566998592,0.7516331566998592,0.0,0.4350475977494048,0.16043264181180175,0.0443592616003478,0.4950631213671755,0.4950549751909506,8.146176224910207e-06
11.2,0.2,0.5036498025294905,0.3353439173657705,0.600302231812135,0.3996977681878649,2.2556747049941768,1.9226292632075566,0.970773525609904,0.8159825712179611,0.815982571217961,-1.1102230246251565e-16,0.263616892757297,0.9184677656480013,0.7268561942408373,0.7268561942408374,0.7609776709350862,0.7609776709350862,0.0,0.42091298433821167,0.2086208994737853,0.0459252714847219,0.1519945649010222,0.1519898999467061,4.66495431611369e-06
