case,gamma_mode_active,gamma_eta_mode_active,t_coh_mode_active,chi_mode_active,g_mode_active,b_mode_active,f_R3_gt_0p90,f_hmumu_chi2_le_4,f_winner_gt_3,best_chi2,delta_f_R3_gt_0p90,delta_f_hmumu_chi2_le_4,delta_f_winner_gt_3,max_abs_delta_R3,max_abs_delta_mu_mumu
surrogate_kinetic,surrogate,scan,input,localized_interp,fp_2d_full,overlap_2d,0.9833333333333333,0.08333333333333333,0.0,0.05096938662124546,,,,,
action_chain_full,action_profile,scaled_amp,dephasing_profile_capped,localized_interp,fp_2d_full,overlap_2d,1.0,0.08333333333333333,0.0,0.050969695969017424,,,,,
delta_action_minus_surrogate,,,,,,,,,,,0.01666666666666672,0.0,0.0,0.0614842049741553,511.48280203364266
