alpha,beta,lambda,j_direct,j_parent_statement,abs_objective_identity_residual,max_abs_weight_identity_residual,mean_delta_linear,mean_delta_mix,mean_delta_total,p90_delta_mix,mean_abs_delta_linear,mean_abs_delta_mix,mean_xi_cross_deformed
0.8,0.8,-0.6,0.004642379396976335,0.004642379396976336,8.673617379884035e-19,3.3306690738754696e-16,-0.16417904141070408,-0.02953936030926483,-0.19371840171996887,-0.020999086933671945,0.16417904141070408,0.02953936030926483,0.08071882173223643
0.8,0.8,-0.4,0.0038468103600373302,0.003846810360037331,8.673617379884035e-19,3.3306690738754696e-16,-0.16417904141070408,-0.013008770135154503,-0.17718781154585858,-0.009278531117440352,0.16417904141070408,0.013008770135154503,0.08071882173223643
0.8,0.8,-0.2,0.0034147765238183455,0.003414776523818345,4.336808689942018e-19,3.3306690738754696e-16,-0.16417904141070408,-0.003234569829574423,-0.16741361124027848,-0.002311574223423757,0.16417904141070408,0.003234569829574423,0.08071882173223643
0.8,0.8,-0.1,0.00331184968048948,0.0033118496804894803,4.336808689942018e-19,3.3306690738754696e-16,-0.16417904141070408,-0.0008075511131418434,-0.16498659252384587,-0.0005773928074348232,0.16417904141070408,0.0008075511131418434,0.08071882173223643
0.8,0.8,0.0,0.0032779835288030044,0.0032779835288030057,1.3010426069826053e-18,3.3306690738754696e-16,-0.16417904141070408,0.0,-0.16417904141070408,0.0,0.16417904141070408,0.0,0.08071882173223643
0.8,0.8,0.1,0.00331184968048948,0.0033118496804894803,4.336808689942018e-19,3.3306690738754696e-16,-0.16417904141070408,-0.0008075511131418434,-0.16498659252384587,-0.0005773928074348232,0.16417904141070408,0.0008075511131418434,0.08071882173223643
0.8,0.8,0.2,0.0034147765238183455,0.003414776523818345,4.336808689942018e-19,3.3306690738754696e-16,-0.16417904141070408,-0.003234569829574423,-0.16741361124027848,-0.002311574223423757,0.16417904141070408,0.003234569829574423,0.08071882173223643
0.8,0.8,0.4,0.0038468103600373302,0.003846810360037331,8.673617379884035e-19,3.3306690738754696e-16,-0.16417904141070408,-0.013008770135154503,-0.17718781154585858,-0.009278531117440352,0.16417904141070408,0.013008770135154503,0.08071882173223643
0.8,0.8,0.6,0.004642379396976335,0.004642379396976336,8.673617379884035e-19,3.3306690738754696e-16,-0.16417904141070408,-0.02953936030926483,-0.19371840171996887,-0.020999086933671945,0.16417904141070408,0.02953936030926483,0.08071882173223643
0.8,0.85,-0.6,0.0036272877225539163,0.003627287722553917,8.673617379884035e-19,2.220446049250313e-16,-0.14126579234128575,-0.03104067149290474,-0.1723064638341905,-0.02216403296426417,0.14126579234128575,0.03104067149290474,0.08475139874003823
0.8,0.85,-0.4,0.002903349713980642,0.002903349713980642,0.0,3.3306690738754696e-16,-0.14126579234128575,-0.013663591285606244,-0.154929383626892,-0.009790084843782338,0.14126579234128575,0.013663591285606244,0.08475139874003823
0.8,0.85,-0.2,0.002516476999095019,0.002516476999095019,0.0,3.3306690738754696e-16,-0.14126579234128575,-0.00339646671887397,-0.14466225906015973,-0.002438550341245291,0.14126579234128575,0.00339646671887397,0.08475139874003823
0.8,0.85,-0.1,0.0024250710247459614,0.0024250710247459614,0.0,3.3306690738754696e-16,-0.14126579234128575,-0.0008479138924182199,-0.14211370623370395,-0.0006090803249442559,0.14126579234128575,0.0008479138924182199,0.08475139874003823
0.8,0.85,0.0,0.0023950646968538673,0.002395064696853868,8.673617379884035e-19,3.3306690738754696e-16,-0.14126579234128575,0.0,-0.14126579234128575,0.0,0.14126579234128575,0.0,0.08475139874003823
0.8,0.85,0.1,0.0024250710247459614,0.0024250710247459614,0.0,3.3306690738754696e-16,-0.14126579234128575,-0.0008479138924182199,-0.14211370623370395,-0.0006090803249442559,0.14126579234128575,0.0008479138924182199,0.08475139874003823
0.8,0.85,0.2,0.002516476999095019,0.002516476999095019,0.0,3.3306690738754696e-16,-0.14126579234128575,-0.00339646671887397,-0.14466225906015973,-0.002438550341245291,0.14126579234128575,0.00339646671887397,0.08475139874003823
0.8,0.85,0.4,0.002903349713980642,0.002903349713980642,0.0,3.3306690738754696e-16,-0.14126579234128575,-0.013663591285606244,-0.154929383626892,-0.009790084843782338,0.14126579234128575,0.013663591285606244,0.08475139874003823
0.8,0.85,0.6,0.0036272877225539163,0.003627287722553917,8.673617379884035e-19,2.220446049250313e-16,-0.14126579234128575,-0.03104067149290474,-0.1723064638341905,-0.02216403296426417,0.14126579234128575,0.03104067149290474,0.08475139874003823
