case,chain_mode,d_num,eta_num,ref_D_input,ref_D_effective,ref_D_snapped_to_grid,ref_eta,uv_rge_mu_low,uv_rge_gamma_diag,uv_rge_gamma_offdiag,uv_match_kappa_diag,uv_match_kappa_offdiag,f_chi2_le_4,best_chi2,mu_mean,mu_p50,mu_p90,mu_std
center_nonzero,full_direct,21,41,10.0,9.600000000000001,True,1.0,1.0,2.0,1.0,0.3,0.15,0.12427409988385599,0.2110735142651711,6.361250039393362,0.037592432143808766,11.684835419569163,16.122090114235977
mu_low_minus,full_direct,21,41,10.0,9.600000000000001,True,1.0,0.5,2.0,1.0,0.3,0.15,0.12427409988385599,0.2110734124631603,6.361260566386645,0.03759281143154522,11.684838342570863,16.122117564667406
mu_low_plus,full_direct,21,41,10.0,9.600000000000001,True,1.0,2.0,2.0,1.0,0.3,0.15,0.12427409988385599,0.21107361786042342,6.361239326827994,0.03759204617696201,11.684832444953877,16.12206217988146
gamma_diag_minus,full_direct,21,41,10.0,9.600000000000001,True,1.0,1.0,1.5,1.0,0.3,0.15,0.12427409988385599,0.2110705858525363,6.361552806979835,0.03760334344458047,11.684919453413354,16.122879596138855
gamma_diag_plus,full_direct,21,41,10.0,9.600000000000001,True,1.0,1.0,2.5,1.0,0.3,0.15,0.12427409988385599,0.21107643465083267,6.360947989007043,0.037581552400298854,11.684751515859253,16.12130248943378
gamma_offdiag_minus,full_direct,21,41,10.0,9.600000000000001,True,1.0,1.0,2.0,0.8,0.3,0.15,0.12427409988385599,0.2110735142651711,6.361250039393362,0.037592432143808766,11.684835419569163,16.122090114235977
gamma_offdiag_plus,full_direct,21,41,10.0,9.600000000000001,True,1.0,1.0,2.0,1.2,0.3,0.15,0.12427409988385599,0.2110735142651711,6.361250039393362,0.037592432143808766,11.684835419569163,16.122090114235977
kappa_diag_minus,full_direct,21,41,10.0,9.600000000000001,True,1.0,1.0,2.0,1.0,0.1,0.15,0.12427409988385599,0.2110735142651711,6.361250039419686,0.037592432143808766,11.684835419569158,16.122090114225596
kappa_diag_plus,full_direct,21,41,10.0,9.600000000000001,True,1.0,1.0,2.0,1.0,0.5,0.15,0.12427409988385599,0.21107351426516907,6.361250039367139,0.03759243214380875,11.684835419569163,16.122090114246323
kappa_offdiag_minus,full_direct,21,41,10.0,9.600000000000001,True,1.0,1.0,2.0,1.0,0.3,0.05,0.12427409988385599,0.2110735142651711,6.361250039393362,0.037592432143808766,11.684835419569163,16.122090114235977
kappa_offdiag_plus,full_direct,21,41,10.0,9.600000000000001,True,1.0,1.0,2.0,1.0,0.3,0.25,0.12427409988385599,0.2110735142651711,6.361250039393362,0.037592432143808766,11.684835419569163,16.122090114235977
legacy_zero_match,full_direct,21,41,10.0,9.600000000000001,True,1.0,1.0,2.0,1.0,0.0,0.0,0.12427409988385599,0.21107351426516957,6.361250039432883,0.03759243214380875,11.684835419569158,16.12209011422038
